workload,config,seed,policy,n_windows,n_onsets,onsets_hit,recall,mean_lag,false_alarms,advisor_calls,frac_5d_windows,monitor_cost_ms_per_window
tpch,mixed,0,always_5D,41,6,6,1.0,0.0,20,26,1.0,2.348561333337177
tpch,mixed,0,dci_gated,41,6,6,1.0,0.0,20,26,0.0975609756097561,0.23701683066527904
tpch,mixed,0,always_1D,41,6,6,1.0,0.0,20,26,0.04878048780487805,0.12287928998031117
tpch,mixed,1,always_5D,41,6,6,1.0,0.0,12,18,1.0,2.348561333337177
tpch,mixed,1,dci_gated,41,6,6,1.0,0.0,12,18,0.04878048780487805,0.12287928998031117
tpch,mixed,1,always_1D,41,6,6,1.0,0.0,12,18,0.04878048780487805,0.12287928998031117
tpch,mixed,2,always_5D,41,6,6,1.0,0.0,17,23,1.0,2.348561333337177
tpch,mixed,2,dci_gated,41,6,6,1.0,0.0,17,23,0.04878048780487805,0.12287928998031117
tpch,mixed,2,always_1D,41,6,6,1.0,0.0,17,23,0.04878048780487805,0.12287928998031117
tpch,mixed,3,always_5D,41,6,6,1.0,0.0,14,20,1.0,2.348561333337177
tpch,mixed,3,dci_gated,41,6,6,1.0,0.0,14,20,0.04878048780487805,0.12287928998031117
tpch,mixed,3,always_1D,41,6,6,1.0,0.0,14,20,0.04878048780487805,0.12287928998031117
tpch,mixed,4,always_5D,41,6,6,1.0,0.0,14,20,1.0,2.348561333337177
tpch,mixed,4,dci_gated,41,6,6,1.0,0.0,14,20,0.04878048780487805,0.12287928998031117
tpch,mixed,4,always_1D,41,6,6,1.0,0.0,14,20,0.04878048780487805,0.12287928998031117
tpch,mixed,5,always_5D,41,6,6,1.0,0.0,14,20,1.0,2.348561333337177
tpch,mixed,5,dci_gated,41,6,6,1.0,0.0,14,20,0.0975609756097561,0.23701683066527926
tpch,mixed,5,always_1D,41,6,6,1.0,0.0,14,20,0.04878048780487805,0.12287928998031117
tpch,mixed,6,always_5D,41,6,6,1.0,0.0,12,18,1.0,2.348561333337177
tpch,mixed,6,dci_gated,41,6,6,1.0,0.0,12,18,0.0975609756097561,0.23701683066527926
tpch,mixed,6,always_1D,41,6,6,1.0,0.0,12,18,0.04878048780487805,0.12287928998031117
tpch,mixed,7,always_5D,41,6,6,1.0,0.0,20,26,1.0,2.348561333337177
