block,block_seed,strategy,window,phase,drift_truth,S_R,S_V,S_T,S_A,S_P,HSM,invoked,n_queries,n_ok,n_failed,exec_ms_window_sum,wall_ms_window,qps_window
0,9000,dci_gated,1,edge,0,0.8175445350038288,1.0,0.7788603733587827,0.8,0.8038461538461539,0.840735131499637,0,20,20,0,433.27,433.619,46.1234
0,9000,dci_gated,2,edge,0,0.8568140293617765,1.0,0.6505670034399254,0.9,0.8978205128205129,0.8589899849515062,0,20,20,0,375.902,376.246,53.1567
0,9000,dci_gated,3,edge,0,0.8126696968621718,1.0,0.6490735743448681,0.8,0.765897435897436,0.807866754469132,0,20,20,0,544.578,544.86,36.7067
0,9000,dci_gated,4,edge,0,0.8657676528570004,1.0,0.5105933039520065,0.875,0.7703846153846154,0.8091182663123437,0,20,20,0,311.413,311.789,64.1459
0,9000,dci_gated,5,edge,0,0.6874393769329177,1.0,0.3016702924867819,0.6,0.8287179487179488,0.6765015950382781,1,20,20,0,607.839,608.027,32.8933
0,9000,dci_gated,6,edge,0,0.6918450480558106,1.0,0.4140998731281583,0.6,0.7105128205128206,0.6823581597165074,1,20,20,0,278.044,278.4,71.839
0,9000,dci_gated,7,geo,1,0.5153485913925353,1.0,0.022466990877118453,0.44285714285714284,0.7555128205128205,0.5352288976719092,1,20,20,0,6526.489,6527.072,3.0642
0,9000,dci_gated,8,geo,0,0.7038117241571322,1.0,0.6784903932235818,0.43333333333333335,0.765897435897436,0.7132022917352815,1,20,20,0,1458.232,1458.723,13.7106
0,9000,dci_gated,9,geo,0,0.8665705483050578,1.0,0.6977646956385772,0.75,0.8082051282051282,0.8274263454347492,0,20,20,0,923.42,923.797,21.6498
0,9000,dci_gated,10,geo,0,0.7973074109081197,1.0,0.6658291843309185,0.6166666666666667,0.7476923076923077,0.7679798690803931,1,20,20,0,794.196,794.519,25.1725
0,9000,dci_gated,11,geo,0,0.9433103979010584,1.0,0.7424437907588863,1.0,0.858974358974359,0.9131625114731958,0,20,20,0,844.425,844.752,23.6756
0,9000,dci_gated,12,geo,0,0.7849231767117696,1.0,0.7663160863244907,0.7,0.6152564102564103,0.7817824729813021,0,20,20,0,832.519,832.89,24.0128
0,9000,dci_gated,13,text,1,0.4614073007367311,1.0,0.005754337467586579,0.19090909090909092,0.7435897435897436,0.4662229723979799,1,20,20,0,1682.888,1683.116,11.8827
0,9000,dci_gated,14,text,0,0.6970242246985601,1.0,0.3297179447770632,0.7,0.7589743589743589,0.6940457989762064,1,20,20,0,704.346,704.528,28.3878
0,9000,dci_gated,15,text,0,0.8030773374698623,1.0,0.40725139762910234,0.75,0.8992307692307693,0.7671042292779015,1,20,20,0,399.646,399.804,50.0245
0,9000,dci_gated,16,text,0,0.8757362432135711,1.0,0.6935533421823562,0.875,0.5721794871794872,0.8184716523167872,0,20,20,0,290.26,290.436,68.8619
0,9000,dci_gated,17,text,0,0.8664380641852442,1.0,0.5273751908101648,0.9,0.6702564102564104,0.8026230157468056,0,20,20,0,581.562,581.711,34.3813
0,9000,dci_gated,18,text,0,0.7918246705700832,1.0,0.37848384407551605,0.8285714285714285,0.8767948717948719,0.7708864529411406,0,20,20,0,204.907,205.079,97.5235
0,9000,dci_gated,19,review,1,0.49804125727054593,1.0,0.05366495443138841,0.3769230769230769,0.7351282051282052,0.5208971513577603,1,20,20,0,20607.904,20608.198,0.9705
0,9000,dci_gated,20,review,0,0.7550484954205989,1.0,0.47291584285270627,0.6444444444444444,0.8307692307692308,0.7368495659299645,1,20,20,0,498.754,498.971,40.0825
0,9000,dci_gated,21,review,0,0.8302545606012963,1.0,0.7108559763665303,0.75,0.7421794871794872,0.8110617585005533,0,20,20,0,656.537,656.761,30.4525
0,9000,dci_gated,22,review,0,0.8001803867492161,1.0,0.6181151803300957,0.7444444444444445,0.8267948717948719,0.7965762524114428,0,20,20,0,548.905,549.086,36.4241
0,9000,dci_gated,23,review,0,0.8177770941500975,1.0,0.644173818745659,0.8,0.6005128205128206,0.7833559603635792,0,20,20,0,371.351,371.567,53.8261
0,9000,dci_gated,24,review,0,0.7885878941648572,1.0,0.6582479744176504,0.7638888888888888,0.7639743589743591,0.7961705000486761,0,20,20,0,321.608,321.801,62.1502
