block,block_seed,strategy,workload_fp,wall_qps,wall_time_s,queries_total,queries_ok,queries_failed,advisor_calls,index_builds,T_A_total_ms,p_advisor,mean_hsm,hsm_below_theta,n_drift_points,precision,recall,hsm_series,phase_series,theta,k_periodic
0,9000,dci_gated,bc0e8928a13604f9,6.6032,72.692,480,480,0,10,11,31140.18,0.4167,0.7488,8,3,nan,nan,"0.8387,0.8577,0.8064,0.8081,0.6765,0.6824,0.5352,0.7132,0.8274,0.7680,0.9142,0.7838,0.4662,0.6940,0.7671,0.8172,0.8024,0.7699,0.5209,0.7368,0.8111,0.7966,0.7834,0.7952",edge|edge|edge|edge|edge|edge|geo|geo|geo|geo|geo|geo|text|text|text|text|text|text|review|review|review|review|review|review,0.75,3
1,9100,dci_gated,a7a718fc25523ed6,6.5501,73.281,480,480,0,8,11,31040.3,0.3333,0.7566,8,3,nan,nan,"0.7418,0.8369,0.8264,0.7955,0.8042,0.9237,0.5303,0.8605,0.7545,0.8571,0.8209,0.8558,0.4984,0.7061,0.7664,0.8129,0.7455,0.7166,0.5298,0.7728,0.7607,0.7626,0.7503,0.7288",edge|edge|edge|edge|edge|edge|geo|geo|geo|geo|geo|geo|text|text|text|text|text|text|review|review|review|review|review|review,0.75,3
2,9200,dci_gated,5ef4e24c30be89d7,6.7181,71.449,480,480,0,12,10,27805.3,0.5,0.7489,9,3,nan,nan,"0.8549,0.9278,0.8479,0.7835,0.7741,0.8053,0.5606,0.7869,0.7649,0.7301,0.7078,0.7137,0.5147,0.7987,0.8191,0.7391,0.7557,0.8424,0.4868,0.7214,0.6455,0.8463,0.7670,0.7795",edge|edge|edge|edge|edge|edge|geo|geo|geo|geo|geo|geo|text|text|text|text|text|text|review|review|review|review|review|review,0.75,3
3,9300,dci_gated,b4366e6ea5b4be02,7.6384,62.84,480,480,0,6,9,24256.18,0.25,0.7557,8,3,nan,nan,"0.8119,0.8114,0.8250,0.8152,0.7392,0.8027,0.5700,0.8057,0.7788,0.6655,0.7415,0.8032,0.4729,0.8078,0.7486,0.7390,0.8425,0.7802,0.5685,0.8797,0.7926,0.7677,0.7699,0.7983",edge|edge|edge|edge|edge|edge|geo|geo|geo|geo|geo|geo|text|text|text|text|text|text|review|review|review|review|review|review,0.75,3
4,9400,dci_gated,0deb761447e9ff2a,7.6719,62.566,480,480,0,6,9,23886.79,0.25,0.7548,7,3,nan,nan,"0.7778,0.8138,0.7649,0.7193,0.7435,0.8163,0.5238,0.7770,0.7859,0.8490,0.8400,0.8065,0.4472,0.8641,0.8751,0.8664,0.8351,0.7872,0.5071,0.8068,0.7889,0.7641,0.6911,0.6636",edge|edge|edge|edge|edge|edge|geo|geo|geo|geo|geo|geo|text|text|text|text|text|text|review|review|review|review|review|review,0.75,3
5,9500,dci_gated,aa9d6a087ddeba0c,5.8401,82.191,480,480,0,11,11,31004.21,0.4583,0.7626,9,3,nan,nan,"0.8665,0.8040,0.7496,0.8367,0.8731,0.7833,0.4669,0.7549,0.8029,0.7499,0.8846,0.8815,0.5390,0.7959,0.7793,0.7156,0.7831,0.7427,0.5674,0.8468,0.7245,0.7017,0.8582,0.7948",edge|edge|edge|edge|edge|edge|geo|geo|geo|geo|geo|geo|text|text|text|text|text|text|review|review|review|review|review|review,0.75,3
6,9600,dci_gated,4d440c078b91413b,6.1239,78.382,480,480,0,7,11,31167.21,0.2917,0.7565,6,3,nan,nan,"0.7927,0.8409,0.8022,0.7355,0.8231,0.8022,0.4671,0.7612,0.8435,0.7973,0.7498,0.8676,0.5104,0.7987,0.7923,0.7976,0.6920,0.8154,0.4618,0.8133,0.8113,0.7913,0.7851,0.8046",edge|edge|edge|edge|edge|edge|geo|geo|geo|geo|geo|geo|text|text|text|text|text|text|review|review|review|review|review|review,0.75,3
7,9700,dci_gated,ea777ef09d6d37eb,5.8396,82.197,480,480,0,8,11,31095.66,0.3333,0.7461,8,3,nan,nan,"0.8218,0.7851,0.7397,0.7878,0.8015,0.8038,0.5044,0.7342,0.8150,0.7733,0.7669,0.7959,0.4669,0.7945,0.8294,0.8021,0.8600,0.7630,0.5008,0.7647,0.7367,0.7232,0.7195,0.8160",edge|edge|edge|edge|edge|edge|geo|geo|geo|geo|geo|geo|text|text|text|text|text|text|review|review|review|review|review|review,0.75,3
8,9800,dci_gated,accecab27456bd44,6.0426,79.436,480,480,0,5,9,23433.12,0.2083,0.7465,8,3,nan,nan,"0.7359,0.7952,0.8053,0.7241,0.7907,0.7895,0.4944,0.8256,0.7559,0.7747,0.7726,0.7268,0.5788,0.7483,0.7866,0.8126,0.7697,0.7568,0.5152,0.7403,0.8843,0.7708,0.7645,0.7965",edge|edge|edge|edge|edge|edge|geo|geo|geo|geo|geo|geo|text|text|text|text|text|text|review|review|review|review|review|review,0.75,3
9,9900,dci_gated,acd808608d0a32ff,6.0009,79.988,480,480,0,10,11,31485.28,0.4167,0.7706,7,3,nan,nan,"0.8211,0.8651,0.8656,0.9067,0.8460,0.8889,0.5153,0.8119,0.7232,0.7872,0.7740,0.8089,0.5576,0.7943,0.7367,0.7934,0.7965,0.8577,0.5827,0.7900,0.7655,0.7974,0.7343,0.6751",edge|edge|edge|edge|edge|edge|geo|geo|geo|geo|geo|geo|text|text|text|text|text|text|review|review|review|review|review|review,0.75,3
