block,block_seed,strategy,workload_fp,wall_qps,wall_time_s,queries_total,queries_ok,queries_failed,advisor_calls,index_builds,T_A_total_ms,p_advisor,mean_hsm,hsm_below_theta,n_drift_points,precision,recall,hsm_series,phase_series,theta,k_periodic
0,9000,dci_gated,bc0e8928a13604f9,6.5272,73.539,480,480,0,10,11,31290.67,0.4167,0.749,8,3,nan,nan,"0.8370,0.8577,0.8089,0.8081,0.6765,0.6824,0.5352,0.7132,0.8274,0.7680,0.9142,0.7838,0.4662,0.6940,0.7671,0.8172,0.8004,0.7709,0.5217,0.7368,0.8126,0.7966,0.7834,0.7962",edge|edge|edge|edge|edge|edge|geo|geo|geo|geo|geo|geo|text|text|text|text|text|text|review|review|review|review|review|review,0.75,3
1,9100,dci_gated,a7a718fc25523ed6,6.5248,73.566,480,480,0,7,11,31283.48,0.2917,0.7567,8,3,nan,nan,"0.7443,0.8369,0.8264,0.7955,0.8042,0.9237,0.5303,0.8605,0.7545,0.8571,0.8209,0.8558,0.5009,0.7036,0.7664,0.8116,0.7493,0.7166,0.5311,0.7725,0.7572,0.7626,0.7503,0.7288",edge|edge|edge|edge|edge|edge|geo|geo|geo|geo|geo|geo|text|text|text|text|text|text|review|review|review|review|review|review,0.75,3
2,9200,dci_gated,5ef4e24c30be89d7,6.8521,70.051,480,480,0,11,10,27301.34,0.4583,0.7495,9,3,nan,nan,"0.8549,0.9271,0.8486,0.7860,0.7766,0.8053,0.5603,0.7891,0.7649,0.7308,0.7086,0.7137,0.5147,0.7987,0.8191,0.7391,0.7557,0.8424,0.4868,0.7222,0.6455,0.8488,0.7705,0.7785",edge|edge|edge|edge|edge|edge|geo|geo|geo|geo|geo|geo|text|text|text|text|text|text|review|review|review|review|review|review,0.75,3
3,9300,dci_gated,b4366e6ea5b4be02,7.7379,62.032,480,480,0,5,9,23899.47,0.2083,0.7567,8,3,nan,nan,"0.8039,0.8119,0.8270,0.8190,0.7379,0.8027,0.5737,0.8179,0.7788,0.6668,0.7497,0.8002,0.4741,0.8078,0.7486,0.7390,0.8415,0.7822,0.5695,0.8777,0.7959,0.7669,0.7721,0.7960",edge|edge|edge|edge|edge|edge|geo|geo|geo|geo|geo|geo|text|text|text|text|text|text|review|review|review|review|review|review,0.75,3
4,9400,dci_gated,0deb761447e9ff2a,7.6693,62.587,480,480,0,5,9,23856.71,0.2083,0.7547,7,3,nan,nan,"0.7778,0.8138,0.7624,0.7168,0.7435,0.8176,0.5238,0.7770,0.7859,0.8490,0.8400,0.8065,0.4472,0.8641,0.8751,0.8689,0.8351,0.7872,0.5071,0.8068,0.7889,0.7641,0.6911,0.6636",edge|edge|edge|edge|edge|edge|geo|geo|geo|geo|geo|geo|text|text|text|text|text|text|review|review|review|review|review|review,0.75,3
5,9500,dci_gated,aa9d6a087ddeba0c,5.8097,82.621,480,480,0,9,11,31156.72,0.375,0.7627,9,3,nan,nan,"0.8655,0.8030,0.7496,0.8367,0.8731,0.7823,0.4679,0.7549,0.8029,0.7499,0.8821,0.8840,0.5390,0.7959,0.7793,0.7156,0.7831,0.7427,0.5686,0.8493,0.7253,0.7009,0.8582,0.7948",edge|edge|edge|edge|edge|edge|geo|geo|geo|geo|geo|geo|text|text|text|text|text|text|review|review|review|review|review|review,0.75,3
6,9600,dci_gated,4d440c078b91413b,6.2416,76.903,480,480,0,6,11,30991.01,0.25,0.7572,5,3,nan,nan,"0.7927,0.8409,0.8034,0.7405,0.8231,0.8022,0.4671,0.7632,0.8417,0.7981,0.7555,0.8658,0.5104,0.8000,0.7948,0.7976,0.6920,0.8154,0.4625,0.8141,0.8113,0.7913,0.7851,0.8046",edge|edge|edge|edge|edge|edge|geo|geo|geo|geo|geo|geo|text|text|text|text|text|text|review|review|review|review|review|review,0.75,3
7,9700,dci_gated,ea777ef09d6d37eb,5.8994,81.364,480,480,0,8,11,30949.79,0.3333,0.7462,8,3,nan,nan,"0.8218,0.7876,0.7397,0.7878,0.8015,0.8038,0.5044,0.7342,0.8150,0.7733,0.7661,0.7951,0.4679,0.7945,0.8302,0.8054,0.8600,0.7630,0.5008,0.7647,0.7360,0.7216,0.7195,0.8160",edge|edge|edge|edge|edge|edge|geo|geo|geo|geo|geo|geo|text|text|text|text|text|text|review|review|review|review|review|review,0.75,3
8,9800,dci_gated,accecab27456bd44,6.0142,79.811,480,480,0,4,9,23233.28,0.1667,0.7467,8,3,nan,nan,"0.7359,0.7952,0.8053,0.7241,0.7907,0.7895,0.4969,0.8256,0.7559,0.7737,0.7701,0.7268,0.5798,0.7493,0.7866,0.8126,0.7697,0.7568,0.5160,0.7411,0.8868,0.7708,0.7645,0.7965",edge|edge|edge|edge|edge|edge|geo|geo|geo|geo|geo|geo|text|text|text|text|text|text|review|review|review|review|review|review,0.75,3
9,9900,dci_gated,acd808608d0a32ff,6.0453,79.401,480,480,0,10,11,31111.17,0.4167,0.7705,7,3,nan,nan,"0.8211,0.8651,0.8656,0.9089,0.8463,0.8889,0.5153,0.8119,0.7201,0.7857,0.7752,0.8089,0.5576,0.7943,0.7359,0.7942,0.7949,0.8577,0.5827,0.7903,0.7653,0.7974,0.7343,0.6751",edge|edge|edge|edge|edge|edge|geo|geo|geo|geo|geo|geo|text|text|text|text|text|text|review|review|review|review|review|review,0.75,3
