block,block_seed,strategy,window,phase,drift_truth,S_R,S_V,S_T,S_A,S_P,HSM,invoked,n_queries,n_ok,n_failed,exec_ms_window_sum,wall_ms_window,qps_window
0,9000,dci_gated,1,edge,0,0.8175445350038288,1.0,0.7788603733587827,0.8,0.778846153846154,0.8369851314996369,0,20,20,0,425.864,426.206,46.9257
0,9000,dci_gated,2,edge,0,0.8568140293617765,1.0,0.6505670034399254,0.9,0.8894871794871796,0.8577399849515062,0,20,20,0,378.936,379.276,52.7321
0,9000,dci_gated,3,edge,0,0.8126696968621718,1.0,0.6490735743448681,0.8,0.7725641025641026,0.808866754469132,0,20,20,0,541.555,541.792,36.9145
0,9000,dci_gated,4,edge,0,0.8657676528570004,1.0,0.5105933039520065,0.875,0.7637179487179487,0.8081182663123437,0,20,20,0,308.501,308.873,64.7514
0,9000,dci_gated,5,edge,0,0.6874393769329177,1.0,0.3016702924867819,0.6,0.8287179487179488,0.6765015950382781,1,20,20,0,607.571,607.792,32.906
0,9000,dci_gated,6,edge,0,0.6918450480558106,1.0,0.4140998731281583,0.6,0.7105128205128206,0.6823581597165074,1,20,20,0,278.513,278.869,71.7183
0,9000,dci_gated,7,geo,1,0.5153485913925353,1.0,0.022466990877118453,0.44285714285714284,0.7555128205128205,0.5352288976719092,1,20,20,0,6549.934,6550.505,3.0532
0,9000,dci_gated,8,geo,0,0.7038117241571322,1.0,0.6784903932235818,0.43333333333333335,0.765897435897436,0.7132022917352815,1,20,20,0,1421.15,1421.588,14.0688
0,9000,dci_gated,9,geo,0,0.8665705483050578,1.0,0.6977646956385772,0.75,0.8082051282051282,0.8274263454347492,0,20,20,0,932.891,933.268,21.4301
0,9000,dci_gated,10,geo,0,0.7973074109081197,1.0,0.6658291843309185,0.6166666666666667,0.7476923076923077,0.7679798690803931,1,20,20,0,791.396,791.76,25.2602
0,9000,dci_gated,11,geo,0,0.9433103979010584,1.0,0.7424437907588863,1.0,0.8656410256410257,0.9141625114731958,0,20,20,0,843.83,844.151,23.6924
0,9000,dci_gated,12,geo,0,0.7849231767117696,1.0,0.7663160863244907,0.7,0.6285897435897436,0.7837824729813021,0,20,20,0,832.403,832.77,24.0162
0,9000,dci_gated,13,text,1,0.4614073007367311,1.0,0.005754337467586579,0.19090909090909092,0.7435897435897436,0.4662229723979799,1,20,20,0,1722.314,1722.609,11.6103
0,9000,dci_gated,14,text,0,0.6970242246985601,1.0,0.3297179447770632,0.7,0.7589743589743589,0.6940457989762064,1,20,20,0,721.406,721.608,27.7159
0,9000,dci_gated,15,text,0,0.8030773374698623,1.0,0.40725139762910234,0.75,0.8992307692307693,0.7671042292779015,1,20,20,0,401.972,402.155,49.732
0,9000,dci_gated,16,text,0,0.8757362432135711,1.0,0.6935533421823562,0.875,0.5638461538461539,0.8172216523167872,0,20,20,0,291.074,291.242,68.6714
0,9000,dci_gated,17,text,0,0.8664380641852442,1.0,0.5273751908101648,0.9,0.6552564102564102,0.8003730157468055,0,20,20,0,582.89,583.034,34.3033
0,9000,dci_gated,18,text,0,0.7918246705700832,1.0,0.37848384407551605,0.8285714285714285,0.8767948717948719,0.7708864529411406,0,20,20,0,208.857,209.034,95.678
0,9000,dci_gated,19,review,1,0.49804125727054593,1.0,0.05366495443138841,0.3769230769230769,0.7402564102564104,0.5216663821269911,1,20,20,0,21908.921,21909.203,0.9129
0,9000,dci_gated,20,review,0,0.7550484954205989,1.0,0.47291584285270627,0.6444444444444444,0.8307692307692308,0.7368495659299645,1,20,20,0,513.228,513.504,38.9481
