block,block_seed,strategy,workload_fp,wall_qps,wall_time_s,queries_total,queries_ok,queries_failed,advisor_calls,index_builds,T_A_total_ms,p_advisor,mean_hsm,hsm_below_theta,n_drift_points,precision,recall,hsm_series,phase_series,theta,k_periodic
0,9000,dci_gated,8e83543d95452873,8.4405,83.408,704,704,0,7,8,23774.24,0.2917,0.7728,6,5,nan,nan,"0.8420,0.8577,0.8089,0.8081,0.4592,0.6485,0.7729,0.7050,0.6596,0.8810,0.8105,0.8573,0.5640,0.9337,0.8465,0.8036,0.7565,0.8118,0.8697,0.8531,0.5524,0.7694,0.8531,0.8226",edge|edge|edge|edge|geo|geo|geo|geo|geo|geo|geo|geo|review|review|review|review|review|review|review|review|edge|edge|edge|edge,0.75,3
1,9100,dci_gated,cb43e05d25034573,9.2478,76.126,704,704,0,6,8,23782.99,0.25,0.7737,8,5,nan,nan,"0.7423,0.8369,0.8264,0.7955,0.5108,0.9084,0.8007,0.8600,0.6615,0.8712,0.8347,0.7816,0.5110,0.8380,0.9298,0.8751,0.7004,0.6887,0.7751,0.6996,0.4957,0.8804,0.8827,0.8629",edge|edge|edge|edge|geo|geo|geo|geo|geo|geo|geo|geo|review|review|review|review|review|review|review|review|edge|edge|edge|edge,0.75,3
2,9200,dci_gated,61e96f9d09d3465e,8.8334,79.698,704,704,0,6,8,23982.07,0.25,0.762,7,5,nan,nan,"0.8549,0.9278,0.8479,0.7835,0.5456,0.7621,0.6618,0.7676,0.7236,0.8814,0.8490,0.8103,0.5278,0.7885,0.8350,0.8458,0.6896,0.7268,0.7666,0.7590,0.5639,0.7668,0.8088,0.7938",edge|edge|edge|edge|geo|geo|geo|geo|geo|geo|geo|geo|review|review|review|review|review|review|review|review|edge|edge|edge|edge,0.75,3
3,9300,dci_gated,0f0cb4410459a41a,8.775,80.228,704,704,0,5,8,23792.31,0.2083,0.781,7,5,nan,nan,"0.8039,0.8119,0.8250,0.8177,0.4915,0.8091,0.7852,0.7959,0.7345,0.9334,0.9294,0.9163,0.5231,0.8491,0.8478,0.8342,0.7318,0.8864,0.7823,0.7410,0.4875,0.7999,0.7417,0.8662",edge|edge|edge|edge|geo|geo|geo|geo|geo|geo|geo|geo|review|review|review|review|review|review|review|review|edge|edge|edge|edge,0.75,3
4,9400,dci_gated,6a6b7f934018b359,8.3053,84.765,704,704,0,5,8,23768.23,0.2083,0.7802,6,5,nan,nan,"0.7778,0.8138,0.7649,0.7143,0.5096,0.8221,0.8357,0.7666,0.7139,0.8742,0.8389,0.8606,0.5282,0.8445,0.8970,0.9069,0.6786,0.8617,0.7877,0.8756,0.5144,0.8084,0.8713,0.8578",edge|edge|edge|edge|geo|geo|geo|geo|geo|geo|geo|geo|review|review|review|review|review|review|review|review|edge|edge|edge|edge,0.75,3
5,9500,dci_gated,2ace369518f64075,7.2595,96.976,704,704,0,5,8,23877.73,0.2083,0.7845,8,5,nan,nan,"0.8655,0.8030,0.7496,0.8367,0.5963,0.7281,0.7994,0.7491,0.7363,0.9143,0.9287,0.9049,0.5335,0.8240,0.8078,0.8626,0.6150,0.7650,0.8558,0.8497,0.5628,0.8122,0.9301,0.7968",edge|edge|edge|edge|geo|geo|geo|geo|geo|geo|geo|geo|review|review|review|review|review|review|review|review|edge|edge|edge|edge,0.75,3
6,9600,dci_gated,caae606e1d6d8e30,8.6115,81.751,704,704,0,5,8,23850.91,0.2083,0.7742,6,5,nan,nan,"0.7927,0.8411,0.8037,0.7405,0.4910,0.8001,0.8110,0.7520,0.7373,0.8665,0.8810,0.9133,0.5273,0.8720,0.8385,0.7944,0.7925,0.8532,0.7118,0.8034,0.4815,0.7895,0.7863,0.9011",edge|edge|edge|edge|geo|geo|geo|geo|geo|geo|geo|geo|review|review|review|review|review|review|review|review|edge|edge|edge|edge,0.75,3
7,9700,dci_gated,dd48bb76d62bbad7,8.5069,82.757,704,704,0,6,8,23976.82,0.25,0.7644,8,5,nan,nan,"0.8218,0.7876,0.7397,0.7878,0.5130,0.7724,0.8026,0.7360,0.7636,0.8839,0.9051,0.9119,0.5869,0.8165,0.8264,0.9222,0.6533,0.8113,0.7871,0.7344,0.4902,0.7935,0.7201,0.7782",edge|edge|edge|edge|geo|geo|geo|geo|geo|geo|geo|geo|review|review|review|review|review|review|review|review|edge|edge|edge|edge,0.75,3
8,9800,dci_gated,bd4d7ce81f08b9b4,8.4979,82.844,704,704,0,5,8,23997.39,0.2083,0.7762,8,5,nan,nan,"0.7359,0.7952,0.8053,0.7241,0.4821,0.7345,0.7569,0.8307,0.7390,0.9111,0.8972,0.8940,0.5245,0.8729,0.9224,0.8881,0.7604,0.8391,0.7935,0.6960,0.5416,0.8858,0.7695,0.8300",edge|edge|edge|edge|geo|geo|geo|geo|geo|geo|geo|geo|review|review|review|review|review|review|review|review|edge|edge|edge|edge,0.75,3
9,9900,dci_gated,d0a4100aa61d0ff0,7.9234,88.85,704,704,0,6,8,23809.36,0.25,0.7795,5,5,nan,nan,"0.8211,0.8651,0.8656,0.9089,0.5099,0.8172,0.8640,0.7925,0.7799,0.9029,0.8579,0.8389,0.5628,0.8578,0.8524,0.8946,0.6575,0.7194,0.7616,0.8119,0.4465,0.7758,0.7640,0.7793",edge|edge|edge|edge|geo|geo|geo|geo|geo|geo|geo|geo|review|review|review|review|review|review|review|review|edge|edge|edge|edge,0.75,3
