block,block_seed,strategy,window,phase,drift_truth,S_R,S_V,S_T,S_A,S_P,HSM,invoked,gate_dci,gate_regime,gate_R4s,gate_audit,det_ms,features_used,sp_out_of_band,n_queries,n_ok,n_failed,exec_ms_window_sum,wall_ms_window,qps_window
0,9000,dci_gated,1,edge,0,0.8175445350038288,1.0,0.7788603733587827,0.8,0.8038461538461539,0.840735131499637,0,1.0,full,1.0,0,3.3115,full,0,20,20,0,423.445,423.693,47.204
0,9000,dci_gated,2,edge,0,0.8568140293617765,1.0,0.6505670034399254,0.9,0.8894871794871796,0.8577399849515062,0,1.5734,full,1.0,0,2.0647,full,0,20,20,0,380.367,380.727,52.5311
0,9000,dci_gated,3,edge,0,0.8126696968621718,1.0,0.6490735743448681,0.8,0.7725641025641026,0.808866754469132,0,1.6829,full,1.0,0,2.0956,full,0,20,20,0,549.874,550.132,36.3549
0,9000,dci_gated,4,edge,0,0.8657676528570004,1.0,0.5105933039520065,0.875,0.7637179487179487,0.8081182663123437,0,1.3079,full,1.0,0,2.067,full,0,20,20,0,312.145,312.515,63.997
0,9000,dci_gated,5,geo,1,0.4166952732048943,1.0,0.0,0.17142857142857143,0.7885897435897437,0.45674799412539946,1,1.093,full,0.6725,0,2.1046,full,0,20,20,0,7084.729,7085.349,2.8227
0,9000,dci_gated,6,geo,0,0.6707436088633502,1.0,0.4705343330096934,0.43333333333333335,0.6920512820512821,0.6522671277921351,1,1.0988,full,0.591,0,3.0267,full,0,20,20,0,3896.426,3897.05,5.1321
0,9000,dci_gated,7,geo,0,0.7644618960149923,1.0,0.6132316586056861,0.7166666666666667,0.7584615384615385,0.7708643698274493,0,1.0975,full,0.61,0,2.2165,full,0,20,20,0,2134.5,2135.077,9.3673
0,9000,dci_gated,8,geo,0,0.7038117241571322,1.0,0.6784903932235818,0.43333333333333335,0.722948717948718,0.7067599840429738,1,1.1608,full,0.5393,0,2.0174,full,0,20,20,0,1851.193,1851.638,10.8012
0,9000,dci_gated,9,geo,1,0.7798857320966481,0.4166666666666667,0.7229002652685388,0.5166666666666667,0.8892307692307693,0.6596027681291519,1,1.0008,full,0.9996,0,2.0807,full,0,48,48,0,5400.027,5400.88,8.8874
0,9000,dci_gated,10,geo,0,0.8651043846441083,1.0,0.8012294315017471,0.9,0.8295570079883806,0.8809555336596336,0,1.0009,full,0.9996,0,3.8758,full,0,48,48,0,3689.276,3690.251,13.0072
0,9000,dci_gated,11,geo,0,0.8185792599470637,1.0,0.717979596395753,0.8,0.6817719680464779,0.8105065294728883,0,1.0009,full,0.9996,0,3.7747,full,0,48,48,0,2762.757,2763.638,17.3684
0,9000,dci_gated,12,geo,0,0.8673824235724212,1.0,0.7774343356900039,0.9,0.6996732026143792,0.8572834534232631,0,1.0009,full,0.9996,0,4.0433,full,0,48,48,0,3155.883,3156.769,15.2054
0,9000,dci_gated,13,review,1,0.49268928470822393,1.0,0.061680684201312896,0.625,0.6978213507625273,0.5651816606316976,1,1.0012,full,0.9994,0,3.7036,full,0,48,48,0,21411.518,21412.307,2.2417
0,9000,dci_gated,14,review,0,0.9746560095889856,1.0,0.8645974648316603,1.0,0.7832244008714597,0.9340671554942974,0,1.0012,full,0.9994,0,5.0249,full,0,48,48,0,1404.865,1405.539,34.1506
0,9000,dci_gated,15,review,0,0.8493820531950165,1.0,0.7305544206461717,0.9,0.7204429920116195,0.8465228462297314,0,1.0012,full,0.9994,0,3.7577,full,0,48,48,0,796.757,797.212,60.2098
0,9000,dci_gated,16,review,0,0.8532692316004895,1.0,0.5097697957329224,0.9,0.7220406681190996,0.8035773672645719,0,1.0013,full,0.9994,0,3.7186,full,0,48,48,0,1233.8,1234.259,38.8897
0,9000,dci_gated,17,review,1,0.9142924900465794,0.4166666666666667,0.6858986867614657,1.0,0.7107692307692308,0.755701577812656,1,1.0007,full,0.9997,0,2.0902,full,0,20,20,0,777.653,777.837,25.7123
0,9000,dci_gated,18,review,0,0.8282667471598971,1.0,0.5256060811481686,0.9,0.7975641025641025,0.8118225184042235,0,1.0007,full,0.9997,0,1.9467,full,0,20,20,0,509.192,509.384,39.2631
0,9000,dci_gated,19,review,0,0.8488575160432829,1.0,0.8043062325516624,0.9,0.7553846153846153,0.8663833178288456,0,1.0007,full,0.9997,0,1.9125,full,0,20,20,0,314.682,314.879,63.5165
0,9000,dci_gated,20,review,0,0.8183277117007426,1.0,0.6971788830652785,0.9,0.8374358974358975,0.8496330891536261,0,1.0007,full,0.9997,0,1.9934,full,0,20,20,0,492.349,492.548,40.6052
0,9000,dci_gated,21,edge,1,0.5387363925604041,1.0,0.055772826813598075,0.46590909090909094,0.7507692307692309,0.5516358663000235,1,1.0008,full,0.9996,0,1.9818,full,0,20,20,0,500.598,500.912,39.9272
0,9000,dci_gated,22,edge,0,0.7453375586942754,1.0,0.790973357025115,0.625,0.6573076923076924,0.7681252149247457,0,1.0009,full,0.9996,0,2.0683,full,0,20,20,0,468.606,468.865,42.6562
0,9000,dci_gated,23,edge,0,0.8501775419428053,1.0,0.7442574154968986,0.8333333333333333,0.8337179487179488,0.8531202275594401,0,1.0009,full,0.9996,0,2.1302,full,0,20,20,0,301.173,301.501,66.3348
0,9000,dci_gated,24,edge,0,0.7607370766594177,1.0,0.8337420285188094,0.7,0.8378205128205128,0.8226057517916933,0,1.0009,full,0.9996,0,2.1229,full,0,20,20,0,300.175,300.483,66.5596
