block,block_seed,strategy,workload_fp,wall_qps,wall_time_s,queries_total,queries_ok,queries_failed,advisor_calls,index_builds,T_A_total_ms,p_advisor,mean_hsm,hsm_below_theta,n_drift_points,precision,recall,hsm_series,phase_series,theta,k_periodic
0,9000,dci_gated,8e83543d95452873,8.4649,83.167,704,704,0,7,8,23933.95,0.2917,0.7724,6,5,nan,nan,"0.8395,0.8577,0.8089,0.8081,0.4560,0.6502,0.7729,0.7050,0.6571,0.8806,0.8101,0.8565,0.5640,0.9337,0.8469,0.8044,0.7557,0.8106,0.8701,0.8534,0.5516,0.7681,0.8531,0.8226",edge|edge|edge|edge|geo|geo|geo|geo|geo|geo|geo|geo|review|review|review|review|review|review|review|review|edge|edge|edge|edge,0.75,3
1,9100,dci_gated,cb43e05d25034573,9.3154,75.574,704,704,0,8,8,23734.39,0.3333,0.7739,8,5,nan,nan,"0.7443,0.8369,0.8264,0.7955,0.5118,0.9064,0.7977,0.8640,0.6615,0.8704,0.8338,0.7811,0.5118,0.8374,0.9304,0.8742,0.7004,0.6887,0.7751,0.6996,0.4957,0.8779,0.8852,0.8679",edge|edge|edge|edge|geo|geo|geo|geo|geo|geo|geo|geo|review|review|review|review|review|review|review|review|edge|edge|edge|edge,0.75,3
2,9200,dci_gated,61e96f9d09d3465e,8.8712,79.358,704,704,0,6,8,23615.01,0.25,0.762,7,5,nan,nan,"0.8539,0.9271,0.8486,0.7835,0.5456,0.7621,0.6618,0.7676,0.7236,0.8820,0.8484,0.8103,0.5278,0.7885,0.8342,0.8458,0.6896,0.7268,0.7666,0.7590,0.5649,0.7668,0.8088,0.7938",edge|edge|edge|edge|geo|geo|geo|geo|geo|geo|geo|geo|review|review|review|review|review|review|review|review|edge|edge|edge|edge,0.75,3
3,9300,dci_gated,0f0cb4410459a41a,8.8128,79.884,704,704,0,6,8,23698.95,0.25,0.7811,7,5,nan,nan,"0.8032,0.8112,0.8250,0.8177,0.4915,0.8091,0.7852,0.7959,0.7337,0.9268,0.9294,0.9163,0.5236,0.8481,0.8448,0.8356,0.7318,0.8849,0.7873,0.7450,0.4885,0.8024,0.7425,0.8662",edge|edge|edge|edge|geo|geo|geo|geo|geo|geo|geo|geo|review|review|review|review|review|review|review|review|edge|edge|edge|edge,0.75,3
4,9400,dci_gated,6a6b7f934018b359,8.2758,85.068,704,704,0,6,8,24044.43,0.25,0.7799,6,5,nan,nan,"0.7778,0.8138,0.7624,0.7168,0.5096,0.8196,0.8307,0.7676,0.7149,0.8742,0.8389,0.8606,0.5272,0.8451,0.8970,0.9066,0.6786,0.8617,0.7852,0.8766,0.5154,0.8059,0.8738,0.8578",edge|edge|edge|edge|geo|geo|geo|geo|geo|geo|geo|geo|review|review|review|review|review|review|review|review|edge|edge|edge|edge,0.75,3
5,9500,dci_gated,2ace369518f64075,8.1681,86.189,704,704,0,7,8,23717.86,0.2917,0.7825,8,5,nan,nan,"0.8655,0.8030,0.7496,0.8367,0.5963,0.7269,0.7901,0.7279,0.7146,0.9134,0.9332,0.9016,0.5324,0.8223,0.8095,0.8643,0.6150,0.7663,0.8570,0.8507,0.5638,0.8122,0.9301,0.7978",edge|edge|edge|edge|geo|geo|geo|geo|geo|geo|geo|geo|review|review|review|review|review|review|review|review|edge|edge|edge|edge,0.75,3
6,9600,dci_gated,caae606e1d6d8e30,8.6198,81.672,704,704,0,6,8,23906.23,0.25,0.7738,6,5,nan,nan,"0.7927,0.8411,0.8037,0.7405,0.4910,0.7989,0.8097,0.7520,0.7373,0.8640,0.8769,0.9133,0.5267,0.8698,0.8402,0.7944,0.7925,0.8532,0.7118,0.8034,0.4815,0.7895,0.7863,0.9011",edge|edge|edge|edge|geo|geo|geo|geo|geo|geo|geo|geo|review|review|review|review|review|review|review|review|edge|edge|edge|edge,0.75,3
7,9700,dci_gated,dd48bb76d62bbad7,8.5477,82.361,704,704,0,6,8,23737.76,0.25,0.7643,8,5,nan,nan,"0.8218,0.7851,0.7389,0.7886,0.5130,0.7724,0.8026,0.7360,0.7636,0.8839,0.9051,0.9119,0.5869,0.8155,0.8288,0.9232,0.6506,0.8115,0.7887,0.7344,0.4889,0.7947,0.7201,0.7782",edge|edge|edge|edge|geo|geo|geo|geo|geo|geo|geo|geo|review|review|review|review|review|review|review|review|edge|edge|edge|edge,0.75,3
8,9800,dci_gated,bd4d7ce81f08b9b4,8.5426,82.411,704,704,0,6,8,23724.85,0.25,0.7763,8,5,nan,nan,"0.7372,0.7952,0.8053,0.7241,0.4821,0.7345,0.7569,0.8307,0.7390,0.9111,0.8972,0.8940,0.5245,0.8737,0.9230,0.8864,0.7596,0.8398,0.7935,0.6960,0.5416,0.8858,0.7695,0.8300",edge|edge|edge|edge|geo|geo|geo|geo|geo|geo|geo|geo|review|review|review|review|review|review|review|review|edge|edge|edge|edge,0.75,3
9,9900,dci_gated,d0a4100aa61d0ff0,7.9412,88.652,704,704,0,6,8,23673.71,0.25,0.7792,5,5,nan,nan,"0.8211,0.8651,0.8656,0.9077,0.5111,0.8197,0.8640,0.7925,0.7799,0.9029,0.8579,0.8405,0.5628,0.8584,0.8474,0.8903,0.6575,0.7204,0.7606,0.8119,0.4465,0.7745,0.7640,0.7778",edge|edge|edge|edge|geo|geo|geo|geo|geo|geo|geo|geo|review|review|review|review|review|review|review|review|edge|edge|edge|edge,0.75,3
