block,block_seed,strategy,workload_fp,wall_qps,wall_time_s,queries_total,queries_ok,queries_failed,advisor_calls,index_builds,T_A_total_ms,p_advisor,mean_hsm,hsm_below_theta,n_drift_points,precision,recall,hsm_series,phase_series,theta,k_periodic
0,9000,dci_gated,8e83543d95452873,8.4374,83.438,704,704,0,7,8,23812.94,0.2917,0.7728,6,5,nan,nan,"0.8420,0.8577,0.8089,0.8081,0.4527,0.6595,0.7729,0.7050,0.6596,0.8810,0.8105,0.8567,0.5640,0.9341,0.8465,0.8019,0.7567,0.8106,0.8709,0.8514,0.5516,0.7681,0.8531,0.8226",edge|edge|edge|edge|geo|geo|geo|geo|geo|geo|geo|geo|review|review|review|review|review|review|review|review|edge|edge|edge|edge,0.75,3
1,9100,dci_gated,cb43e05d25034573,9.2361,76.223,704,704,0,6,8,24329.12,0.25,0.7736,8,5,nan,nan,"0.7423,0.8369,0.8264,0.7955,0.5118,0.9067,0.7945,0.8650,0.6615,0.8716,0.8343,0.7812,0.5114,0.8341,0.9288,0.8742,0.7014,0.6877,0.7751,0.6996,0.4957,0.8804,0.8827,0.8679",edge|edge|edge|edge|geo|geo|geo|geo|geo|geo|geo|geo|review|review|review|review|review|review|review|review|edge|edge|edge|edge,0.75,3
2,9200,dci_gated,61e96f9d09d3465e,8.7975,80.023,704,704,0,6,8,23782.48,0.25,0.7617,7,5,nan,nan,"0.8539,0.9278,0.8479,0.7835,0.5456,0.7609,0.6618,0.7676,0.7223,0.8836,0.8428,0.8103,0.5278,0.7888,0.8354,0.8458,0.6896,0.7268,0.7666,0.7590,0.5639,0.7668,0.8088,0.7938",edge|edge|edge|edge|geo|geo|geo|geo|geo|geo|geo|geo|review|review|review|review|review|review|review|review|edge|edge|edge|edge,0.75,3
3,9300,dci_gated,0f0cb4410459a41a,8.7977,80.021,704,704,0,5,8,23850.61,0.2083,0.7816,7,5,nan,nan,"0.8039,0.8119,0.8250,0.8177,0.5015,0.8091,0.7852,0.7959,0.7337,0.9338,0.9290,0.9163,0.5236,0.8534,0.8473,0.8354,0.7293,0.8849,0.7848,0.7400,0.4885,0.7999,0.7425,0.8662",edge|edge|edge|edge|geo|geo|geo|geo|geo|geo|geo|geo|review|review|review|review|review|review|review|review|edge|edge|edge|edge,0.75,3
4,9400,dci_gated,6a6b7f934018b359,8.2773,85.051,704,704,0,5,8,23819.4,0.2083,0.7802,6,5,nan,nan,"0.7778,0.8138,0.7649,0.7193,0.5138,0.8196,0.8307,0.7666,0.7139,0.8742,0.8389,0.8606,0.5287,0.8451,0.8966,0.9062,0.6786,0.8617,0.7869,0.8736,0.5154,0.8084,0.8713,0.8578",edge|edge|edge|edge|geo|geo|geo|geo|geo|geo|geo|geo|review|review|review|review|review|review|review|review|edge|edge|edge|edge,0.75,3
5,9500,dci_gated,2ace369518f64075,7.3181,96.2,704,704,0,5,8,23783.93,0.2083,0.7855,7,5,nan,nan,"0.8655,0.8030,0.7571,0.8367,0.5963,0.7294,0.8006,0.7491,0.7338,0.9151,0.9295,0.9049,0.5341,0.8313,0.8097,0.8626,0.6150,0.7663,0.8558,0.8532,0.5638,0.8122,0.9301,0.7968",edge|edge|edge|edge|geo|geo|geo|geo|geo|geo|geo|geo|review|review|review|review|review|review|review|review|edge|edge|edge|edge,0.75,3
6,9600,dci_gated,caae606e1d6d8e30,8.6087,81.778,704,704,0,5,8,23778.72,0.2083,0.7737,6,5,nan,nan,"0.7935,0.8386,0.8037,0.7380,0.4910,0.8001,0.8110,0.7536,0.7381,0.8640,0.8776,0.9130,0.5257,0.8687,0.8427,0.7927,0.7925,0.8532,0.7118,0.8014,0.4825,0.7895,0.7863,0.8986",edge|edge|edge|edge|geo|geo|geo|geo|geo|geo|geo|geo|review|review|review|review|review|review|review|review|edge|edge|edge|edge,0.75,3
7,9700,dci_gated,dd48bb76d62bbad7,8.5608,82.235,704,704,0,6,8,23781.31,0.25,0.765,8,5,nan,nan,"0.8218,0.7876,0.7397,0.7878,0.5130,0.7724,0.8026,0.7360,0.7636,0.8839,0.9051,0.9119,0.5873,0.8164,0.8333,0.9217,0.6558,0.8105,0.7887,0.7344,0.4977,0.7910,0.7201,0.7782",edge|edge|edge|edge|geo|geo|geo|geo|geo|geo|geo|geo|review|review|review|review|review|review|review|review|edge|edge|edge|edge,0.75,3
8,9800,dci_gated,bd4d7ce81f08b9b4,8.5369,82.466,704,704,0,5,8,23757.93,0.2083,0.776,8,5,nan,nan,"0.7359,0.7952,0.8053,0.7241,0.4821,0.7345,0.7569,0.8307,0.7360,0.9075,0.8955,0.8940,0.5234,0.8725,0.9230,0.8873,0.7642,0.8391,0.7935,0.6960,0.5416,0.8858,0.7695,0.8300",edge|edge|edge|edge|geo|geo|geo|geo|geo|geo|geo|geo|review|review|review|review|review|review|review|review|edge|edge|edge|edge,0.75,3
9,9900,dci_gated,d0a4100aa61d0ff0,7.909,89.013,704,704,0,6,8,23865.09,0.25,0.7794,5,5,nan,nan,"0.8211,0.8676,0.8631,0.9089,0.5099,0.8172,0.8640,0.7925,0.7799,0.9029,0.8579,0.8411,0.5628,0.8598,0.8493,0.8940,0.6555,0.7194,0.7616,0.8119,0.4465,0.7745,0.7640,0.7793",edge|edge|edge|edge|geo|geo|geo|geo|geo|geo|geo|geo|review|review|review|review|review|review|review|review|edge|edge|edge|edge,0.75,3
