block,block_seed,strategy,workload_fp,wall_qps,wall_time_s,queries_total,queries_ok,queries_failed,advisor_calls,index_builds,T_A_total_ms,p_advisor,mean_hsm,hsm_below_theta,n_drift_points,precision,recall,hsm_series,phase_series,theta,k_periodic
0,9000,dci_gated,8e83543d95452873,8.3594,84.216,704,704,0,7,8,24058.89,0.2917,0.7725,6,5,nan,nan,"0.8420,0.8577,0.8064,0.8081,0.4592,0.6485,0.7729,0.7050,0.6581,0.8806,0.8101,0.8573,0.5618,0.9354,0.8486,0.8036,0.7557,0.8106,0.8709,0.8529,0.5516,0.7681,0.8531,0.8226",edge|edge|edge|edge|geo|geo|geo|geo|geo|geo|geo|geo|review|review|review|review|review|review|review|review|edge|edge|edge|edge,0.75,3
1,9100,dci_gated,cb43e05d25034573,9.0473,77.814,704,704,0,8,8,24276.31,0.3333,0.7733,8,5,nan,nan,"0.7398,0.8369,0.8264,0.7955,0.5118,0.9064,0.7987,0.8650,0.6605,0.8708,0.8338,0.7813,0.5114,0.8358,0.9298,0.8689,0.7014,0.6877,0.7751,0.6996,0.4957,0.8779,0.8852,0.8629",edge|edge|edge|edge|geo|geo|geo|geo|geo|geo|geo|geo|review|review|review|review|review|review|review|review|edge|edge|edge|edge,0.75,3
2,9200,dci_gated,61e96f9d09d3465e,8.8288,79.739,704,704,0,6,8,23831.51,0.25,0.7616,7,5,nan,nan,"0.8539,0.9278,0.8479,0.7835,0.5469,0.7609,0.6618,0.7676,0.7236,0.8808,0.8432,0.8103,0.5278,0.7894,0.8339,0.8441,0.6896,0.7268,0.7666,0.7580,0.5649,0.7668,0.8088,0.7938",edge|edge|edge|edge|geo|geo|geo|geo|geo|geo|geo|geo|review|review|review|review|review|review|review|review|edge|edge|edge|edge,0.75,3
3,9300,dci_gated,0f0cb4410459a41a,8.747,80.485,704,704,0,6,8,23881.49,0.25,0.7804,7,5,nan,nan,"0.8032,0.8112,0.8250,0.8177,0.4915,0.8091,0.7852,0.7959,0.7337,0.9271,0.9294,0.9163,0.5218,0.8473,0.8456,0.8344,0.7293,0.8849,0.7848,0.7400,0.4885,0.7999,0.7425,0.8662",edge|edge|edge|edge|geo|geo|geo|geo|geo|geo|geo|geo|review|review|review|review|review|review|review|review|edge|edge|edge|edge,0.75,3
4,9400,dci_gated,6a6b7f934018b359,8.2966,84.854,704,704,0,6,8,23907.29,0.25,0.7802,6,5,nan,nan,"0.7778,0.8138,0.7649,0.7143,0.5096,0.8201,0.8369,0.7676,0.7142,0.8742,0.8389,0.8612,0.5287,0.8445,0.8966,0.9062,0.6802,0.8633,0.7852,0.8749,0.5144,0.8084,0.8713,0.8578",edge|edge|edge|edge|geo|geo|geo|geo|geo|geo|geo|geo|review|review|review|review|review|review|review|review|edge|edge|edge|edge,0.75,3
5,9500,dci_gated,2ace369518f64075,8.0919,87.0,704,704,0,7,8,24005.71,0.2917,0.7824,8,5,nan,nan,"0.8655,0.8030,0.7496,0.8367,0.5963,0.7281,0.7914,0.7266,0.7146,0.9126,0.9323,0.9011,0.5319,0.8238,0.8080,0.8643,0.6150,0.7650,0.8545,0.8532,0.5638,0.8122,0.9301,0.7978",edge|edge|edge|edge|geo|geo|geo|geo|geo|geo|geo|geo|review|review|review|review|review|review|review|review|edge|edge|edge|edge,0.75,3
6,9600,dci_gated,caae606e1d6d8e30,8.5894,81.962,704,704,0,6,8,23915.78,0.25,0.7734,7,5,nan,nan,"0.7970,0.8389,0.8042,0.7380,0.4910,0.7989,0.8097,0.7495,0.7340,0.8636,0.8773,0.9142,0.5259,0.8778,0.8302,0.7927,0.7925,0.8532,0.7118,0.8034,0.4815,0.7895,0.7863,0.9011",edge|edge|edge|edge|geo|geo|geo|geo|geo|geo|geo|geo|review|review|review|review|review|review|review|review|edge|edge|edge|edge,0.75,3
7,9700,dci_gated,dd48bb76d62bbad7,8.3863,83.946,704,704,0,6,8,24136.68,0.25,0.765,8,5,nan,nan,"0.8226,0.7876,0.7397,0.7878,0.5130,0.7724,0.8026,0.7360,0.7636,0.8839,0.9043,0.9127,0.5873,0.8164,0.8319,0.9220,0.6568,0.8105,0.7887,0.7344,0.4977,0.7910,0.7201,0.7782",edge|edge|edge|edge|geo|geo|geo|geo|geo|geo|geo|geo|review|review|review|review|review|review|review|review|edge|edge|edge|edge,0.75,3
8,9800,dci_gated,bd4d7ce81f08b9b4,8.4974,82.849,704,704,0,6,8,23860.07,0.25,0.7762,8,5,nan,nan,"0.7397,0.7962,0.7981,0.7291,0.4831,0.7345,0.7594,0.8282,0.7390,0.9086,0.8972,0.8940,0.5234,0.8737,0.9230,0.8860,0.7596,0.8398,0.7935,0.6960,0.5416,0.8858,0.7695,0.8300",edge|edge|edge|edge|geo|geo|geo|geo|geo|geo|geo|geo|review|review|review|review|review|review|review|review|edge|edge|edge|edge,0.75,3
9,9900,dci_gated,d0a4100aa61d0ff0,7.9197,88.893,704,704,0,7,8,23767.96,0.2917,0.7794,5,5,nan,nan,"0.8211,0.8651,0.8656,0.9089,0.5099,0.8197,0.8640,0.7925,0.7799,0.9029,0.8579,0.8389,0.5645,0.8578,0.8513,0.8940,0.6575,0.7194,0.7601,0.8112,0.4465,0.7745,0.7640,0.7793",edge|edge|edge|edge|geo|geo|geo|geo|geo|geo|geo|geo|review|review|review|review|review|review|review|review|edge|edge|edge|edge,0.75,3
