block,block_seed,strategy,window,phase,drift_truth,S_R,S_V,S_T,S_A,S_P,HSM,invoked,gate_dci,gate_regime,n_queries,n_ok,n_failed,exec_ms_window_sum,wall_ms_window,qps_window
0,9000,dci_gated,1,edge,0,0.8175445350038288,1.0,0.7788603733587827,0.8,0.7903846153846155,0.8387159007304061,0,,5-D,20,20,0,426.475,426.795,46.8609
0,9000,dci_gated,2,edge,0,0.8568140293617765,1.0,0.6505670034399254,0.9,0.9093589743589744,0.8607207541822754,0,,5-D,20,20,0,384.255,384.61,52.0008
0,9000,dci_gated,3,edge,0,0.8126696968621718,1.0,0.6490735743448681,0.8,0.7725641025641026,0.808866754469132,0,1.5242,1-D,20,20,0,550.267,550.534,36.3284
0,9000,dci_gated,4,edge,0,0.8657676528570004,1.0,0.5105933039520065,0.875,0.7585897435897436,0.807349035543113,0,1.7751,1-D,20,20,0,312.649,313.009,63.8958
0,9000,dci_gated,5,geo,1,0.4166952732048943,1.0,0.0,0.17142857142857143,0.8103846153846154,0.4600172248946302,1,1.1488,1-D,20,20,0,7072.305,7073.027,2.8276
0,9000,dci_gated,6,geo,0,0.6707436088633502,1.0,0.4705343330096934,0.43333333333333335,0.6670512820512821,0.6485171277921352,1,1.1664,1-D,20,20,0,3787.815,3788.263,5.2795
0,9000,dci_gated,7,geo,0,0.7644618960149923,1.0,0.6132316586056861,0.7166666666666667,0.7719230769230769,0.7728836005966802,0,1.1644,1-D,20,20,0,2076.476,2076.956,9.6295
0,9000,dci_gated,8,geo,0,0.7038117241571322,1.0,0.6784903932235818,0.43333333333333335,0.7188461538461538,0.7061445994275892,1,1.2441,1-D,20,20,0,1903.879,1904.376,10.5021
0,9000,dci_gated,9,geo,1,0.7798857320966481,0.4166666666666667,0.7229002652685388,0.5166666666666667,0.8674358974358974,0.6563335373599212,1,1.7768,1-D,48,48,0,5445.769,5446.737,8.8126
0,9000,dci_gated,10,geo,0,0.8651043846441083,1.0,0.8012294315017471,0.9,0.8295570079883806,0.8809555336596336,0,1.7748,1-D,48,48,0,3699.035,3700.084,12.9727
0,9000,dci_gated,11,geo,0,0.8185792599470637,1.0,0.717979596395753,0.8,0.6817719680464779,0.8105065294728883,0,1.7859,1-D,48,48,0,2771.667,2772.688,17.3117
0,9000,dci_gated,12,geo,0,0.8673824235724212,1.0,0.7774343356900039,0.9,0.6996732026143792,0.8572834534232631,0,1.7829,1-D,48,48,0,3151.162,3152.124,15.2278
0,9000,dci_gated,13,review,1,0.49268928470822393,1.0,0.061680684201312896,0.625,0.6811546840958607,0.5626816606316977,0,1.7535,1-D,48,48,0,21530.789,21531.556,2.2293
0,9000,dci_gated,14,review,0,0.9746560095889856,1.0,0.8645974648316603,1.0,0.652323892519971,0.9144320792415741,0,1.7405,1-D,48,48,0,10874.307,10875.1,4.4138
0,9000,dci_gated,15,review,0,0.8493820531950165,1.0,0.7305544206461717,0.9,0.7119825708061003,0.8452537830489035,0,1.7425,1-D,48,48,0,13327.406,13328.263,3.6014
0,9000,dci_gated,16,review,0,0.8532692316004895,1.0,0.5097697957329224,0.9,0.7201888162672476,0.803299589486794,0,1.789,1-D,48,48,0,15291.805,15292.608,3.1388
0,9000,dci_gated,17,review,1,0.9142924900465794,0.4166666666666667,0.6858986867614657,1.0,0.758974358974359,0.7629323470434252,1,2.1281,1-D,20,20,0,3752.394,3752.699,5.3295
0,9000,dci_gated,18,review,0,0.8282667471598971,1.0,0.5256060811481686,0.9,0.7473076923076923,0.8042840568657619,0,2.1643,1-D,20,20,0,529.118,529.358,37.7816
0,9000,dci_gated,19,review,0,0.8488575160432829,1.0,0.8043062325516624,0.9,0.7921794871794873,0.8719025485980764,0,2.1554,1-D,20,20,0,320.556,320.819,62.3404
0,9000,dci_gated,20,review,0,0.8183277117007426,1.0,0.6971788830652785,0.9,0.865897435897436,0.8539023199228568,0,2.1735,1-D,20,20,0,496.582,496.818,40.2562
0,9000,dci_gated,21,edge,1,0.5387363925604041,1.0,0.055772826813598075,0.46590909090909094,0.7557692307692309,0.5523858663000235,0,1.9541,1-D,20,20,0,508.978,509.261,39.2726
0,9000,dci_gated,22,edge,0,0.7453375586942754,1.0,0.790973357025115,0.625,0.6656410256410257,0.7693752149247457,0,1.9966,1-D,20,20,0,477.39,477.68,41.869
0,9000,dci_gated,23,edge,0,0.8501775419428053,1.0,0.7442574154968986,0.8333333333333333,0.8337179487179488,0.8531202275594401,0,2.0001,1-D,20,20,0,306.152,306.481,65.2569
0,9000,dci_gated,24,edge,0,0.7607370766594177,1.0,0.8337420285188094,0.7,0.8378205128205128,0.8226057517916933,0,2.0321,1-D,20,20,0,303.733,304.072,65.7739
