block,block_seed,strategy,workload_fp,wall_qps,wall_time_s,queries_total,queries_ok,queries_failed,advisor_calls,index_builds,T_A_total_ms,p_advisor,mean_hsm,hsm_below_theta,n_drift_points,precision,recall,hsm_series,phase_series,theta,k_periodic
0,9000,dci_gated,8e83543d95452873,5.7334,122.789,704,704,0,5,8,24941.9,0.2083,0.7719,6,5,nan,nan,"0.8420,0.8640,0.8089,0.8081,0.4592,0.6485,0.7729,0.7050,0.6571,0.8810,0.8105,0.8573,0.5640,0.9135,0.8453,0.8041,0.7629,0.8033,0.8709,0.8521,0.5516,0.7681,0.8531,0.8226",edge|edge|edge|edge|geo|geo|geo|geo|geo|geo|geo|geo|review|review|review|review|review|review|review|review|edge|edge|edge|edge,0.75,3
1,9100,dci_gated,cb43e05d25034573,5.9021,119.28,704,704,0,4,8,25425.39,0.1667,0.7734,8,5,nan,nan,"0.7418,0.8369,0.8264,0.7955,0.5108,0.9074,0.7967,0.8650,0.6615,0.8712,0.8335,0.7804,0.5114,0.8537,0.9253,0.8662,0.6909,0.6874,0.7751,0.6996,0.4957,0.8804,0.8827,0.8654",edge|edge|edge|edge|geo|geo|geo|geo|geo|geo|geo|geo|review|review|review|review|review|review|review|review|edge|edge|edge|edge,0.75,3
2,9200,dci_gated,61e96f9d09d3465e,6.0007,117.321,704,704,0,4,8,24824.02,0.1667,0.7641,7,5,nan,nan,"0.8551,0.9278,0.8479,0.7835,0.5456,0.7621,0.6618,0.7676,0.7236,0.8820,0.8428,0.8103,0.5278,0.7939,0.8430,0.8601,0.6976,0.7456,0.7666,0.7590,0.5639,0.7668,0.8088,0.7938",edge|edge|edge|edge|geo|geo|geo|geo|geo|geo|geo|geo|review|review|review|review|review|review|review|review|edge|edge|edge|edge,0.75,3
3,9300,dci_gated,0f0cb4410459a41a,5.8195,120.973,704,704,0,4,8,24553.69,0.1667,0.7809,7,5,nan,nan,"0.8032,0.8119,0.8270,0.8190,0.4915,0.8091,0.7852,0.7959,0.7345,0.9334,0.9294,0.9163,0.5231,0.8382,0.8493,0.8449,0.7338,0.8741,0.7848,0.7400,0.4885,0.7999,0.7417,0.8662",edge|edge|edge|edge|geo|geo|geo|geo|geo|geo|geo|geo|review|review|review|review|review|review|review|review|edge|edge|edge|edge,0.75,3
4,9400,dci_gated,6a6b7f934018b359,6.091,115.581,704,704,0,4,8,24255.14,0.1667,0.783,6,5,nan,nan,"0.7778,0.8138,0.7649,0.7168,0.5121,0.8196,0.8307,0.7676,0.7149,0.8742,0.8389,0.8606,0.5276,0.8681,0.9139,0.9204,0.6937,0.8618,0.7852,0.8769,0.5157,0.8084,0.8713,0.8578",edge|edge|edge|edge|geo|geo|geo|geo|geo|geo|geo|geo|review|review|review|review|review|review|review|review|edge|edge|edge|edge,0.75,3
5,9500,dci_gated,2ace369518f64075,5.8109,121.151,704,704,0,6,8,24295.6,0.25,0.781,9,5,nan,nan,"0.8655,0.8030,0.7496,0.8367,0.5963,0.7269,0.7914,0.7266,0.7146,0.9126,0.9323,0.9016,0.5324,0.8189,0.8055,0.8506,0.6238,0.7435,0.8545,0.8522,0.5628,0.8122,0.9326,0.7968",edge|edge|edge|edge|geo|geo|geo|geo|geo|geo|geo|geo|review|review|review|review|review|review|review|review|edge|edge|edge|edge,0.75,3
6,9600,dci_gated,caae606e1d6d8e30,5.6835,123.867,704,704,0,5,8,24258.96,0.2083,0.7729,6,5,nan,nan,"0.7927,0.8411,0.8024,0.7342,0.4910,0.8001,0.8110,0.7536,0.7381,0.8636,0.8773,0.9133,0.5273,0.8907,0.8332,0.7990,0.7906,0.8173,0.7126,0.8014,0.4825,0.7895,0.7863,0.9011",edge|edge|edge|edge|geo|geo|geo|geo|geo|geo|geo|geo|review|review|review|review|review|review|review|review|edge|edge|edge|edge,0.75,3
7,9700,dci_gated,dd48bb76d62bbad7,5.5725,126.335,704,704,0,5,8,24976.97,0.2083,0.7637,8,5,nan,nan,"0.8218,0.7876,0.7389,0.7886,0.5130,0.7724,0.8026,0.7360,0.7626,0.8839,0.9055,0.9102,0.5856,0.8126,0.8246,0.9326,0.6604,0.7798,0.7887,0.7344,0.4977,0.7910,0.7201,0.7782",edge|edge|edge|edge|geo|geo|geo|geo|geo|geo|geo|geo|review|review|review|review|review|review|review|review|edge|edge|edge|edge,0.75,3
8,9800,dci_gated,bd4d7ce81f08b9b4,5.6995,123.519,704,704,0,5,8,24380.37,0.2083,0.777,8,5,nan,nan,"0.7359,0.7952,0.8053,0.7241,0.4821,0.7345,0.7569,0.8307,0.7390,0.9111,0.8972,0.8940,0.5245,0.9033,0.9197,0.8823,0.7569,0.8391,0.7935,0.6960,0.5416,0.8858,0.7695,0.8300",edge|edge|edge|edge|geo|geo|geo|geo|geo|geo|geo|geo|review|review|review|review|review|review|review|review|edge|edge|edge|edge,0.75,3
9,9900,dci_gated,d0a4100aa61d0ff0,5.754,122.349,704,704,0,4,7,21052.96,0.1667,0.7789,5,5,nan,nan,"0.8211,0.8651,0.8656,0.9077,0.5111,0.8172,0.8640,0.7925,0.7799,0.9029,0.8579,0.8405,0.5628,0.8382,0.8330,0.9030,0.6657,0.7223,0.7580,0.8111,0.4575,0.7745,0.7640,0.7778",edge|edge|edge|edge|geo|geo|geo|geo|geo|geo|geo|geo|review|review|review|review|review|review|review|review|edge|edge|edge|edge,0.75,3
