block,block_seed,strategy,window,phase,drift_truth,S_R,S_V,S_T,S_A,S_P,HSM,invoked,gate_dci,gate_regime,n_queries,n_ok,n_failed,exec_ms_window_sum,wall_ms_window,qps_window
0,9000,dci_gated,1,edge,0,0.8175445350038288,1.0,0.7788603733587827,0.8,0.778846153846154,0.8369851314996369,0,,5-D,20,20,0,422.388,422.753,47.3089
0,9000,dci_gated,2,edge,0,0.8568140293617765,1.0,0.6505670034399254,0.9,0.8894871794871796,0.8577399849515062,0,,5-D,20,20,0,382.65,383.019,52.2168
0,9000,dci_gated,3,edge,0,0.8126696968621718,1.0,0.6490735743448681,0.8,0.755897435897436,0.8063667544691321,0,1.5681,5-D,20,20,0,554.013,554.343,36.0788
0,9000,dci_gated,4,edge,0,0.8657676528570004,1.0,0.5105933039520065,0.875,0.7637179487179487,0.8081182663123437,0,1.6736,5-D,20,20,0,314.972,315.339,63.4238
0,9000,dci_gated,5,geo,1,0.4166952732048943,1.0,0.0,0.17142857142857143,0.8052564102564103,0.4592479941253994,1,1.1395,1-D,20,20,0,7077.813,7078.497,2.8255
0,9000,dci_gated,6,geo,0,0.6707436088633502,1.0,0.4705343330096934,0.43333333333333335,0.6670512820512821,0.6485171277921352,1,1.1571,1-D,20,20,0,3899.611,3900.109,5.1281
0,9000,dci_gated,7,geo,0,0.7644618960149923,1.0,0.6132316586056861,0.7166666666666667,0.7667948717948718,0.7721143698274493,0,1.1553,1-D,20,20,0,2099.141,2099.608,9.5256
0,9000,dci_gated,8,geo,0,0.7038117241571322,1.0,0.6784903932235818,0.43333333333333335,0.7162820512820512,0.7057599840429738,1,1.2351,1-D,20,20,0,1843.541,1844.063,10.8456
0,9000,dci_gated,9,geo,1,0.7798857320966481,0.4166666666666667,0.7229002652685388,0.5166666666666667,0.8725641025641027,0.6571027681291519,1,1.7694,5-D,48,48,0,5455.53,5456.505,8.7968
0,9000,dci_gated,10,geo,0,0.8651043846441083,1.0,0.8012294315017471,0.9,0.8310094408133625,0.881173398583381,0,1.7695,5-D,48,48,0,3698.093,3699.145,12.976
0,9000,dci_gated,11,geo,0,0.8185792599470637,1.0,0.717979596395753,0.8,0.6793028322440088,0.8101361591025179,0,1.7798,5-D,48,48,0,2774.86,2775.849,17.292
0,9000,dci_gated,12,geo,0,0.8673824235724212,1.0,0.7774343356900039,0.9,0.7021423384168483,0.8576538237936334,0,1.7753,5-D,48,48,0,3164.524,3165.456,15.1637
0,9000,dci_gated,13,review,1,0.49268928470822393,1.0,0.061680684201312896,0.625,0.6891793754538853,0.5638853643354014,1,1.7463,5-D,48,48,0,21366.258,21367.072,2.2464
0,9000,dci_gated,14,review,0,0.9746560095889856,1.0,0.8645974648316603,1.0,0.7776688453159042,0.9332338221609641,0,1.7176,5-D,48,48,0,1396.242,1396.772,34.3649
0,9000,dci_gated,15,review,0,0.8493820531950165,1.0,0.7305544206461717,0.9,0.7395787944807553,0.8493932166001018,0,1.7172,5-D,48,48,0,802.62,803.098,59.7685
0,9000,dci_gated,16,review,0,0.8532692316004895,1.0,0.5097697957329224,0.9,0.7220406681190996,0.8035773672645719,0,1.763,5-D,48,48,0,1246.293,1246.806,38.4984
0,9000,dci_gated,17,review,1,0.9142924900465794,0.4166666666666667,0.6858986867614657,1.0,0.7174358974358975,0.756701577812656,1,2.1053,5-D,20,20,0,782.039,782.251,25.5672
0,9000,dci_gated,18,review,0,0.8282667471598971,1.0,0.5256060811481686,0.9,0.7892307692307692,0.8105725184042234,0,2.1431,5-D,20,20,0,514.405,514.63,38.8629
0,9000,dci_gated,19,review,0,0.8488575160432829,1.0,0.8043062325516624,0.9,0.7855128205128206,0.8709025485980764,0,2.1342,5-D,20,20,0,315.3,315.51,63.3894
0,9000,dci_gated,20,review,0,0.8183277117007426,1.0,0.6971788830652785,0.9,0.8528205128205129,0.8519407814613184,0,2.15,5-D,20,20,0,513.469,513.706,38.9328
0,9000,dci_gated,21,edge,1,0.5387363925604041,1.0,0.055772826813598075,0.46590909090909094,0.7528205128205129,0.5519435586077158,1,1.936,5-D,20,20,0,508.965,509.265,39.2723
0,9000,dci_gated,22,edge,0,0.7453375586942754,1.0,0.790973357025115,0.625,0.6573076923076924,0.7681252149247457,0,1.9785,5-D,20,20,0,475.555,475.814,42.0332
0,9000,dci_gated,23,edge,0,0.8501775419428053,1.0,0.7442574154968986,0.8333333333333333,0.8337179487179488,0.8531202275594401,0,1.9828,5-D,20,20,0,303.17,303.502,65.8975
0,9000,dci_gated,24,edge,0,0.7607370766594177,1.0,0.8337420285188094,0.7,0.8378205128205128,0.8226057517916933,0,2.0158,5-D,20,20,0,302.883,303.239,65.9546
