block,block_seed,strategy,workload_fp,wall_qps,wall_time_s,queries_total,queries_ok,queries_failed,advisor_calls,index_builds,T_A_total_ms,p_advisor,mean_hsm,hsm_below_theta,n_drift_points,precision,recall,hsm_series,phase_series,theta,k_periodic
0,9000,dci_gated,8e83543d95452873,8.403,83.78,704,704,0,7,8,24091.72,0.2917,0.7724,6,5,nan,nan,"0.8395,0.8577,0.8079,0.8091,0.4567,0.6510,0.7729,0.7050,0.6571,0.8806,0.8101,0.8567,0.5643,0.9341,0.8469,0.8036,0.7567,0.8118,0.8697,0.8529,0.5486,0.7689,0.8531,0.8226",edge|edge|edge|edge|geo|geo|geo|geo|geo|geo|geo|geo|review|review|review|review|review|review|review|review|edge|edge|edge|edge,0.75,3
1,9100,dci_gated,cb43e05d25034573,9.1488,76.95,704,704,0,7,8,24124.72,0.2917,0.7738,8,5,nan,nan,"0.7423,0.8369,0.8264,0.7955,0.5108,0.9074,0.7967,0.8650,0.6615,0.8708,0.8342,0.7807,0.5114,0.8374,0.9304,0.8742,0.7004,0.6872,0.7751,0.6996,0.4957,0.8804,0.8827,0.8679",edge|edge|edge|edge|geo|geo|geo|geo|geo|geo|geo|geo|review|review|review|review|review|review|review|review|edge|edge|edge|edge,0.75,3
2,9200,dci_gated,61e96f9d09d3465e,8.7127,80.801,704,704,0,6,8,24064.31,0.25,0.7618,7,5,nan,nan,"0.8561,0.9278,0.8471,0.7850,0.5431,0.7596,0.6618,0.7676,0.7236,0.8811,0.8462,0.8103,0.5278,0.7880,0.8350,0.8551,0.6814,0.7268,0.7666,0.7580,0.5649,0.7668,0.8088,0.7938",edge|edge|edge|edge|geo|geo|geo|geo|geo|geo|geo|geo|review|review|review|review|review|review|review|review|edge|edge|edge|edge,0.75,3
3,9300,dci_gated,0f0cb4410459a41a,8.7249,80.689,704,704,0,6,8,23985.35,0.25,0.7813,7,5,nan,nan,"0.8069,0.8132,0.8247,0.8177,0.4940,0.8066,0.7852,0.7959,0.7337,0.9325,0.9286,0.9163,0.5223,0.8519,0.8518,0.8324,0.7318,0.8874,0.7823,0.7400,0.4885,0.7999,0.7417,0.8662",edge|edge|edge|edge|geo|geo|geo|geo|geo|geo|geo|geo|review|review|review|review|review|review|review|review|edge|edge|edge|edge,0.75,3
4,9400,dci_gated,6a6b7f934018b359,8.2242,85.601,704,704,0,7,8,24185.99,0.2917,0.7804,6,5,nan,nan,"0.7778,0.8138,0.7649,0.7193,0.5138,0.8176,0.8359,0.7688,0.7139,0.8706,0.8400,0.8612,0.5284,0.8445,0.8966,0.9066,0.6786,0.8617,0.7852,0.8766,0.5154,0.8084,0.8713,0.8586",edge|edge|edge|edge|geo|geo|geo|geo|geo|geo|geo|geo|review|review|review|review|review|review|review|review|edge|edge|edge|edge,0.75,3
5,9500,dci_gated,2ace369518f64075,8.1373,86.515,704,704,0,7,8,23861.77,0.2917,0.7824,8,5,nan,nan,"0.8655,0.8030,0.7496,0.8367,0.5963,0.7269,0.7914,0.7266,0.7146,0.9131,0.9332,0.9016,0.5324,0.8233,0.8084,0.8626,0.6138,0.7663,0.8570,0.8507,0.5638,0.8122,0.9301,0.7978",edge|edge|edge|edge|geo|geo|geo|geo|geo|geo|geo|geo|review|review|review|review|review|review|review|review|edge|edge|edge|edge,0.75,3
6,9600,dci_gated,caae606e1d6d8e30,8.6231,81.642,704,704,0,6,8,23839.17,0.25,0.7739,6,5,nan,nan,"0.7927,0.8421,0.8055,0.7405,0.4910,0.7989,0.8072,0.7520,0.7373,0.8636,0.8773,0.9130,0.5277,0.8703,0.8410,0.7941,0.7925,0.8532,0.7118,0.8014,0.4825,0.7895,0.7850,0.9026",edge|edge|edge|edge|geo|geo|geo|geo|geo|geo|geo|geo|review|review|review|review|review|review|review|review|edge|edge|edge|edge,0.75,3
7,9700,dci_gated,dd48bb76d62bbad7,8.3379,84.434,704,704,0,7,8,25614.61,0.2917,0.7646,8,5,nan,nan,"0.8218,0.7886,0.7389,0.7886,0.5105,0.7699,0.8026,0.7360,0.7626,0.8822,0.9071,0.9102,0.5873,0.8164,0.8308,0.9209,0.6558,0.8115,0.7887,0.7344,0.4977,0.7910,0.7204,0.7765",edge|edge|edge|edge|geo|geo|geo|geo|geo|geo|geo|geo|review|review|review|review|review|review|review|review|edge|edge|edge|edge,0.75,3
8,9800,dci_gated,bd4d7ce81f08b9b4,8.4194,83.616,704,704,0,6,8,24964.56,0.25,0.7762,8,5,nan,nan,"0.7359,0.7952,0.8053,0.7241,0.4814,0.7338,0.7569,0.8307,0.7390,0.9111,0.8972,0.8940,0.5245,0.8737,0.9224,0.8868,0.7604,0.8391,0.7935,0.6960,0.5416,0.8858,0.7695,0.8300",edge|edge|edge|edge|geo|geo|geo|geo|geo|geo|geo|geo|review|review|review|review|review|review|review|review|edge|edge|edge|edge,0.75,3
9,9900,dci_gated,d0a4100aa61d0ff0,7.817,90.06,704,704,0,8,8,24906.5,0.3333,0.7796,5,5,nan,nan,"0.8211,0.8651,0.8656,0.9089,0.5099,0.8197,0.8640,0.7925,0.7799,0.9129,0.8579,0.8389,0.5637,0.8563,0.8480,0.8907,0.6575,0.7194,0.7626,0.8119,0.4465,0.7745,0.7640,0.7793",edge|edge|edge|edge|geo|geo|geo|geo|geo|geo|geo|geo|review|review|review|review|review|review|review|review|edge|edge|edge|edge,0.75,3
