block,block_seed,strategy,wall_qps,wall_time_s,queries_total,queries_ok,advisor_calls,T_A_total_ms,mean_hsm,hsm_below_theta,n_drift_points,precision,recall,hsm_series,phase_series,p_advisor,theta,k_periodic,workload_fp,note,sf
1,7200,dci_gated,3.8469,124.775,480,480,4,699.26,0.8628,0,1,,,"0.8951,0.8609,0.8446,0.9012,0.9036,0.8943,0.8515,0.9022,0.8891,0.8928,0.9001,0.8835,0.8552,0.7742,0.7509,0.9236,0.8454,0.8744,0.8815,0.8319,0.8675,0.7773,0.8381,0.8691",Ctr|Ctr|Ctr|Ctr|Ctr|Ctr|Ctr|Ctr|Ctr|Ctr|Ctr|Ctr|Ctr|Ctr|Ctr|Ctr|Ctr|Ctr|Ctr|Ctr|Ctr|Ctr|Ctr|Ctr,0.1667,0.75,3,6cbb38126570877d,window_0=shared_init; metrics from window_1 onward,1.0
2,7300,dci_gated,3.9063,122.878,480,480,7,1160.33,0.8321,2,1,,,"0.8563,0.9241,0.8247,0.8535,0.8686,0.7455,0.7534,0.8891,0.8418,0.8630,0.8564,0.8024,0.7494,0.8174,0.7997,0.8386,0.8267,0.7901,0.9365,0.9001,0.8174,0.7943,0.8326,0.7887",Ctr|Ctr|Ctr|Ctr|Ctr|Ctr|Ctr|Ctr|Ctr|Ctr|Ctr|Ctr|Ctr|Ctr|Ctr|Ctr|Ctr|Ctr|Ctr|Ctr|Ctr|Ctr|Ctr|Ctr,0.2917,0.75,3,1cf64e0c17d00bfb,window_0=shared_init; metrics from window_1 onward,1.0
3,7400,dci_gated,3.8091,126.013,480,480,0,0.0,0.8569,0,1,,,"0.8483,0.8885,0.9012,0.8372,0.8108,0.7891,0.8603,0.8998,0.9242,0.8721,0.9045,0.8691,0.7839,0.9036,0.8474,0.8639,0.9154,0.8811,0.8079,0.8384,0.8204,0.8183,0.8611,0.8186",Ctr|Ctr|Ctr|Ctr|Ctr|Ctr|Ctr|Ctr|Ctr|Ctr|Ctr|Ctr|Ctr|Ctr|Ctr|Ctr|Ctr|Ctr|Ctr|Ctr|Ctr|Ctr|Ctr|Ctr,0.0,0.75,3,f12da208835409cd,window_0=shared_init; metrics from window_1 onward,1.0
4,7500,dci_gated,3.956,121.334,480,480,1,173.84,0.8586,1,1,,,"0.8600,0.8561,0.9158,0.9027,0.8508,0.9075,0.8692,0.8361,0.8835,0.9003,0.8542,0.8328,0.8600,0.8839,0.8156,0.8562,0.8769,0.8225,0.7886,0.8594,0.8678,0.8709,0.9013,0.7354",Ctr|Ctr|Ctr|Ctr|Ctr|Ctr|Ctr|Ctr|Ctr|Ctr|Ctr|Ctr|Ctr|Ctr|Ctr|Ctr|Ctr|Ctr|Ctr|Ctr|Ctr|Ctr|Ctr|Ctr,0.0417,0.75,3,4cd1da5805bbf53b,window_0=shared_init; metrics from window_1 onward,1.0
5,7600,dci_gated,3.7014,129.681,480,480,1,212.76,0.8572,0,1,,,"0.8977,0.8104,0.8270,0.8820,0.9221,0.9179,0.8905,0.9101,0.8398,0.8107,0.8480,0.8806,0.8356,0.8237,0.8313,0.8096,0.8446,0.8924,0.9001,0.8387,0.8508,0.8865,0.8604,0.7620",Ctr|Ctr|Ctr|Ctr|Ctr|Ctr|Ctr|Ctr|Ctr|Ctr|Ctr|Ctr|Ctr|Ctr|Ctr|Ctr|Ctr|Ctr|Ctr|Ctr|Ctr|Ctr|Ctr|Ctr,0.0417,0.75,3,4cb7578497cc6554,window_0=shared_init; metrics from window_1 onward,1.0
6,7700,dci_gated,3.7486,128.049,480,480,4,646.58,0.8517,0,1,,,"0.8810,0.9124,0.8872,0.7957,0.8881,0.8086,0.8288,0.8896,0.9090,0.8602,0.8336,0.8835,0.8426,0.8245,0.8025,0.9207,0.8358,0.8512,0.8572,0.8518,0.8290,0.7653,0.8271,0.8546",Ctr|Ctr|Ctr|Ctr|Ctr|Ctr|Ctr|Ctr|Ctr|Ctr|Ctr|Ctr|Ctr|Ctr|Ctr|Ctr|Ctr|Ctr|Ctr|Ctr|Ctr|Ctr|Ctr|Ctr,0.1667,0.75,3,6206c16543ff0ef8,window_0=shared_init; metrics from window_1 onward,1.0
7,7800,dci_gated,3.888,123.458,480,480,1,201.03,0.8484,0,1,,,"0.8095,0.8281,0.9163,0.8558,0.8586,0.8645,0.8420,0.8111,0.8253,0.9393,0.8827,0.8763,0.8236,0.8073,0.8228,0.8388,0.8385,0.8922,0.8329,0.8410,0.8520,0.8232,0.8291,0.8516",Ctr|Ctr|Ctr|Ctr|Ctr|Ctr|Ctr|Ctr|Ctr|Ctr|Ctr|Ctr|Ctr|Ctr|Ctr|Ctr|Ctr|Ctr|Ctr|Ctr|Ctr|Ctr|Ctr|Ctr,0.0417,0.75,3,9c696d7ca2511656,window_0=shared_init; metrics from window_1 onward,1.0
8,7900,dci_gated,3.6506,131.485,480,480,3,431.98,0.841,1,1,,,"0.8259,0.8459,0.9266,0.9113,0.8862,0.8103,0.8895,0.8669,0.8294,0.8175,0.8413,0.9044,0.8855,0.7892,0.8173,0.8583,0.8447,0.7616,0.7290,0.8021,0.8284,0.8112,0.8245,0.8775",Ctr|Ctr|Ctr|Ctr|Ctr|Ctr|Ctr|Ctr|Ctr|Ctr|Ctr|Ctr|Ctr|Ctr|Ctr|Ctr|Ctr|Ctr|Ctr|Ctr|Ctr|Ctr|Ctr|Ctr,0.125,0.75,3,c4e660b603db9b33,window_0=shared_init; metrics from window_1 onward,1.0
9,8000,dci_gated,3.7527,127.908,480,480,0,0.0,0.8697,0,1,,,"0.8954,0.9067,0.8755,0.8991,0.8421,0.9321,0.8181,0.8908,0.7935,0.8581,0.9090,0.8637,0.8883,0.8866,0.8368,0.7980,0.8557,0.9116,0.8457,0.8776,0.8466,0.8757,0.8778,0.8885",Ctr|Ctr|Ctr|Ctr|Ctr|Ctr|Ctr|Ctr|Ctr|Ctr|Ctr|Ctr|Ctr|Ctr|Ctr|Ctr|Ctr|Ctr|Ctr|Ctr|Ctr|Ctr|Ctr|Ctr,0.0,0.75,3,dd956f621c8bcad7,window_0=shared_init; metrics from window_1 onward,1.0
10,8100,dci_gated,3.818,125.72,480,480,2,295.06,0.8587,0,1,,,"0.8105,0.8777,0.8896,0.8678,0.9098,0.8667,0.8533,0.9271,0.8373,0.8503,0.8846,0.8801,0.8556,0.8401,0.8738,0.8101,0.7802,0.8106,0.8357,0.8828,0.9093,0.9018,0.8063,0.8476",Ctr|Ctr|Ctr|Ctr|Ctr|Ctr|Ctr|Ctr|Ctr|Ctr|Ctr|Ctr|Ctr|Ctr|Ctr|Ctr|Ctr|Ctr|Ctr|Ctr|Ctr|Ctr|Ctr|Ctr,0.0833,0.75,3,39dfed84f7e69042,window_0=shared_init; metrics from window_1 onward,1.0
