block,block_seed,strategy,window,phase,drift_truth,S_R,S_V,S_T,S_A,S_P,HSM,invoked,gate_dci,gate_regime,gate_R4s,gate_audit,det_ms,features_used,sp_out_of_band,n_queries,n_ok,exec_ms_window_sum,wall_ms_window,qps_window,sf
1,7200,dci_gated,1,CtrSteady,0,0.922719,1.0,0.724001,1.0,0.797436,0.895095,0,1.0,cheap,1.0,0,3.55,cheap,1,20,20,4819.789,5606.996,3.567,1.0
1,7200,dci_gated,2,CtrSteady,0,0.881008,1.0,0.556544,1.0,0.862051,0.860868,0,1.981,cheap,1.0,0,1.9094,cheap,1,20,20,3104.174,3578.491,5.5889,1.0
1,7200,dci_gated,3,CtrSteady,0,0.891436,1.0,0.514298,1.0,0.792308,0.844565,0,1.6592,cheap,1.0,0,1.7479,cheap,1,20,20,5429.797,6059.166,3.3008,1.0
1,7200,dci_gated,4,CtrSteady,0,0.950074,1.0,0.763089,1.0,0.740513,0.901213,0,1.9997,cheap,1.0,0,1.7937,cheap,1,20,20,4369.322,4898.487,4.0829,1.0
1,7200,dci_gated,5,CtrSteady,0,0.952013,1.0,0.823815,1.0,0.672179,0.903593,0,1.7198,cheap,1.0,0,1.5774,cheap,1,20,20,5070.945,5679.938,3.5212,1.0
1,7200,dci_gated,6,CtrSteady,0,0.951991,1.0,0.729697,1.0,0.735897,0.894322,0,1.6524,cheap,1.0,0,1.7397,cheap,1,20,20,4505.718,4932.632,4.0546,1.0
1,7200,dci_gated,7,CtrSteady,0,0.881008,1.0,0.579496,1.0,0.769103,0.851516,0,1.7906,cheap,1.0,0,1.692,cheap,1,20,20,4021.07,4607.554,4.3407,1.0
1,7200,dci_gated,8,CtrSteady,0,0.942861,1.0,0.759256,1.0,0.764103,0.902182,0,1.6913,cheap,1.0,0,1.6333,cheap,1,20,20,4350.318,4759.942,4.2017,1.0
1,7200,dci_gated,9,CtrSteady,0,0.927836,1.0,0.724101,1.0,0.748846,0.889106,0,1.6565,cheap,1.0,0,1.7612,cheap,1,20,20,4501.824,4865.099,4.1109,1.0
1,7200,dci_gated,10,CtrSteady,0,0.951982,1.0,0.721029,1.0,0.737051,0.892759,0,1.6052,cheap,1.0,0,1.7272,cheap,1,20,20,5356.27,5766.35,3.4684,1.0
1,7200,dci_gated,11,CtrSteady,0,0.933539,1.0,0.7368,1.0,0.795897,0.900129,0,1.5611,cheap,1.0,0,3.109,cheap,1,20,20,5649.262,6082.06,3.2884,1.0
1,7200,dci_gated,12,CtrSteady,0,0.939556,1.0,0.759256,1.0,0.645128,0.88351,0,1.5072,cheap,1.0,0,1.7261,cheap,1,20,20,4831.713,5284.476,3.7847,1.0
1,7200,dci_gated,13,CtrHold06,1,0.91549,1.0,0.654611,1.0,0.635897,0.855179,0,1.5298,cheap,1.0,0,1.7658,cheap,1,20,20,4084.097,4741.066,4.2185,1.0
1,7200,dci_gated,14,CtrHold06,0,0.698129,1.0,0.495938,1.0,0.669615,0.774162,1,1.6676,cheap,0.0899,0,1.7959,cheap,1,20,20,4949.005,5551.673,3.6025,1.0
1,7200,dci_gated,15,CtrHold06,0,0.690076,1.0,0.540687,0.880952,0.626923,0.750885,1,1.4672,cheap,0.1624,0,2.989,cheap,1,20,20,4124.206,4669.729,4.2829,1.0
1,7200,dci_gated,16,CtrHold06,0,0.950238,1.0,0.848179,1.0,0.775897,0.92358,0,1.4851,cheap,0.1645,0,2.9857,cheap,1,20,20,4422.672,5056.179,3.9556,1.0
1,7200,dci_gated,17,CtrHold06,0,0.831511,1.0,0.789435,0.880952,0.689359,0.845359,0,1.5949,cheap,0.1639,0,1.6167,cheap,1,20,20,4232.485,4815.601,4.1532,1.0
1,7200,dci_gated,18,CtrHold06,0,0.839904,1.0,0.858225,1.0,0.61859,0.874409,0,1.7549,cheap,0.1285,0,1.6412,cheap,1,20,20,4813.743,5442.604,3.6747,1.0
1,7200,dci_gated,19,CtrHold06,0,0.885301,1.0,0.772896,1.0,0.704231,0.881539,0,1.8015,cheap,0.1182,0,1.7142,cheap,1,20,20,4509.778,5057.619,3.9544,1.0
1,7200,dci_gated,20,CtrHold06,0,0.769587,1.0,0.690019,0.880952,0.835641,0.831937,0,1.7665,cheap,0.1314,0,1.6132,cheap,1,20,20,4955.768,5407.338,3.6987,1.0
