block,block_seed,strategy,wall_qps,wall_time_s,queries_total,queries_ok,advisor_calls,T_A_total_ms,mean_hsm,hsm_below_theta,n_drift_points,precision,recall,hsm_series,phase_series,p_advisor,theta,k_periodic,workload_fp,note,sf
1,7200,dci_gated,4.0146,119.563,480,480,6,879.04,0.8641,0,1,,,"0.8959,0.8551,0.8478,0.9025,0.9053,0.8946,0.8520,0.9064,0.8781,0.8953,0.9014,0.8875,0.8529,0.7767,0.7617,0.9243,0.8438,0.8804,0.8900,0.8369,0.8712,0.7819,0.8321,0.8653",Ctr|Ctr|Ctr|Ctr|Ctr|Ctr|Ctr|Ctr|Ctr|Ctr|Ctr|Ctr|Ctr|Ctr|Ctr|Ctr|Ctr|Ctr|Ctr|Ctr|Ctr|Ctr|Ctr|Ctr,0.25,0.75,3,6cbb38126570877d,window_0=shared_init; metrics from window_1 onward,1.0
2,7300,dci_gated,3.891,123.361,480,480,12,1677.76,0.8334,1,1,,,"0.8576,0.9280,0.8239,0.8535,0.8711,0.7493,0.7542,0.8871,0.8561,0.8633,0.8589,0.8097,0.7557,0.8184,0.7974,0.8428,0.8252,0.7893,0.9365,0.9001,0.8169,0.7880,0.8306,0.7877",Ctr|Ctr|Ctr|Ctr|Ctr|Ctr|Ctr|Ctr|Ctr|Ctr|Ctr|Ctr|Ctr|Ctr|Ctr|Ctr|Ctr|Ctr|Ctr|Ctr|Ctr|Ctr|Ctr|Ctr,0.5,0.75,3,1cf64e0c17d00bfb,window_0=shared_init; metrics from window_1 onward,1.0
3,7400,dci_gated,3.6797,130.446,480,480,8,1106.05,0.8578,0,1,,,"0.8503,0.8849,0.9012,0.8360,0.8206,0.7901,0.8578,0.8981,0.9262,0.8713,0.9155,0.8681,0.7837,0.9011,0.8487,0.8636,0.9107,0.8886,0.8186,0.8397,0.8239,0.8176,0.8591,0.8124",Ctr|Ctr|Ctr|Ctr|Ctr|Ctr|Ctr|Ctr|Ctr|Ctr|Ctr|Ctr|Ctr|Ctr|Ctr|Ctr|Ctr|Ctr|Ctr|Ctr|Ctr|Ctr|Ctr|Ctr,0.3333,0.75,3,f12da208835409cd,window_0=shared_init; metrics from window_1 onward,1.0
4,7500,dci_gated,3.7942,126.509,480,480,5,668.93,0.861,1,1,,,"0.8640,0.8571,0.9168,0.9105,0.8533,0.9028,0.8753,0.8394,0.8825,0.9068,0.8587,0.8333,0.8658,0.8914,0.8249,0.8562,0.8762,0.8277,0.7866,0.8614,0.8708,0.8687,0.8981,0.7356",Ctr|Ctr|Ctr|Ctr|Ctr|Ctr|Ctr|Ctr|Ctr|Ctr|Ctr|Ctr|Ctr|Ctr|Ctr|Ctr|Ctr|Ctr|Ctr|Ctr|Ctr|Ctr|Ctr|Ctr,0.2083,0.75,3,4cd1da5805bbf53b,window_0=shared_init; metrics from window_1 onward,1.0
5,7600,dci_gated,3.693,129.974,480,480,9,1240.78,0.8568,0,1,,,"0.8894,0.8095,0.8264,0.8847,0.9223,0.9132,0.8958,0.9148,0.8408,0.8112,0.8453,0.8836,0.8397,0.8217,0.8366,0.8128,0.8399,0.8891,0.8976,0.8387,0.8476,0.8832,0.8579,0.7603",Ctr|Ctr|Ctr|Ctr|Ctr|Ctr|Ctr|Ctr|Ctr|Ctr|Ctr|Ctr|Ctr|Ctr|Ctr|Ctr|Ctr|Ctr|Ctr|Ctr|Ctr|Ctr|Ctr|Ctr,0.375,0.75,3,4cb7578497cc6554,window_0=shared_init; metrics from window_1 onward,1.0
6,7700,dci_gated,3.6034,133.207,480,480,11,1495.08,0.8505,0,1,,,"0.8820,0.9124,0.8872,0.7950,0.8856,0.8136,0.8268,0.8896,0.9145,0.8475,0.8313,0.8887,0.8374,0.8219,0.8014,0.9200,0.8386,0.8414,0.8607,0.8450,0.8330,0.7637,0.8214,0.8533",Ctr|Ctr|Ctr|Ctr|Ctr|Ctr|Ctr|Ctr|Ctr|Ctr|Ctr|Ctr|Ctr|Ctr|Ctr|Ctr|Ctr|Ctr|Ctr|Ctr|Ctr|Ctr|Ctr|Ctr,0.4583,0.75,3,6206c16543ff0ef8,window_0=shared_init; metrics from window_1 onward,1.0
7,7800,dci_gated,3.7035,129.609,480,480,8,1110.83,0.8504,0,1,,,"0.8178,0.8290,0.9175,0.8529,0.8593,0.8637,0.8507,0.8070,0.8207,0.9433,0.8827,0.8783,0.8372,0.8046,0.8221,0.8388,0.8365,0.8999,0.8404,0.8355,0.8516,0.8217,0.8368,0.8619",Ctr|Ctr|Ctr|Ctr|Ctr|Ctr|Ctr|Ctr|Ctr|Ctr|Ctr|Ctr|Ctr|Ctr|Ctr|Ctr|Ctr|Ctr|Ctr|Ctr|Ctr|Ctr|Ctr|Ctr,0.3333,0.75,3,9c696d7ca2511656,window_0=shared_init; metrics from window_1 onward,1.0
8,7900,dci_gated,3.5235,136.23,480,480,8,1151.8,0.841,1,1,,,"0.8302,0.8462,0.9211,0.9085,0.8817,0.8118,0.8903,0.8658,0.8266,0.8190,0.8415,0.9061,0.8875,0.7916,0.8171,0.8603,0.8474,0.7603,0.7242,0.8070,0.8334,0.8043,0.8248,0.8775",Ctr|Ctr|Ctr|Ctr|Ctr|Ctr|Ctr|Ctr|Ctr|Ctr|Ctr|Ctr|Ctr|Ctr|Ctr|Ctr|Ctr|Ctr|Ctr|Ctr|Ctr|Ctr|Ctr|Ctr,0.3333,0.75,3,c4e660b603db9b33,window_0=shared_init; metrics from window_1 onward,1.0
9,8000,dci_gated,3.67,130.791,480,480,4,585.57,0.8697,0,1,,,"0.8954,0.9070,0.8775,0.8998,0.8461,0.9346,0.8216,0.8862,0.7892,0.8629,0.9085,0.8662,0.8856,0.8858,0.8353,0.8013,0.8582,0.9125,0.8364,0.8811,0.8391,0.8730,0.8793,0.8903",Ctr|Ctr|Ctr|Ctr|Ctr|Ctr|Ctr|Ctr|Ctr|Ctr|Ctr|Ctr|Ctr|Ctr|Ctr|Ctr|Ctr|Ctr|Ctr|Ctr|Ctr|Ctr|Ctr|Ctr,0.1667,0.75,3,dd956f621c8bcad7,window_0=shared_init; metrics from window_1 onward,1.0
10,8100,dci_gated,3.7549,127.832,480,480,9,1252.76,0.8594,0,1,,,"0.8140,0.8829,0.8864,0.8688,0.9098,0.8667,0.8538,0.9305,0.8357,0.8493,0.8925,0.8864,0.8618,0.8406,0.8707,0.8048,0.7792,0.8097,0.8394,0.8828,0.9080,0.9018,0.8055,0.8441",Ctr|Ctr|Ctr|Ctr|Ctr|Ctr|Ctr|Ctr|Ctr|Ctr|Ctr|Ctr|Ctr|Ctr|Ctr|Ctr|Ctr|Ctr|Ctr|Ctr|Ctr|Ctr|Ctr|Ctr,0.375,0.75,3,39dfed84f7e69042,window_0=shared_init; metrics from window_1 onward,1.0
