block,block_seed,strategy,window,phase,drift_truth,S_R,S_V,S_T,S_A,S_P,HSM,invoked,gate_dci,gate_regime,gate_R4s,gate_audit,det_ms,features_used,sp_out_of_band,n_queries,n_ok,exec_ms_window_sum,wall_ms_window,qps_window,sf
1,7200,dci_gated,1,CtrSteady,0,0.922719,1.0,0.724001,1.0,0.802564,0.895865,0,1.0,full,1.0,0,8.1485,full,0,20,20,4594.889,5408.273,3.698,1.0
1,7200,dci_gated,2,CtrSteady,0,0.881008,1.0,0.556544,1.0,0.82359,0.855099,0,1.981,full,1.0,0,8.3573,full,0,20,20,3023.62,3545.807,5.6405,1.0
1,7200,dci_gated,3,CtrSteady,0,0.891436,1.0,0.514298,1.0,0.813974,0.847815,0,1.6592,full,1.0,0,7.8999,full,0,20,20,4834.998,5495.439,3.6394,1.0
1,7200,dci_gated,4,CtrSteady,0,0.950074,1.0,0.763089,1.0,0.748974,0.902482,0,1.9997,full,1.0,0,7.4623,full,0,20,20,4123.761,4699.849,4.2555,1.0
1,7200,dci_gated,5,CtrSteady,0,0.952013,1.0,0.823815,1.0,0.683718,0.905324,0,1.7198,full,1.0,0,6.9963,full,0,20,20,4326.904,4972.671,4.022,1.0
1,7200,dci_gated,6,CtrSteady,0,0.951991,1.0,0.729697,1.0,0.737821,0.89461,0,1.6524,full,1.0,0,7.6779,full,0,20,20,4184.447,4652.192,4.299,1.0
1,7200,dci_gated,7,CtrSteady,0,0.881008,1.0,0.579496,1.0,0.772564,0.852036,0,1.7906,full,1.0,0,6.7298,full,0,20,20,3942.435,4584.865,4.3622,1.0
1,7200,dci_gated,8,CtrSteady,0,0.942861,1.0,0.759256,1.0,0.792308,0.906413,0,1.6913,full,1.0,0,8.4114,full,0,20,20,3911.743,4364.387,4.5825,1.0
1,7200,dci_gated,9,CtrSteady,0,0.927836,1.0,0.724101,1.0,0.675513,0.878106,0,1.6565,full,1.0,0,5.3529,full,0,20,20,4220.133,4600.036,4.3478,1.0
1,7200,dci_gated,10,CtrSteady,0,0.951982,1.0,0.721029,1.0,0.753718,0.895259,0,1.6052,full,1.0,0,9.0757,full,0,20,20,4900.23,5369.328,3.7249,1.0
1,7200,dci_gated,11,CtrSteady,0,0.933539,1.0,0.7368,1.0,0.804103,0.90136,0,1.5611,full,1.0,0,8.0175,full,0,20,20,5206.57,5675.056,3.5242,1.0
1,7200,dci_gated,12,CtrSteady,0,0.939556,1.0,0.759256,1.0,0.671795,0.88751,0,1.5072,full,1.0,0,9.1368,full,0,20,20,4554.684,5033.295,3.9735,1.0
1,7200,dci_gated,13,CtrHold06,1,0.91549,1.0,0.654611,1.0,0.620897,0.852929,0,1.5298,full,1.0,0,7.1141,full,0,20,20,3863.435,4573.544,4.373,1.0
1,7200,dci_gated,14,CtrHold06,0,0.698129,1.0,0.495938,1.0,0.686282,0.776662,1,1.6676,full,0.0899,0,8.1732,full,0,20,20,4747.698,5389.855,3.7107,1.0
1,7200,dci_gated,15,CtrHold06,0,0.690076,1.0,0.540687,0.880952,0.698718,0.761655,1,1.4672,full,0.1624,0,8.9253,full,0,20,20,3976.836,4573.697,4.3728,1.0
1,7200,dci_gated,16,CtrHold06,0,0.950238,1.0,0.848179,1.0,0.780769,0.924311,0,1.4851,full,0.1645,0,11.3695,full,0,20,20,4434.001,5105.136,3.9176,1.0
1,7200,dci_gated,17,CtrHold06,0,0.831511,1.0,0.789435,0.880952,0.679103,0.843821,0,1.5949,full,0.1639,0,8.0082,full,0,20,20,4113.51,4739.603,4.2198,1.0
1,7200,dci_gated,18,CtrHold06,0,0.839904,1.0,0.858225,1.0,0.65859,0.880409,1,1.7549,full,0.1285,0,8.5529,full,0,20,20,4663.948,5336.531,3.7478,1.0
1,7200,dci_gated,19,CtrHold06,0,0.885301,1.0,0.772896,1.0,0.760897,0.890039,0,1.8015,full,0.1182,0,8.4047,full,0,20,20,4343.503,4914.488,4.0696,1.0
1,7200,dci_gated,20,CtrHold06,0,0.769587,1.0,0.690019,0.880952,0.868974,0.836937,1,1.7665,full,0.1314,0,8.4912,full,0,20,20,4766.808,5251.06,3.8088,1.0
