block,block_seed,strategy,wall_qps,wall_time_s,queries_total,queries_ok,advisor_calls,T_A_total_ms,mean_hsm,hsm_below_theta,n_drift_points,precision,recall,hsm_series,phase_series,p_advisor,theta,k_periodic,workload_fp,note,sf
1,7200,dci_gated,3.6822,130.358,480,480,6,925.01,0.8626,0,1,,,"0.8901,0.8588,0.8428,0.9025,0.9041,0.8916,0.8525,0.9055,0.8881,0.8845,0.9001,0.8863,0.8549,0.7771,0.7602,0.9286,0.8456,0.8734,0.8820,0.8294,0.8642,0.7756,0.8386,0.8661",Ctr|Ctr|Ctr|Ctr|Ctr|Ctr|Ctr|Ctr|Ctr|Ctr|Ctr|Ctr|Ctr|Ctr|Ctr|Ctr|Ctr|Ctr|Ctr|Ctr|Ctr|Ctr|Ctr|Ctr,0.25,0.75,3,6cbb38126570877d,window_0=shared_init; metrics from window_1 onward,1.0
2,7300,dci_gated,3.6612,131.103,480,480,12,1745.41,0.8324,1,1,,,"0.8528,0.9138,0.8281,0.8505,0.8686,0.7490,0.7587,0.8874,0.8381,0.8653,0.8564,0.8047,0.7534,0.8202,0.7901,0.8396,0.8299,0.7943,0.9315,0.9096,0.8174,0.7893,0.8337,0.7957",Ctr|Ctr|Ctr|Ctr|Ctr|Ctr|Ctr|Ctr|Ctr|Ctr|Ctr|Ctr|Ctr|Ctr|Ctr|Ctr|Ctr|Ctr|Ctr|Ctr|Ctr|Ctr|Ctr|Ctr,0.5,0.75,3,1cf64e0c17d00bfb,window_0=shared_init; metrics from window_1 onward,1.0
3,7400,dci_gated,3.5491,135.247,480,480,5,762.4,0.8563,0,1,,,"0.8498,0.8889,0.9007,0.8362,0.8073,0.7916,0.8603,0.8966,0.9224,0.8746,0.9183,0.8664,0.7847,0.9043,0.8439,0.8676,0.9144,0.8821,0.8161,0.8255,0.8057,0.8208,0.8553,0.8166",Ctr|Ctr|Ctr|Ctr|Ctr|Ctr|Ctr|Ctr|Ctr|Ctr|Ctr|Ctr|Ctr|Ctr|Ctr|Ctr|Ctr|Ctr|Ctr|Ctr|Ctr|Ctr|Ctr|Ctr,0.2083,0.75,3,f12da208835409cd,window_0=shared_init; metrics from window_1 onward,1.0
4,7500,dci_gated,3.7169,129.139,480,480,2,306.53,0.8602,1,1,,,"0.8643,0.8579,0.9187,0.9120,0.8521,0.9105,0.8705,0.8339,0.8825,0.9068,0.8609,0.8350,0.8630,0.8881,0.8228,0.8599,0.8744,0.8245,0.7876,0.8601,0.8670,0.8664,0.8931,0.7326",Ctr|Ctr|Ctr|Ctr|Ctr|Ctr|Ctr|Ctr|Ctr|Ctr|Ctr|Ctr|Ctr|Ctr|Ctr|Ctr|Ctr|Ctr|Ctr|Ctr|Ctr|Ctr|Ctr|Ctr,0.0833,0.75,3,4cd1da5805bbf53b,window_0=shared_init; metrics from window_1 onward,1.0
5,7600,dci_gated,3.6301,132.227,480,480,8,1139.04,0.8567,0,1,,,"0.8897,0.8004,0.8237,0.8837,0.9221,0.9142,0.8983,0.9128,0.8426,0.8152,0.8478,0.8846,0.8323,0.8212,0.8431,0.7948,0.8504,0.8914,0.8988,0.8372,0.8476,0.8842,0.8596,0.7663",Ctr|Ctr|Ctr|Ctr|Ctr|Ctr|Ctr|Ctr|Ctr|Ctr|Ctr|Ctr|Ctr|Ctr|Ctr|Ctr|Ctr|Ctr|Ctr|Ctr|Ctr|Ctr|Ctr|Ctr,0.3333,0.75,3,4cb7578497cc6554,window_0=shared_init; metrics from window_1 onward,1.0
6,7700,dci_gated,3.5588,134.877,480,480,11,1745.14,0.8524,0,1,,,"0.8888,0.9104,0.8897,0.8007,0.8876,0.8084,0.8268,0.8943,0.9112,0.8522,0.8336,0.8972,0.8416,0.8230,0.8032,0.9272,0.8321,0.8542,0.8491,0.8540,0.8302,0.7640,0.8309,0.8481",Ctr|Ctr|Ctr|Ctr|Ctr|Ctr|Ctr|Ctr|Ctr|Ctr|Ctr|Ctr|Ctr|Ctr|Ctr|Ctr|Ctr|Ctr|Ctr|Ctr|Ctr|Ctr|Ctr|Ctr,0.4583,0.75,3,6206c16543ff0ef8,window_0=shared_init; metrics from window_1 onward,1.0
7,7800,dci_gated,3.6111,132.923,480,480,5,802.6,0.8489,0,1,,,"0.8142,0.8353,0.9173,0.8560,0.8593,0.8620,0.8487,0.8116,0.8180,0.9413,0.8847,0.8696,0.8207,0.8013,0.8216,0.8388,0.8355,0.8967,0.8346,0.8363,0.8541,0.8252,0.8358,0.8543",Ctr|Ctr|Ctr|Ctr|Ctr|Ctr|Ctr|Ctr|Ctr|Ctr|Ctr|Ctr|Ctr|Ctr|Ctr|Ctr|Ctr|Ctr|Ctr|Ctr|Ctr|Ctr|Ctr|Ctr,0.2083,0.75,3,9c696d7ca2511656,window_0=shared_init; metrics from window_1 onward,1.0
8,7900,dci_gated,3.4121,140.677,480,480,7,1132.33,0.8441,1,1,,,"0.8302,0.8469,0.9180,0.9130,0.8898,0.8241,0.8873,0.8666,0.8284,0.8175,0.8643,0.9231,0.9005,0.7878,0.8163,0.8638,0.8479,0.7609,0.7314,0.8045,0.8321,0.8113,0.8163,0.8765",Ctr|Ctr|Ctr|Ctr|Ctr|Ctr|Ctr|Ctr|Ctr|Ctr|Ctr|Ctr|Ctr|Ctr|Ctr|Ctr|Ctr|Ctr|Ctr|Ctr|Ctr|Ctr|Ctr|Ctr,0.2917,0.75,3,c4e660b603db9b33,window_0=shared_init; metrics from window_1 onward,1.0
9,8000,dci_gated,3.6258,132.386,480,480,2,323.12,0.8703,0,1,,,"0.9009,0.9060,0.8755,0.8996,0.8502,0.9328,0.8216,0.8908,0.7882,0.8626,0.9110,0.8687,0.8881,0.8868,0.8333,0.8030,0.8577,0.9097,0.8412,0.8818,0.8419,0.8752,0.8793,0.8820",Ctr|Ctr|Ctr|Ctr|Ctr|Ctr|Ctr|Ctr|Ctr|Ctr|Ctr|Ctr|Ctr|Ctr|Ctr|Ctr|Ctr|Ctr|Ctr|Ctr|Ctr|Ctr|Ctr|Ctr,0.0833,0.75,3,dd956f621c8bcad7,window_0=shared_init; metrics from window_1 onward,1.0
10,8100,dci_gated,3.589,133.743,480,480,8,1227.93,0.8591,0,1,,,"0.8173,0.8764,0.8866,0.8736,0.9131,0.8662,0.8571,0.9242,0.8365,0.8542,0.8918,0.8840,0.8531,0.8311,0.8677,0.8066,0.7830,0.8039,0.8344,0.8820,0.9085,0.9059,0.8120,0.8498",Ctr|Ctr|Ctr|Ctr|Ctr|Ctr|Ctr|Ctr|Ctr|Ctr|Ctr|Ctr|Ctr|Ctr|Ctr|Ctr|Ctr|Ctr|Ctr|Ctr|Ctr|Ctr|Ctr|Ctr,0.3333,0.75,3,39dfed84f7e69042,window_0=shared_init; metrics from window_1 onward,1.0
