block,block_seed,strategy,window,phase,drift_truth,S_R,S_V,S_T,S_A,S_P,HSM,invoked,gate_dci,gate_regime,gate_R4s,gate_audit,det_ms,features_used,sp_out_of_band,n_queries,n_ok,exec_ms_window_sum,wall_ms_window,qps_window,sf
1,7200,dci_gated,1,CtrSteady,0,0.922719,1.0,0.724001,1.0,0.764231,0.890115,0,1.0,cheap,1.0,0,2.8423,cheap,1,20,20,4842.835,5661.331,3.5327,1.0
1,7200,dci_gated,2,CtrSteady,0,0.881008,1.0,0.556544,1.0,0.84859,0.858849,0,1.981,cheap,1.0,0,5.7967,cheap,1,20,20,3094.242,3609.786,5.5405,1.0
1,7200,dci_gated,3,CtrSteady,0,0.891436,1.0,0.514298,1.0,0.780513,0.842795,0,1.6592,cheap,1.0,0,1.5796,cheap,1,20,20,5537.935,6214.954,3.218,1.0
1,7200,dci_gated,4,CtrSteady,0,0.950074,1.0,0.763089,1.0,0.748846,0.902463,0,1.9997,cheap,1.0,0,1.6041,cheap,1,20,20,4566.779,5134.848,3.895,1.0
1,7200,dci_gated,5,CtrSteady,0,0.952013,1.0,0.823815,1.0,0.675641,0.904112,0,1.7198,cheap,1.0,0,1.6449,cheap,1,20,20,5189.377,5865.808,3.4096,1.0
1,7200,dci_gated,6,CtrSteady,0,0.951991,1.0,0.729697,1.0,0.717821,0.89161,0,1.6524,cheap,1.0,0,1.7679,cheap,1,20,20,4713.512,5187.106,3.8557,1.0
1,7200,dci_gated,7,CtrSteady,0,0.881008,1.0,0.579496,1.0,0.775769,0.852516,0,1.7906,cheap,1.0,0,1.6103,cheap,1,20,20,4077.819,4709.352,4.2469,1.0
1,7200,dci_gated,8,CtrSteady,0,0.942861,1.0,0.759256,1.0,0.785897,0.905451,0,1.6913,cheap,1.0,0,1.7482,cheap,1,20,20,4445.85,4899.197,4.0823,1.0
1,7200,dci_gated,9,CtrSteady,0,0.927836,1.0,0.724101,1.0,0.742436,0.888145,0,1.6565,cheap,1.0,0,1.75,cheap,1,20,20,4658.707,5069.252,3.9454,1.0
1,7200,dci_gated,10,CtrSteady,0,0.951982,1.0,0.721029,1.0,0.681923,0.88449,0,1.6052,cheap,1.0,0,1.656,cheap,1,20,20,5602.408,6065.798,3.2972,1.0
1,7200,dci_gated,11,CtrSteady,0,0.933539,1.0,0.7368,1.0,0.795641,0.900091,0,1.5611,cheap,1.0,0,0.923,cheap,1,20,20,5874.655,6356.047,3.1466,1.0
1,7200,dci_gated,12,CtrSteady,0,0.939556,1.0,0.759256,1.0,0.663462,0.88626,0,1.5072,cheap,1.0,0,1.6565,cheap,1,20,20,4991.304,5477.898,3.651,1.0
1,7200,dci_gated,13,CtrHold06,1,0.91549,1.0,0.654611,1.0,0.634103,0.85491,0,1.5298,cheap,1.0,0,2.4594,cheap,1,20,20,4282.433,4979.164,4.0167,1.0
1,7200,dci_gated,14,CtrHold06,0,0.698129,1.0,0.495938,1.0,0.689487,0.777143,1,1.6676,full,0.0899,0,6.6296,full,0,20,20,5129.108,5788.427,3.4552,1.0
1,7200,dci_gated,15,CtrHold06,0,0.690076,1.0,0.540687,0.880952,0.688846,0.760174,1,1.4672,full,0.1624,0,9.3821,full,0,20,20,4286.861,4895.364,4.0855,1.0
1,7200,dci_gated,16,CtrHold06,0,0.950238,1.0,0.848179,1.0,0.809231,0.92858,0,1.4851,full,0.1645,0,8.2905,full,0,20,20,4523.574,5191.729,3.8523,1.0
1,7200,dci_gated,17,CtrHold06,0,0.831511,1.0,0.789435,0.880952,0.691154,0.845628,0,1.5949,full,0.1639,0,7.3838,full,0,20,20,4611.911,5227.416,3.826,1.0
1,7200,dci_gated,18,CtrHold06,0,0.839904,1.0,0.858225,1.0,0.611923,0.873409,1,1.7549,full,0.1285,0,7.348,full,0,20,20,5111.234,5785.394,3.457,1.0
1,7200,dci_gated,19,CtrHold06,0,0.885301,1.0,0.772896,1.0,0.707436,0.88202,0,1.8015,full,0.1182,0,7.9378,full,0,20,20,4660.54,5260.67,3.8018,1.0
1,7200,dci_gated,20,CtrHold06,0,0.769587,1.0,0.690019,0.880952,0.818974,0.829437,1,1.7665,full,0.1314,0,7.7298,full,0,20,20,5293.055,5814.168,3.4399,1.0
1,7200,dci_gated,21,CtrHold06,0,0.91299,1.0,0.583191,1.0,0.795385,0.864194,0,1.7948,full,0.1287,0,8.5571,full,0,20,20,4790.786,5462.003,3.6617,1.0
1,7200,dci_gated,22,CtrHold06,0,0.695243,1.0,0.601342,0.880952,0.702179,0.775597,1,1.6304,full,0.1533,0,7.7927,full,0,20,20,4909.89,5496.493,3.6387,1.0
1,7200,dci_gated,23,CtrHold06,0,0.745958,1.0,0.674782,1.0,0.781026,0.8386,1,1.6486,full,0.1342,0,7.9324,full,0,20,20,4890.382,5654.509,3.537,1.0
1,7200,dci_gated,24,CtrHold06,0,0.898682,1.0,0.652948,1.0,0.738846,0.866087,0,1.6611,full,0.1319,0,7.9669,full,0,20,20,4918.806,5413.097,3.6947,1.0
2,7300,dci_gated,1,CtrSteady,0,0.922792,1.0,0.57494,1.0,0.714231,0.852821,0,1.0,cheap,1.0,0,2.5713,cheap,1,20,20,4869.121,5468.589,3.6573,1.0
2,7300,dci_gated,2,CtrSteady,0,0.95406,1.0,0.840968,1.0,0.714103,0.913824,0,1.5802,cheap,1.0,0,1.7507,cheap,1,20,20,4868.533,5249.992,3.8095,1.0
2,7300,dci_gated,3,CtrSteady,0,0.892286,1.0,0.50377,1.0,0.695385,0.828133,0,1.8785,cheap,1.0,0,1.6745,cheap,1,20,20,4459.4,5013.837,3.989,1.0
2,7300,dci_gated,4,CtrSteady,0,0.898821,1.0,0.541197,1.0,0.783846,0.850522,0,1.9007,cheap,1.0,0,1.777,cheap,1,20,20,3285.466,3926.056,5.0942,1.0
2,7300,dci_gated,5,CtrSteady,0,0.921513,1.0,0.603981,1.0,0.782564,0.868559,0,1.959,cheap,1.0,0,1.6645,cheap,1,20,20,3946.504,4580.631,4.3662,1.0
