block,block_seed,strategy,wall_qps,wall_time_s,queries_total,queries_ok,advisor_calls,T_A_total_ms,mean_hsm,hsm_below_theta,n_drift_points,precision,recall,hsm_series,phase_series,p_advisor,theta,k_periodic,workload_fp,note,sf
1,7200,dci_gated,2.6579,216.709,576,576,5,987.68,0.837,3,5,,,"0.8839,0.8380,0.8317,0.8947,0.6571,0.8943,0.8366,0.8992,0.8325,0.8468,0.8602,0.8990,0.7123,0.8653,0.8670,0.8682,0.8066,0.8922,0.8562,0.8462,0.7149,0.8547,0.8026,0.8268",Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix,0.2083,0.75,3,d3baceb07787d20a,window_0=shared_init; metrics from window_1 onward,1.0
2,7300,dci_gated,2.8644,201.09,576,576,7,1176.82,0.822,5,5,,,"0.8447,0.9048,0.8114,0.8357,0.6007,0.7357,0.7150,0.8818,0.7956,0.9193,0.8800,0.8713,0.6996,0.9303,0.8761,0.8958,0.8049,0.8472,0.8410,0.8745,0.6711,0.8279,0.9021,0.7613",Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix,0.2917,0.75,3,1b03c34ed1bd6bca,window_0=shared_init; metrics from window_1 onward,1.0
3,7400,dci_gated,2.8637,201.142,576,576,5,840.99,0.8374,3,5,,,"0.8399,0.8780,0.8928,0.8312,0.5806,0.7773,0.8625,0.8910,0.8391,0.9168,0.8821,0.8459,0.6715,0.8595,0.8653,0.8892,0.8332,0.8732,0.8650,0.8723,0.7123,0.9180,0.8303,0.8717",Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix,0.2083,0.75,3,89fddce1cec6b09f,window_0=shared_init; metrics from window_1 onward,1.0
4,7500,dci_gated,2.7637,208.414,576,576,5,847.52,0.8428,3,5,,,"0.8483,0.8482,0.9163,0.9075,0.6718,0.8930,0.8587,0.8261,0.7829,0.8891,0.8473,0.9342,0.6912,0.8698,0.8768,0.9107,0.7579,0.8882,0.8430,0.8902,0.7222,0.8733,0.8525,0.8281",Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix,0.2083,0.75,3,c84850e76a6310dd,window_0=shared_init; metrics from window_1 onward,1.0
5,7600,dci_gated,2.6204,219.811,576,576,5,896.07,0.8409,4,5,,,"0.8844,0.7926,0.8174,0.8698,0.6533,0.9309,0.8671,0.8820,0.8325,0.9350,0.8988,0.8774,0.7039,0.8865,0.9339,0.9186,0.7729,0.9249,0.7377,0.8161,0.7230,0.8667,0.8301,0.8266",Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix,0.2083,0.75,3,3cd5c071fedd8433,window_0=shared_init; metrics from window_1 onward,1.0
6,7700,dci_gated,2.6602,216.527,576,576,5,862.92,0.8373,3,5,,,"0.8688,0.9060,0.8905,0.7855,0.6064,0.8344,0.8161,0.8701,0.8510,0.9481,0.8629,0.9051,0.6938,0.8905,0.9189,0.8562,0.7563,0.8532,0.8360,0.8467,0.6673,0.8560,0.8553,0.9211",Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix,0.2083,0.75,3,47ed4ae9cf87fd16,window_0=shared_init; metrics from window_1 onward,1.0
7,7800,dci_gated,3.003,191.807,576,576,5,790.35,0.8397,3,5,,,"0.8239,0.8346,0.9122,0.8337,0.6323,0.8598,0.8503,0.8337,0.7873,0.8780,0.8793,0.9007,0.6901,0.8299,0.8743,0.9273,0.8017,0.8866,0.8876,0.8804,0.6663,0.8721,0.9008,0.9106",Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix,0.2083,0.75,3,8eacdb202e7f23ba,window_0=shared_init; metrics from window_1 onward,1.0
8,7900,dci_gated,2.7615,208.582,576,576,5,862.47,0.8342,3,5,,,"0.8153,0.8369,0.9218,0.9106,0.6922,0.8377,0.8735,0.8965,0.8182,0.9014,0.8359,0.8402,0.6414,0.9220,0.8855,0.8488,0.7992,0.8213,0.8814,0.8152,0.6654,0.8427,0.8698,0.8468",Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix,0.2083,0.75,3,8d884d131133fa7e,window_0=shared_init; metrics from window_1 onward,1.0
9,8000,dci_gated,2.7083,212.683,576,576,5,850.32,0.8556,3,5,,,"0.8878,0.9004,0.8704,0.8947,0.6636,0.8946,0.8230,0.9109,0.8167,0.9075,0.9082,0.8743,0.6516,0.8889,0.8710,0.8844,0.7828,0.9447,0.9063,0.9052,0.7020,0.8808,0.8429,0.9210",Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix,0.2083,0.75,3,a61c4ad45f256040,window_0=shared_init; metrics from window_1 onward,1.0
10,8100,dci_gated,2.7065,212.818,576,576,5,869.85,0.8396,2,5,,,"0.8087,0.8772,0.8785,0.8596,0.6379,0.8571,0.8634,0.9024,0.7857,0.8664,0.9218,0.9261,0.6698,0.8145,0.9081,0.8950,0.8280,0.7998,0.9125,0.8407,0.7530,0.8739,0.8162,0.8533",Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix,0.2083,0.75,3,cf8775349174723e,window_0=shared_init; metrics from window_1 onward,1.0
