block,block_seed,strategy,window,phase,drift_truth,S_R,S_V,S_T,S_A,S_P,HSM,invoked,gate_dci,gate_regime,gate_R4s,gate_audit,det_ms,features_used,sp_out_of_band,n_queries,n_ok,exec_ms_window_sum,wall_ms_window,qps_window,sf
1,7200,dci_gated,1,MixBase,0,0.882086,1.0,0.724001,1.0,0.790769,0.883937,0,1.0,cheap,1.0,0,2.7565,cheap,1,20,20,4957.665,5789.366,3.4546,1.0
1,7200,dci_gated,2,MixBase,0,0.8176,1.0,0.556544,1.0,0.815256,0.837997,0,1.6976,cheap,1.0,0,1.6841,cheap,1,20,20,3083.945,3622.112,5.5216,1.0
1,7200,dci_gated,3,MixBase,0,0.834022,1.0,0.514298,1.0,0.802308,0.831711,0,1.442,cheap,1.0,0,1.725,cheap,1,20,20,5606.74,6300.996,3.1741,1.0
1,7200,dci_gated,4,MixBase,0,0.924065,1.0,0.763089,1.0,0.740769,0.894749,0,1.7897,cheap,1.0,0,1.5883,cheap,1,20,20,4559.821,5127.972,3.9002,1.0
1,7200,dci_gated,5,MixShift1,1,0.650837,1.0,0.524104,0.440092,0.677179,0.657125,1,1.1118,cheap,1.0758,0,1.5758,cheap,1,20,20,6040.437,6714.355,2.9787,1.0
1,7200,dci_gated,6,MixShift1,0,0.926897,1.0,0.729697,1.0,0.777436,0.894279,0,1.1224,cheap,1.1187,0,2.8415,cheap,1,20,20,4419.363,4879.539,4.0987,1.0
1,7200,dci_gated,7,MixShift1,0,0.8176,1.0,0.579496,1.0,0.775641,0.836645,0,1.1608,cheap,1.0884,0,1.6759,cheap,1,20,20,4342.854,4986.154,4.0111,1.0
1,7200,dci_gated,8,MixShift1,0,0.913002,1.0,0.759256,1.0,0.793974,0.899198,0,1.1705,cheap,1.1423,0,1.6153,cheap,1,20,20,4713.87,5151.385,3.8825,1.0
1,7200,dci_gated,9,MixSurge1,1,0.930096,0.625,0.793659,1.0,0.775256,0.832544,1,1.0013,cheap,0.9996,0,1.6193,cheap,1,32,32,7068.519,7683.614,4.1647,1.0
1,7200,dci_gated,10,MixSurge1,0,0.857874,1.0,0.599382,1.0,0.749501,0.84677,0,1.0014,cheap,0.9996,0,3.0057,cheap,1,32,32,8490.038,9251.943,3.4587,1.0
1,7200,dci_gated,11,MixSurge1,0,0.887907,1.0,0.621012,1.0,0.760027,0.860183,0,1.0014,cheap,0.9996,0,2.3287,cheap,1,32,32,7664.171,8610.224,3.7165,1.0
1,7200,dci_gated,12,MixSurge1,0,0.89838,1.0,0.801942,1.0,0.760378,0.89904,0,1.0014,cheap,0.9996,0,1.6666,cheap,1,32,32,7898.914,9021.852,3.5469,1.0
1,7200,dci_gated,13,MixShift2,1,0.650594,1.0,0.42076,0.821429,0.674548,0.712268,1,1.0017,cheap,0.9995,0,1.7566,cheap,1,32,32,8239.669,9240.663,3.463,1.0
1,7200,dci_gated,14,MixShift2,0,0.843454,1.0,0.72626,0.981481,0.752443,0.865278,0,1.0017,cheap,0.9995,0,4.7852,cheap,1,32,32,13274.504,14364.041,2.2278,1.0
1,7200,dci_gated,15,MixShift2,0,0.878564,1.0,0.655338,1.0,0.775439,0.867025,0,1.0017,cheap,0.9995,0,1.6561,cheap,1,32,32,8099.452,8922.596,3.5864,1.0
1,7200,dci_gated,16,MixShift2,0,0.886119,1.0,0.686988,1.0,0.728502,0.868203,0,1.0017,cheap,0.9995,0,1.792,cheap,1,32,32,13707.763,14735.076,2.1717,1.0
1,7200,dci_gated,17,MixCalm,1,0.890157,0.625,0.746237,1.0,0.732179,0.806614,1,1.0009,cheap,0.9997,0,0.8573,cheap,1,20,20,9712.994,10355.293,1.9314,1.0
1,7200,dci_gated,18,MixCalm,0,0.910463,1.0,0.68631,1.0,0.848974,0.892224,0,1.0009,cheap,0.9998,0,2.6624,cheap,1,20,20,11127.621,11863.179,1.6859,1.0
1,7200,dci_gated,19,MixCalm,0,0.870761,1.0,0.613725,1.0,0.771667,0.856185,0,1.0009,cheap,0.9998,0,1.6619,cheap,1,20,20,8442.19,8867.17,2.2555,1.0
1,7200,dci_gated,20,MixCalm,0,0.83051,1.0,0.570218,1.0,0.830513,0.846248,0,1.0009,cheap,0.9998,0,1.6216,cheap,1,20,20,11500.236,11959.51,1.6723,1.0
1,7200,dci_gated,21,MixShift3,1,0.661938,1.0,0.332246,0.854497,0.746923,0.714872,1,1.0011,cheap,0.9997,0,2.739,cheap,1,20,20,11405.087,11897.63,1.681,1.0
1,7200,dci_gated,22,MixShift3,0,0.876381,1.0,0.676975,0.942308,0.745256,0.85474,0,1.0011,cheap,0.9997,0,3.1011,cheap,1,20,20,15706.026,16354.387,1.2229,1.0
1,7200,dci_gated,23,MixShift3,0,0.83008,1.0,0.411223,1.0,0.751923,0.802553,0,1.0011,cheap,0.9997,0,1.0892,cheap,1,20,20,4888.779,5717.831,3.4978,1.0
1,7200,dci_gated,24,MixShift3,0,0.831258,1.0,0.478492,1.0,0.822179,0.82684,0,1.0011,cheap,0.9997,0,1.7436,cheap,1,20,20,13212.55,13969.408,1.4317,1.0
2,7300,dci_gated,1,MixBase,0,0.882346,1.0,0.57494,1.0,0.727179,0.844651,0,1.0,cheap,1.0,0,2.9538,cheap,1,20,20,4980.494,5563.03,3.5952,1.0
2,7300,dci_gated,2,MixBase,0,0.930096,1.0,0.840968,1.0,0.693974,0.904814,0,1.5043,cheap,1.0,0,1.6269,cheap,1,20,20,4877.052,5250.064,3.8095,1.0
2,7300,dci_gated,3,MixBase,0,0.835234,1.0,0.50377,1.0,0.678974,0.811409,0,1.7035,cheap,1.0,0,1.6515,cheap,1,20,20,4441.722,4996.711,4.0026,1.0
2,7300,dci_gated,4,MixBase,0,0.84535,1.0,0.541197,1.0,0.773846,0.835654,0,1.7024,cheap,1.0,0,1.6869,cheap,1,20,20,3321.915,3947.956,5.0659,1.0
2,7300,dci_gated,5,MixShift1,1,0.548841,1.0,0.259148,0.440092,0.824231,0.600693,1,1.0959,cheap,1.135,0,1.658,cheap,1,20,20,3373.17,3981.421,5.0233,1.0
2,7300,dci_gated,6,MixShift1,0,0.767036,1.0,0.377579,0.729167,0.817308,0.735704,1,1.0952,cheap,1.008,0,2.9186,cheap,1,20,20,5717.075,6320.552,3.1643,1.0
