block,block_seed,strategy,wall_qps,wall_time_s,queries_total,queries_ok,advisor_calls,T_A_total_ms,mean_hsm,hsm_below_theta,n_drift_points,precision,recall,hsm_series,phase_series,p_advisor,theta,k_periodic,workload_fp,note,sf
1,7200,dci_gated,2.7836,206.926,576,576,5,821.35,0.8397,3,5,,,"0.8910,0.8417,0.8350,0.8950,0.6663,0.9043,0.8434,0.9029,0.8376,0.8571,0.8558,0.8993,0.7125,0.8648,0.8660,0.8682,0.8066,0.8960,0.8599,0.8460,0.7161,0.8572,0.8036,0.8261",Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix,0.2083,0.75,3,d3baceb07787d20a,window_0=shared_init; metrics from window_1 onward,1.0
2,7300,dci_gated,2.9475,195.422,576,576,7,1040.24,0.8216,5,5,,,"0.8522,0.9195,0.8096,0.8402,0.5907,0.7357,0.7147,0.8756,0.7893,0.9179,0.8761,0.8683,0.7051,0.9303,0.8779,0.8958,0.8039,0.8422,0.8425,0.8745,0.6701,0.8307,0.9038,0.7528",Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix,0.2917,0.75,3,1b03c34ed1bd6bca,window_0=shared_init; metrics from window_1 onward,1.0
3,7400,dci_gated,2.8447,202.484,576,576,5,1168.42,0.8382,3,5,,,"0.8382,0.8803,0.8978,0.8196,0.5894,0.7818,0.8640,0.8912,0.8460,0.9155,0.8824,0.8428,0.6745,0.8641,0.8655,0.8889,0.8345,0.8732,0.8663,0.8648,0.7078,0.9262,0.8254,0.8777",Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix,0.2083,0.75,3,89fddce1cec6b09f,window_0=shared_init; metrics from window_1 onward,1.0
4,7500,dci_gated,2.7172,211.984,576,576,5,872.07,0.8419,3,5,,,"0.8560,0.8480,0.9140,0.9110,0.6671,0.8940,0.8612,0.8191,0.7834,0.8896,0.8418,0.9332,0.6908,0.8678,0.8818,0.9087,0.7534,0.8894,0.8373,0.8862,0.7230,0.8788,0.8490,0.8216",Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix,0.2083,0.75,3,c84850e76a6310dd,window_0=shared_init; metrics from window_1 onward,1.0
5,7600,dci_gated,2.588,222.563,576,576,5,887.89,0.8416,4,5,,,"0.8749,0.7978,0.8225,0.8690,0.6561,0.9317,0.8688,0.8815,0.8335,0.9300,0.9022,0.8736,0.7041,0.8898,0.9379,0.9195,0.7759,0.9241,0.7389,0.8171,0.7242,0.8697,0.8284,0.8276",Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix,0.2083,0.75,3,3cd5c071fedd8433,window_0=shared_init; metrics from window_1 onward,1.0
6,7700,dci_gated,2.6174,220.064,576,576,6,997.57,0.8376,3,5,,,"0.8708,0.9070,0.8918,0.7885,0.6097,0.8301,0.8186,0.8701,0.8508,0.9476,0.8639,0.9079,0.6923,0.8879,0.9209,0.8567,0.7563,0.8512,0.8313,0.8522,0.6698,0.8547,0.8535,0.9196",Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix,0.25,0.75,3,47ed4ae9cf87fd16,window_0=shared_init; metrics from window_1 onward,1.0
7,7800,dci_gated,2.963,194.396,576,576,5,793.61,0.8397,3,5,,,"0.8169,0.8341,0.9132,0.8382,0.6361,0.8598,0.8509,0.8357,0.7880,0.8788,0.8806,0.9004,0.6903,0.8296,0.8728,0.9248,0.7957,0.8866,0.8866,0.8812,0.6663,0.8739,0.9008,0.9106",Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix,0.2083,0.75,3,8eacdb202e7f23ba,window_0=shared_init; metrics from window_1 onward,1.0
8,7900,dci_gated,2.7813,207.099,576,576,5,823.33,0.8338,3,5,,,"0.8143,0.8314,0.9200,0.9038,0.6935,0.8364,0.8740,0.8980,0.8156,0.9017,0.8346,0.8425,0.6429,0.9195,0.8863,0.8537,0.7999,0.8205,0.8824,0.8162,0.6646,0.8419,0.8696,0.8468",Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix,0.2083,0.75,3,8d884d131133fa7e,window_0=shared_init; metrics from window_1 onward,1.0
9,8000,dci_gated,2.7066,212.812,576,576,6,976.57,0.8551,3,5,,,"0.8898,0.9004,0.8704,0.8947,0.6611,0.8981,0.8215,0.9061,0.8159,0.9035,0.9052,0.8728,0.6551,0.8904,0.8710,0.8844,0.7853,0.9422,0.9050,0.9042,0.7020,0.8808,0.8416,0.9197",Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix,0.25,0.75,3,a61c4ad45f256040,window_0=shared_init; metrics from window_1 onward,1.0
10,8100,dci_gated,2.71,212.546,576,576,5,784.55,0.8392,2,5,,,"0.8162,0.8797,0.8753,0.8586,0.6359,0.8579,0.8662,0.8977,0.7857,0.8659,0.9221,0.9231,0.6693,0.8143,0.9081,0.8948,0.8270,0.7998,0.9110,0.8432,0.7550,0.8686,0.8169,0.8498",Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix,0.2083,0.75,3,cf8775349174723e,window_0=shared_init; metrics from window_1 onward,1.0
