block,block_seed,strategy,window,phase,drift_truth,S_R,S_V,S_T,S_A,S_P,HSM,invoked,gate_dci,gate_regime,gate_R4s,gate_audit,det_ms,features_used,sp_out_of_band,n_queries,n_ok,exec_ms_window_sum,wall_ms_window,qps_window,sf
1,7200,dci_gated,1,MixBase,0,0.882086,1.0,0.724001,1.0,0.837821,0.890995,0,1.0,full,1.0,0,13.8527,full,0,20,20,4665.189,5434.778,3.68,1.0
1,7200,dci_gated,2,MixBase,0,0.8176,1.0,0.556544,1.0,0.840256,0.841747,0,1.6976,full,1.0,0,7.9581,full,0,20,20,3034.326,3506.022,5.7045,1.0
1,7200,dci_gated,3,MixBase,0,0.834022,1.0,0.514298,1.0,0.823974,0.834961,0,1.442,full,1.0,0,10.9663,full,0,20,20,4767.111,5381.29,3.7166,1.0
1,7200,dci_gated,4,MixBase,0,0.924065,1.0,0.763089,1.0,0.742308,0.89498,0,1.7897,full,1.0,0,6.4082,full,0,20,20,4131.06,4660.461,4.2914,1.0
1,7200,dci_gated,5,MixShift1,1,0.650837,1.0,0.524104,0.440092,0.73859,0.666337,1,1.1118,full,1.0758,0,6.6358,full,0,20,20,4968.388,5580.994,3.5836,1.0
1,7200,dci_gated,6,MixShift1,0,0.926897,1.0,0.729697,1.0,0.844231,0.904298,0,1.1224,full,1.1187,0,6.4956,full,0,20,20,4261.804,4685.844,4.2682,1.0
1,7200,dci_gated,7,MixShift1,0,0.8176,1.0,0.579496,1.0,0.820769,0.843415,0,1.1608,full,1.0884,0,8.141,full,0,20,20,4061.082,4649.071,4.3019,1.0
1,7200,dci_gated,8,MixShift1,0,0.913002,1.0,0.759256,1.0,0.818718,0.902909,0,1.1705,full,1.1423,0,7.933,full,0,20,20,4268.852,4684.333,4.2696,1.0
1,7200,dci_gated,9,MixSurge1,1,0.930096,0.625,0.793659,1.0,0.808974,0.837602,1,1.0013,full,0.9996,0,8.8319,full,0,32,32,6458.712,7023.185,4.5563,1.0
1,7200,dci_gated,10,MixSurge1,0,0.857874,1.0,0.599382,1.0,0.818489,0.857118,0,1.0014,full,0.9996,0,11.2411,full,0,32,32,7203.839,7896.685,4.0523,1.0
1,7200,dci_gated,11,MixSurge1,0,0.887907,1.0,0.621012,1.0,0.730958,0.855823,0,1.0014,full,0.9996,0,10.6185,full,0,32,32,7085.214,7954.326,4.023,1.0
1,7200,dci_gated,12,MixSurge1,0,0.89838,1.0,0.801942,1.0,0.762348,0.899335,0,1.0014,full,0.9996,0,9.5632,full,0,32,32,7546.489,8613.904,3.7149,1.0
1,7200,dci_gated,13,MixShift2,1,0.650594,1.0,0.42076,0.821429,0.676086,0.712499,1,1.0017,full,0.9995,0,8.9121,full,0,32,32,8248.065,9172.695,3.4886,1.0
1,7200,dci_gated,14,MixShift2,0,0.843454,1.0,0.72626,0.981481,0.748934,0.864752,0,1.0017,full,0.9995,0,12.2324,full,0,32,32,13692.388,14731.88,2.1722,1.0
1,7200,dci_gated,15,MixShift2,0,0.878564,1.0,0.655338,1.0,0.768772,0.866025,0,1.0017,full,0.9995,0,8.6206,full,0,32,32,8316.13,9068.206,3.5288,1.0
1,7200,dci_gated,16,MixShift2,0,0.886119,1.0,0.686988,1.0,0.728502,0.868203,0,1.0017,full,0.9995,0,8.7235,full,0,32,32,13356.183,14319.219,2.2348,1.0
1,7200,dci_gated,17,MixCalm,1,0.890157,0.625,0.746237,1.0,0.732179,0.806614,1,1.0009,full,0.9997,0,9.5547,full,0,20,20,9720.751,10337.477,1.9347,1.0
1,7200,dci_gated,18,MixCalm,0,0.910463,1.0,0.68631,1.0,0.873974,0.895974,0,1.0009,full,0.9998,0,7.6385,full,0,20,20,11056.232,11760.223,1.7006,1.0
1,7200,dci_gated,19,MixCalm,0,0.870761,1.0,0.613725,1.0,0.796667,0.859935,0,1.0009,full,0.9998,0,7.63,full,0,20,20,8284.515,8662.735,2.3087,1.0
1,7200,dci_gated,20,MixCalm,0,0.83051,1.0,0.570218,1.0,0.828846,0.845998,0,1.0009,full,0.9998,0,7.8588,full,0,20,20,11167.52,11598.606,1.7243,1.0
1,7200,dci_gated,21,MixShift3,1,0.661938,1.0,0.332246,0.854497,0.755256,0.716122,1,1.0011,full,0.9997,0,11.0837,full,0,20,20,11301.167,11754.113,1.7015,1.0
1,7200,dci_gated,22,MixShift3,0,0.876381,1.0,0.676975,0.942308,0.761923,0.85724,0,1.0011,full,0.9997,0,7.8281,full,0,20,20,14609.566,15215.47,1.3145,1.0
1,7200,dci_gated,23,MixShift3,0,0.83008,1.0,0.411223,1.0,0.75859,0.803553,0,1.0011,full,0.9997,0,7.6526,full,0,20,20,4807.851,5572.92,3.5888,1.0
1,7200,dci_gated,24,MixShift3,0,0.831258,1.0,0.478492,1.0,0.817051,0.826071,0,1.0011,full,0.9997,0,9.4008,full,0,20,20,12901.515,13602.087,1.4704,1.0
2,7300,dci_gated,1,MixBase,0,0.882346,1.0,0.57494,1.0,0.777308,0.852171,0,1.0,full,1.0,0,9.104,full,0,20,20,4159.807,4709.037,4.2472,1.0
2,7300,dci_gated,2,MixBase,0,0.930096,1.0,0.840968,1.0,0.792179,0.919545,0,1.5043,full,1.0,0,7.5398,full,0,20,20,4142.371,4490.385,4.454,1.0
2,7300,dci_gated,3,MixBase,0,0.835234,1.0,0.50377,1.0,0.667179,0.809639,0,1.7035,full,1.0,0,7.3845,full,0,20,20,4199.853,4695.758,4.2592,1.0
2,7300,dci_gated,4,MixBase,0,0.84535,1.0,0.541197,1.0,0.803974,0.840173,0,1.7024,full,1.0,0,7.6868,full,0,20,20,3178.163,3777.392,5.2947,1.0
2,7300,dci_gated,5,MixShift1,1,0.548841,1.0,0.259148,0.440092,0.757308,0.590655,1,1.0959,full,1.135,0,7.5208,full,0,20,20,3268.274,3835.9,5.2139,1.0
2,7300,dci_gated,6,MixShift1,0,0.767036,1.0,0.377579,0.729167,0.817436,0.735724,1,1.0952,full,1.008,0,7.8257,full,0,20,20,4809.572,5357.881,3.7328,1.0
2,7300,dci_gated,7,MixShift1,0,0.731145,1.0,0.435188,0.729167,0.660513,0.714734,1,1.0819,full,1.0255,0,8.0182,full,0,20,20,4239.784,4784.81,4.1799,1.0
2,7300,dci_gated,8,MixShift1,0,0.876035,1.0,0.680038,1.0,0.80359,0.875555,0,1.0829,full,1.0568,0,8.039,full,0,20,20,3577.147,4095.291,4.8837,1.0
2,7300,dci_gated,9,MixSurge1,1,0.89838,0.625,0.601706,1.0,0.796026,0.78934,1,1.0023,full,0.9994,0,10.3863,full,0,32,32,7003.792,8062.568,3.969,1.0
2,7300,dci_gated,10,MixSurge1,0,0.930096,1.0,0.846388,1.0,0.774062,0.917911,0,1.0023,full,0.9994,0,10.9431,full,0,32,32,7364.092,8180.55,3.9117,1.0
2,7300,dci_gated,11,MixSurge1,0,0.864139,1.0,0.699871,1.0,0.800729,0.876118,0,1.0023,full,0.9994,0,8.6262,full,0,32,32,5952.638,6980.328,4.5843,1.0
2,7300,dci_gated,12,MixSurge1,0,0.864139,1.0,0.705195,1.0,0.741484,0.868296,0,1.0023,full,0.9994,0,8.9602,full,0,32,32,7328.092,8219.861,3.893,1.0
2,7300,dci_gated,13,MixShift2,1,0.602539,1.0,0.393194,0.807882,0.761565,0.705085,1,1.0028,full,0.9991,0,9.974,full,0,32,32,12497.447,13487.359,2.3726,1.0
2,7300,dci_gated,14,MixShift2,0,0.963547,1.0,0.836225,1.0,0.814332,0.930282,0,1.0028,full,0.9991,0,10.4578,full,0,32,32,12477.765,13263.589,2.4126,1.0
2,7300,dci_gated,15,MixShift2,0,0.913002,1.0,0.702786,1.0,0.727045,0.877864,0,1.0029,full,0.9992,0,10.2942,full,0,32,32,11313.968,11885.539,2.6923,1.0
2,7300,dci_gated,16,MixShift2,0,0.923898,1.0,0.706301,1.0,0.823806,0.895806,0,1.0029,full,0.9992,0,11.5185,full,0,32,32,12400.274,13276.907,2.4102,1.0
2,7300,dci_gated,17,MixCalm,1,0.845892,0.625,0.728762,0.981481,0.835769,0.803887,1,1.0015,full,0.9996,0,7.561,full,0,20,20,5883.435,6622.318,3.0201,1.0
2,7300,dci_gated,18,MixCalm,0,0.810427,1.0,0.682317,0.981481,0.712179,0.842193,0,1.0015,full,0.9996,0,9.9025,full,0,20,20,10858.404,11374.606,1.7583,1.0
2,7300,dci_gated,19,MixCalm,0,0.854059,1.0,0.58446,1.0,0.747436,0.842522,0,1.0015,full,0.9996,0,12.3004,full,0,20,20,11844.553,12521.592,1.5972,1.0
2,7300,dci_gated,20,MixCalm,0,0.89028,1.0,0.683016,1.0,0.768974,0.874519,0,1.0015,full,0.9996,0,10.3793,full,0,20,20,7759.39,8385.797,2.385,1.0
2,7300,dci_gated,21,MixShift3,1,0.561272,1.0,0.256409,0.811905,0.774359,0.670135,1,1.0018,full,0.9994,0,11.8386,full,0,20,20,6296.706,6872.972,2.9099,1.0
2,7300,dci_gated,22,MixShift3,0,0.849829,1.0,0.689487,0.839744,0.749231,0.830688,0,1.0018,full,0.9994,0,14.8631,full,0,20,20,6947.651,7619.098,2.625,1.0
2,7300,dci_gated,23,MixShift3,0,0.940591,1.0,0.753316,1.0,0.786795,0.90383,0,1.0018,full,0.9994,0,7.7214,full,0,20,20,10042.067,10568.016,1.8925,1.0
2,7300,dci_gated,24,MixShift3,0,0.731603,1.0,0.499399,0.839744,0.680513,0.752806,0,1.0019,full,0.9994,0,17.2566,full,0,20,20,10405.662,11052.528,1.8095,1.0
3,7400,dci_gated,1,MixBase,0,0.859176,1.0,0.639001,1.0,0.637051,0.838152,0,1.0,full,1.0,0,12.1062,full,0,20,20,4593.348,5083.301,3.9345,1.0
3,7400,dci_gated,2,MixBase,0,0.897713,1.0,0.662409,1.0,0.822692,0.880314,0,1.4213,full,1.0,0,6.1508,full,0,20,20,4478.488,4964.772,4.0284,1.0
3,7400,dci_gated,3,MixBase,0,0.920554,1.0,0.726516,1.0,0.815513,0.897768,0,1.4468,full,1.0,0,8.7346,full,0,20,20,5035.844,5589.355,3.5782,1.0
3,7400,dci_gated,4,MixBase,0,0.871175,1.0,0.518735,1.0,0.653974,0.819637,0,2.0734,full,1.0,0,7.14,full,0,20,20,3503.475,3897.938,5.1309,1.0
3,7400,dci_gated,5,MixShift1,1,0.57451,1.0,0.241191,0.440092,0.73,0.589384,1,1.0391,full,1.1218,0,12.5102,full,0,20,20,3698.957,4244.72,4.7117,1.0
3,7400,dci_gated,6,MixShift1,0,0.741206,1.0,0.518322,0.9375,0.702051,0.781774,0,1.0995,full,0.9631,0,9.4521,full,0,20,20,5252.435,5788.508,3.4551,1.0
3,7400,dci_gated,7,MixShift1,0,0.861371,1.0,0.716822,0.9375,0.785385,0.864015,0,1.1041,full,0.9998,0,11.5915,full,0,20,20,4608.848,5079.603,3.9373,1.0
3,7400,dci_gated,8,MixShift1,0,0.905484,1.0,0.724829,1.0,0.799231,0.891221,0,1.1039,full,1.0494,0,7.2937,full,0,20,20,4363.613,4876.058,4.1017,1.0
3,7400,dci_gated,9,MixSurge1,1,0.933376,0.625,0.827763,1.0,0.814103,0.846012,1,1.0016,full,0.9995,0,8.2004,full,0,32,32,7183.779,7991.951,4.004,1.0
3,7400,dci_gated,10,MixSurge1,0,0.944342,1.0,0.855901,1.0,0.721484,0.915488,0,1.0017,full,0.9995,0,12.828,full,0,32,32,7850.984,8731.554,3.6649,1.0
3,7400,dci_gated,11,MixSurge1,0,0.918402,1.0,0.724223,1.0,0.71946,0.882364,0,1.0017,full,0.9996,0,9.2309,full,0,32,32,6227.447,7149.328,4.4759,1.0
3,7400,dci_gated,12,MixSurge1,0,0.874892,1.0,0.632291,1.0,0.650877,0.842813,0,1.0017,full,0.9996,0,12.5813,full,0,32,32,7950.337,8762.298,3.652,1.0
3,7400,dci_gated,13,MixShift2,1,0.591609,1.0,0.313329,0.807882,0.682618,0.674537,1,1.0023,full,0.9994,0,16.5361,full,0,32,32,16748.412,17802.925,1.7975,1.0
3,7400,dci_gated,14,MixShift2,0,0.890157,1.0,0.653161,1.0,0.739757,0.864135,0,1.0023,full,0.9994,0,14.4523,full,0,32,32,13780.743,14627.288,2.1877,1.0
3,7400,dci_gated,15,MixShift2,0,0.841626,1.0,0.712819,0.981481,0.77498,0.865514,0,1.0023,full,0.9994,0,15.2275,full,0,32,32,9575.952,10478.052,3.054,1.0
3,7400,dci_gated,16,MixShift2,0,0.861371,1.0,0.80361,0.981481,0.777139,0.888932,0,1.0023,full,0.9993,0,14.7943,full,0,32,32,11055.838,12178.847,2.6275,1.0
3,7400,dci_gated,17,MixCalm,1,0.913002,0.625,0.798957,1.0,0.809487,0.834465,1,1.0011,full,0.9997,0,12.7007,full,0,20,20,7068.851,7406.857,2.7002,1.0
3,7400,dci_gated,18,MixCalm,0,0.952814,1.0,0.678508,1.0,0.661795,0.873174,0,1.0012,full,0.9997,0,11.0635,full,0,20,20,8153.213,8727.675,2.2916,1.0
3,7400,dci_gated,19,MixCalm,0,0.880073,1.0,0.549739,1.0,0.908846,0.866293,0,1.0012,full,0.9997,0,14.928,full,0,20,20,7576.138,8196.381,2.4401,1.0
3,7400,dci_gated,20,MixCalm,0,0.905792,1.0,0.727837,1.0,0.618846,0.864842,0,1.0012,full,0.9997,0,10.3667,full,0,20,20,7296.431,7902.751,2.5308,1.0
3,7400,dci_gated,21,MixShift3,1,0.613338,1.0,0.367307,0.811905,0.790769,0.707792,1,1.0014,full,0.9996,0,16.6065,full,0,20,20,10350.13,10936.819,1.8287,1.0
3,7400,dci_gated,22,MixShift3,0,1.0,1.0,0.914326,1.0,0.622308,0.926211,0,1.0015,full,0.9996,0,10.3477,full,0,20,20,9267.037,9880.959,2.0241,1.0
3,7400,dci_gated,23,MixShift3,0,0.828067,1.0,0.645658,0.839744,0.808974,0.825443,0,1.0015,full,0.9996,0,12.129,full,0,20,20,9876.847,10245.643,1.952,1.0
3,7400,dci_gated,24,MixShift3,0,0.882123,1.0,0.878251,0.839744,0.757051,0.877687,0,1.0015,full,0.9995,0,11.528,full,0,20,20,9901.774,10461.884,1.9117,1.0
4,7500,dci_gated,1,MixBase,0,0.869421,1.0,0.586722,1.0,0.808974,0.856046,0,1.0,full,1.0,0,14.3321,full,0,20,20,5053.898,5387.764,3.7121,1.0
4,7500,dci_gated,2,MixBase,0,0.86444,1.0,0.602656,1.0,0.742179,0.847968,0,1.0123,full,1.0,0,12.5149,full,0,20,20,5105.039,5725.314,3.4933,1.0
4,7500,dci_gated,3,MixBase,0,0.924065,1.0,0.781926,1.0,0.844103,0.914017,0,1.9117,full,1.0,0,7.6743,full,0,20,20,5571.233,6152.965,3.2505,1.0
4,7500,dci_gated,4,MixBase,0,0.926974,1.0,0.760709,1.0,0.847436,0.911001,0,1.6001,full,1.0,0,9.2093,full,0,20,20,5285.21,5836.957,3.4264,1.0
4,7500,dci_gated,5,MixShift1,1,0.68833,1.0,0.523489,0.440092,0.681923,0.667087,1,1.0653,full,1.0396,0,11.4041,full,0,20,20,5129.518,5697.816,3.5101,1.0
4,7500,dci_gated,6,MixShift1,0,0.927134,1.0,0.764639,1.0,0.728718,0.894019,0,1.0851,full,1.083,0,9.592,full,0,20,20,5632.715,6125.757,3.2649,1.0
4,7500,dci_gated,7,MixShift1,0,0.924065,1.0,0.615667,1.0,0.71359,0.861188,0,1.099,full,1.0669,0,11.8167,full,0,20,20,5845.95,6295.547,3.1768,1.0
