block,block_seed,strategy,wall_qps,wall_time_s,queries_total,queries_ok,advisor_calls,T_A_total_ms,mean_hsm,hsm_below_theta,n_drift_points,precision,recall,hsm_series,phase_series,p_advisor,theta,k_periodic,workload_fp,note,sf
1,7200,dci_gated,2.6648,216.154,576,576,5,826.62,0.8369,3,5,,,"0.8849,0.8380,0.8319,0.8930,0.6581,0.8993,0.8334,0.8942,0.8348,0.8447,0.8582,0.8977,0.7110,0.8653,0.8650,0.8672,0.8066,0.8922,0.8562,0.8462,0.7199,0.8582,0.8036,0.8266",Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix,0.2083,0.75,3,d3baceb07787d20a,window_0=shared_init; metrics from window_1 onward,1.0
2,7300,dci_gated,2.8583,201.519,576,576,7,1152.33,0.8227,5,5,,,"0.8454,0.9083,0.8137,0.8407,0.6019,0.7357,0.7173,0.8818,0.7921,0.9166,0.8838,0.8680,0.6999,0.9303,0.8771,0.8966,0.8049,0.8490,0.8385,0.8745,0.6711,0.8299,0.9023,0.7648",Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix,0.2917,0.75,3,1b03c34ed1bd6bca,window_0=shared_init; metrics from window_1 onward,1.0
3,7400,dci_gated,2.8626,201.219,576,576,5,854.06,0.8382,3,5,,,"0.8407,0.8788,0.8936,0.8314,0.5793,0.7793,0.8656,0.8902,0.8426,0.9184,0.8791,0.8406,0.6788,0.8681,0.8640,0.8895,0.8339,0.8739,0.8663,0.8736,0.7111,0.9183,0.8279,0.8710",Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix,0.2083,0.75,3,89fddce1cec6b09f,window_0=shared_init; metrics from window_1 onward,1.0
4,7500,dci_gated,2.7684,208.062,576,576,5,846.11,0.8425,3,5,,,"0.8475,0.8495,0.9163,0.9082,0.6696,0.8923,0.8599,0.8281,0.7854,0.8878,0.8448,0.9341,0.6877,0.8698,0.8801,0.9079,0.7569,0.8852,0.8440,0.8877,0.7230,0.8726,0.8540,0.8276",Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix,0.2083,0.75,3,c84850e76a6310dd,window_0=shared_init; metrics from window_1 onward,1.0
5,7600,dci_gated,2.6241,219.506,576,576,5,877.38,0.8414,4,5,,,"0.8797,0.7994,0.8212,0.8680,0.6519,0.9291,0.8681,0.8797,0.8368,0.9274,0.8985,0.8759,0.7041,0.8875,0.9387,0.9200,0.7764,0.9246,0.7389,0.8171,0.7242,0.8709,0.8294,0.8266",Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix,0.2083,0.75,3,3cd5c071fedd8433,window_0=shared_init; metrics from window_1 onward,1.0
6,7700,dci_gated,2.663,216.297,576,576,5,850.87,0.8375,3,5,,,"0.8698,0.9070,0.8925,0.7872,0.6074,0.8293,0.8211,0.8726,0.8463,0.9466,0.8638,0.9054,0.6940,0.8875,0.9187,0.8554,0.7563,0.8532,0.8323,0.8542,0.6685,0.8560,0.8553,0.9186",Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix,0.2083,0.75,3,47ed4ae9cf87fd16,window_0=shared_init; metrics from window_1 onward,1.0
7,7800,dci_gated,3.0034,191.782,576,576,5,813.28,0.8396,3,5,,,"0.8167,0.8311,0.9157,0.8360,0.6323,0.8631,0.8544,0.8324,0.7868,0.8772,0.8816,0.9014,0.6902,0.8289,0.8743,0.9273,0.8017,0.8866,0.8866,0.8804,0.6663,0.8701,0.8988,0.9106",Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix,0.2083,0.75,3,8eacdb202e7f23ba,window_0=shared_init; metrics from window_1 onward,1.0
8,7900,dci_gated,2.7674,208.141,576,576,5,806.9,0.8338,3,5,,,"0.8166,0.8322,0.9205,0.9063,0.6927,0.8364,0.8750,0.8940,0.8149,0.9014,0.8359,0.8394,0.6421,0.9185,0.8863,0.8537,0.7999,0.8213,0.8824,0.8162,0.6654,0.8419,0.8706,0.8468",Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix,0.2083,0.75,3,8d884d131133fa7e,window_0=shared_init; metrics from window_1 onward,1.0
9,8000,dci_gated,2.704,213.021,576,576,5,834.74,0.8557,3,5,,,"0.8879,0.8985,0.8689,0.8897,0.6661,0.8938,0.8293,0.9119,0.8177,0.9078,0.9082,0.8773,0.6521,0.8869,0.8710,0.8844,0.7869,0.9442,0.9073,0.9027,0.7045,0.8808,0.8391,0.9210",Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix,0.2083,0.75,3,a61c4ad45f256040,window_0=shared_init; metrics from window_1 onward,1.0
10,8100,dci_gated,2.7122,212.376,576,576,5,855.43,0.8392,2,5,,,"0.8087,0.8782,0.8750,0.8596,0.6371,0.8556,0.8662,0.8969,0.7865,0.8634,0.9226,0.9248,0.6711,0.8125,0.9081,0.8956,0.8270,0.7998,0.9125,0.8445,0.7562,0.8741,0.8184,0.8461",Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix,0.2083,0.75,3,cf8775349174723e,window_0=shared_init; metrics from window_1 onward,1.0
