block,block_seed,strategy,window,phase,drift_truth,S_R,S_V,S_T,S_A,S_P,HSM,invoked,gate_dci,gate_regime,gate_R4s,gate_audit,det_ms,features_used,sp_out_of_band,n_queries,n_ok,exec_ms_window_sum,wall_ms_window,qps_window,sf
1,7200,dci_gated,1,MixBase,0,0.882086,1.0,0.724001,1.0,0.797436,0.884937,0,1.0,cheap,1.0,0,2.7486,cheap,1,20,20,4946.153,5776.323,3.4624,1.0
1,7200,dci_gated,2,MixBase,0,0.8176,1.0,0.556544,1.0,0.815256,0.837997,0,1.6976,cheap,1.0,0,1.7163,cheap,1,20,20,3034.575,3559.678,5.6185,1.0
1,7200,dci_gated,3,MixBase,0,0.834022,1.0,0.514298,1.0,0.803846,0.831942,0,1.442,cheap,1.0,0,1.6626,cheap,1,20,20,5617.222,6299.774,3.1747,1.0
1,7200,dci_gated,4,MixBase,0,0.924065,1.0,0.763089,1.0,0.728974,0.89298,0,1.7897,cheap,1.0,0,1.6364,cheap,1,20,20,4496.458,5075.336,3.9406,1.0
1,7200,dci_gated,5,MixShift1,1,0.650837,1.0,0.524104,0.440092,0.683846,0.658125,1,1.1118,cheap,1.0758,0,1.6861,cheap,1,20,20,6027.663,6683.962,2.9922,1.0
1,7200,dci_gated,6,MixShift1,0,0.926897,1.0,0.729697,1.0,0.810769,0.899279,0,1.1224,cheap,1.1187,0,1.578,cheap,1,20,20,4445.166,4903.129,4.079,1.0
1,7200,dci_gated,7,MixShift1,0,0.8176,1.0,0.579496,1.0,0.753974,0.833395,0,1.1608,cheap,1.0884,0,1.6616,cheap,1,20,20,4378.748,5003.123,3.9975,1.0
1,7200,dci_gated,8,MixShift1,0,0.913002,1.0,0.759256,1.0,0.760513,0.894179,0,1.1705,cheap,1.1423,0,1.7715,cheap,1,20,20,4686.591,5132.821,3.8965,1.0
1,7200,dci_gated,9,MixSurge1,1,0.930096,0.625,0.793659,1.0,0.790385,0.834813,1,1.0013,cheap,0.9996,0,1.5738,cheap,1,32,32,7063.569,7700.628,4.1555,1.0
1,7200,dci_gated,10,MixSurge1,0,0.857874,1.0,0.599382,1.0,0.735735,0.844705,0,1.0014,cheap,0.9996,0,2.8736,cheap,1,32,32,8494.496,9242.796,3.4622,1.0
1,7200,dci_gated,11,MixSurge1,0,0.887907,1.0,0.621012,1.0,0.746775,0.858195,0,1.0014,cheap,0.9996,0,1.613,cheap,1,32,32,7637.637,8545.12,3.7448,1.0
1,7200,dci_gated,12,MixSurge1,0,0.89838,1.0,0.801942,1.0,0.751741,0.897744,0,1.0014,cheap,0.9996,0,1.597,cheap,1,32,32,7964.884,9088.853,3.5208,1.0
1,7200,dci_gated,13,MixShift2,1,0.650594,1.0,0.42076,0.821429,0.666262,0.711025,1,1.0017,cheap,0.9995,0,1.6885,cheap,1,32,32,8275.87,9276.989,3.4494,1.0
1,7200,dci_gated,14,MixShift2,0,0.843454,1.0,0.72626,0.981481,0.752443,0.865278,0,1.0017,cheap,0.9995,0,2.8282,cheap,1,32,32,13371.407,14505.043,2.2061,1.0
1,7200,dci_gated,15,MixShift2,0,0.878564,1.0,0.655338,1.0,0.762105,0.865025,0,1.0017,cheap,0.9995,0,1.7342,cheap,1,32,32,8008.115,8830.649,3.6237,1.0
1,7200,dci_gated,16,MixShift2,0,0.886119,1.0,0.686988,1.0,0.721835,0.867203,0,1.0017,cheap,0.9995,0,1.744,cheap,1,32,32,13593.508,14581.119,2.1946,1.0
1,7200,dci_gated,17,MixCalm,1,0.890157,0.625,0.746237,1.0,0.732179,0.806614,1,1.0009,cheap,0.9997,0,1.629,cheap,1,20,20,9571.887,10248.105,1.9516,1.0
1,7200,dci_gated,18,MixCalm,0,0.910463,1.0,0.68631,1.0,0.848974,0.892224,0,1.0009,cheap,0.9998,0,2.7092,cheap,1,20,20,11114.448,11881.228,1.6833,1.0
1,7200,dci_gated,19,MixCalm,0,0.870761,1.0,0.613725,1.0,0.771667,0.856185,0,1.0009,cheap,0.9998,0,1.77,cheap,1,20,20,8581.486,9007.065,2.2205,1.0
1,7200,dci_gated,20,MixCalm,0,0.83051,1.0,0.570218,1.0,0.830513,0.846248,0,1.0009,cheap,0.9998,0,1.6271,cheap,1,20,20,11418.219,11887.536,1.6824,1.0
1,7200,dci_gated,21,MixShift3,1,0.661938,1.0,0.332246,0.854497,0.780513,0.71991,1,1.0011,cheap,0.9997,0,1.5804,cheap,1,20,20,11558.193,12058.8,1.6585,1.0
1,7200,dci_gated,22,MixShift3,0,0.876381,1.0,0.676975,0.942308,0.76859,0.85824,0,1.0011,cheap,0.9997,0,2.8884,cheap,1,20,20,15589.403,16233.091,1.2321,1.0
