block,block_seed,strategy,wall_qps,wall_time_s,queries_total,queries_ok,advisor_calls,T_A_total_ms,mean_hsm,hsm_below_theta,n_drift_points,precision,recall,hsm_series,phase_series,p_advisor,theta,k_periodic,workload_fp,note,sf
1,7200,dci_gated,2.2892,251.616,576,576,5,857.09,0.834,3,5,,,"0.8958,0.8363,0.8162,0.8757,0.6576,0.8835,0.8256,0.8912,0.8315,0.8419,0.8592,0.9006,0.7024,0.8567,0.8675,0.8700,0.8108,0.8902,0.8539,0.8455,0.7234,0.8547,0.8050,0.8218",Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix,0.2083,0.75,3,d3baceb07787d20a,window_0=shared_init; metrics from window_1 onward,1.0
2,7300,dci_gated,2.8557,201.704,576,576,7,1084.63,0.8219,5,5,,,"0.8449,0.9028,0.8137,0.8377,0.5959,0.7355,0.7142,0.8868,0.7948,0.9167,0.8821,0.8696,0.6945,0.9303,0.8773,0.8963,0.8039,0.8447,0.8403,0.8761,0.6704,0.8299,0.9048,0.7633",Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix,0.2917,0.75,3,1b03c34ed1bd6bca,window_0=shared_init; metrics from window_1 onward,1.0
3,7400,dci_gated,3.0521,188.722,576,576,7,1158.02,0.8382,3,5,,,"0.8369,0.8798,0.8935,0.8236,0.5839,0.7765,0.8613,0.8855,0.8473,0.9156,0.8848,0.8472,0.6777,0.8713,0.8650,0.8894,0.8311,0.8739,0.8648,0.8746,0.7090,0.9210,0.8310,0.8720",Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix,0.2917,0.75,3,89fddce1cec6b09f,window_0=shared_init; metrics from window_1 onward,1.0
4,7500,dci_gated,2.9191,197.324,576,576,5,946.14,0.8408,3,5,,,"0.8531,0.8445,0.9113,0.8942,0.6698,0.8943,0.8534,0.8128,0.7917,0.8931,0.8521,0.9297,0.6818,0.8736,0.8720,0.9114,0.7569,0.8852,0.8408,0.8836,0.7230,0.8713,0.8525,0.8271",Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix,0.2083,0.75,3,c84850e76a6310dd,window_0=shared_init; metrics from window_1 onward,1.0
5,7600,dci_gated,2.7988,205.805,576,576,5,793.45,0.8409,4,5,,,"0.8789,0.8016,0.8232,0.8623,0.6616,0.9271,0.8656,0.8897,0.8193,0.9234,0.8938,0.8816,0.7173,0.8858,0.9326,0.9170,0.7741,0.9226,0.7392,0.8136,0.7252,0.8702,0.8301,0.8266",Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix,0.2083,0.75,3,3cd5c071fedd8433,window_0=shared_init; metrics from window_1 onward,1.0
6,7700,dci_gated,2.7752,207.551,576,576,6,951.42,0.8377,3,5,,,"0.8698,0.9060,0.8875,0.7810,0.6072,0.8329,0.8201,0.8756,0.8535,0.9414,0.8613,0.9090,0.6982,0.8879,0.9207,0.8564,0.7585,0.8522,0.8338,0.8517,0.6685,0.8544,0.8558,0.9216",Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix,0.25,0.75,3,47ed4ae9cf87fd16,window_0=shared_init; metrics from window_1 onward,1.0
7,7800,dci_gated,3.0466,189.061,576,576,5,827.17,0.8396,3,5,,,"0.8164,0.8349,0.9105,0.8360,0.6306,0.8576,0.8551,0.8354,0.7868,0.8742,0.8786,0.8921,0.6992,0.8289,0.8743,0.9291,0.8007,0.8901,0.8896,0.8804,0.6663,0.8739,0.8998,0.9106",Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix,0.2083,0.75,3,8eacdb202e7f23ba,window_0=shared_init; metrics from window_1 onward,1.0
8,7900,dci_gated,2.7921,206.298,576,576,5,922.55,0.834,3,5,,,"0.8103,0.8347,0.9168,0.9048,0.6932,0.8385,0.8760,0.8965,0.8164,0.9017,0.8356,0.8412,0.6421,0.9200,0.8858,0.8537,0.7967,0.8238,0.8822,0.8173,0.6634,0.8457,0.8738,0.8468",Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix,0.2083,0.75,3,8d884d131133fa7e,window_0=shared_init; metrics from window_1 onward,1.0
9,8000,dci_gated,2.5729,223.871,576,576,6,932.8,0.8549,3,5,,,"0.8891,0.8932,0.8576,0.9004,0.6676,0.8974,0.8278,0.9139,0.8154,0.9072,0.9017,0.8773,0.6521,0.8916,0.8721,0.8824,0.7869,0.9316,0.9073,0.8970,0.7010,0.8801,0.8479,0.9202",Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix,0.25,0.75,3,a61c4ad45f256040,window_0=shared_init; metrics from window_1 onward,1.0
10,8100,dci_gated,2.5288,227.775,576,576,5,784.94,0.8402,2,5,,,"0.7987,0.8650,0.8793,0.8626,0.6369,0.8526,0.8641,0.9009,0.7860,0.8774,0.9291,0.9266,0.6738,0.8054,0.9040,0.8928,0.8430,0.8096,0.9103,0.8510,0.7572,0.8709,0.8179,0.8496",Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix,0.2083,0.75,3,cf8775349174723e,window_0=shared_init; metrics from window_1 onward,1.0
