block,block_seed,strategy,window,phase,drift_truth,S_R,S_V,S_T,S_A,S_P,HSM,invoked,gate_dci,gate_regime,n_queries,n_ok,exec_ms_window_sum,wall_ms_window,qps_window,sf
1,7200,dci_gated,1,MixBase,0,0.882086,1.0,0.724001,1.0,0.869615,0.895764,0,,5-D,20,20,5351.421,6140.976,3.2568,1.0
1,7200,dci_gated,2,MixBase,0,0.8176,1.0,0.556544,1.0,0.803718,0.836266,0,,5-D,20,20,3325.884,3801.176,5.2615,1.0
1,7200,dci_gated,3,MixBase,0,0.834022,1.0,0.514298,1.0,0.698846,0.816192,0,1.8488,5-D,20,20,6700.305,7322.179,2.7314,1.0
1,7200,dci_gated,4,MixBase,0,0.924065,1.0,0.763089,1.0,0.61359,0.875672,0,2.2265,5-D,20,20,5128.613,5646.732,3.5419,1.0
1,7200,dci_gated,5,MixShift1,1,0.650837,1.0,0.524104,0.440092,0.680256,0.657587,1,1.5284,5-D,20,20,6783.443,7385.552,2.708,1.0
1,7200,dci_gated,6,MixShift1,0,0.926897,1.0,0.729697,1.0,0.705769,0.883529,0,1.5536,5-D,20,20,4926.587,5353.825,3.7356,1.0
1,7200,dci_gated,7,MixShift1,0,0.8176,1.0,0.579496,1.0,0.702308,0.825645,0,1.6291,5-D,20,20,4885.572,5469.242,3.6568,1.0
1,7200,dci_gated,8,MixShift1,0,0.913002,1.0,0.759256,1.0,0.740641,0.891198,0,1.6527,5-D,20,20,5468.561,5874.525,3.4045,1.0
1,7200,dci_gated,9,MixSurge1,1,0.930096,0.625,0.793659,1.0,0.76859,0.831544,1,2.3598,5-D,32,32,8153.925,8716.667,3.6711,1.0
1,7200,dci_gated,10,MixSurge1,0,0.857874,1.0,0.599382,1.0,0.71722,0.841928,0,2.3939,5-D,32,32,11437.84,12122.803,2.6397,1.0
1,7200,dci_gated,11,MixSurge1,0,0.887907,1.0,0.621012,1.0,0.753279,0.859171,0,2.4055,5-D,32,32,9693.556,10554.196,3.032,1.0
1,7200,dci_gated,12,MixSurge1,0,0.89838,1.0,0.801942,1.0,0.770985,0.900631,0,2.4433,5-D,32,32,10380.866,11416.055,2.8031,1.0
1,7200,dci_gated,13,MixShift2,1,0.650594,1.0,0.42076,0.821429,0.608988,0.702434,1,2.3496,5-D,32,32,11207.784,12109.482,2.6426,1.0
1,7200,dci_gated,14,MixShift2,0,0.843454,1.0,0.72626,0.981481,0.695169,0.856687,0,2.3855,5-D,32,32,18382.373,19419.59,1.6478,1.0
1,7200,dci_gated,15,MixShift2,0,0.878564,1.0,0.655338,1.0,0.778327,0.867458,0,2.388,5-D,32,32,8459.195,9209.153,3.4748,1.0
1,7200,dci_gated,16,MixShift2,0,0.886119,1.0,0.686988,1.0,0.740297,0.869972,0,2.383,5-D,32,32,15859.994,16792.556,1.9056,1.0
1,7200,dci_gated,17,MixCalm,1,0.890157,0.625,0.746237,1.0,0.760385,0.810844,1,2.6146,5-D,20,20,11357.265,11962.149,1.6719,1.0
1,7200,dci_gated,18,MixCalm,0,0.910463,1.0,0.68631,1.0,0.835513,0.890205,0,2.6293,5-D,20,20,12549.2,13262.732,1.508,1.0
1,7200,dci_gated,19,MixCalm,0,0.870761,1.0,0.613725,1.0,0.756667,0.853935,0,2.6431,5-D,20,20,9753.228,10130.522,1.9742,1.0
1,7200,dci_gated,20,MixCalm,0,0.83051,1.0,0.570218,1.0,0.825385,0.845479,0,2.7096,5-D,20,20,12862.999,13288.755,1.505,1.0
1,7200,dci_gated,21,MixShift3,1,0.661938,1.0,0.332246,0.854497,0.803846,0.72341,1,2.6451,5-D,20,20,13990.761,14451.274,1.384,1.0
1,7200,dci_gated,22,MixShift3,0,0.876381,1.0,0.676975,0.942308,0.745256,0.85474,0,2.6463,5-D,20,20,18188.506,18789.932,1.0644,1.0
1,7200,dci_gated,23,MixShift3,0,0.83008,1.0,0.411223,1.0,0.768462,0.805034,0,2.7166,5-D,20,20,4804.669,5567.912,3.592,1.0
1,7200,dci_gated,24,MixShift3,0,0.831258,1.0,0.478492,1.0,0.788846,0.82184,0,2.7484,5-D,20,20,14975.69,15675.76,1.2759,1.0
2,7300,dci_gated,1,MixBase,0,0.882346,1.0,0.57494,1.0,0.728846,0.844901,0,,5-D,20,20,5903.482,6457.727,3.0971,1.0
2,7300,dci_gated,2,MixBase,0,0.930096,1.0,0.840968,1.0,0.680385,0.902775,0,,5-D,20,20,5446.698,5788.898,3.4549,1.0
2,7300,dci_gated,3,MixBase,0,0.835234,1.0,0.50377,1.0,0.694103,0.813678,0,1.4163,5-D,20,20,4590.909,5086.396,3.9321,1.0
2,7300,dci_gated,4,MixBase,0,0.84535,1.0,0.541197,1.0,0.787308,0.837673,0,1.4074,5-D,20,20,3751.734,4345.908,4.602,1.0
2,7300,dci_gated,5,MixShift1,1,0.548841,1.0,0.259148,0.440092,0.792179,0.595885,1,1.2323,5-D,20,20,3621.229,4200.987,4.7608,1.0
2,7300,dci_gated,6,MixShift1,0,0.767036,1.0,0.377579,0.729167,0.815769,0.735474,1,1.2083,5-D,20,20,6752.648,7291.584,2.7429,1.0
2,7300,dci_gated,7,MixShift1,0,0.731145,1.0,0.435188,0.729167,0.657179,0.714234,1,1.2126,5-D,20,20,4662.952,5193.264,3.8511,1.0
2,7300,dci_gated,8,MixShift1,0,0.876035,1.0,0.680038,1.0,0.87859,0.886805,0,1.2599,5-D,20,20,3804.664,4320.225,4.6294,1.0
2,7300,dci_gated,9,MixSurge1,1,0.89838,0.625,0.601706,1.0,0.832436,0.794802,1,1.6541,5-D,32,32,8777.604,9843.339,3.2509,1.0
2,7300,dci_gated,10,MixSurge1,0,0.930096,1.0,0.846388,1.0,0.765857,0.91668,0,1.66,5-D,32,32,8939.587,9772.692,3.2744,1.0
2,7300,dci_gated,11,MixSurge1,0,0.864139,1.0,0.699871,1.0,0.840729,0.882118,0,1.6858,5-D,32,32,7032.569,8051.62,3.9744,1.0
2,7300,dci_gated,12,MixSurge1,0,0.864139,1.0,0.705195,1.0,0.750202,0.869604,0,1.686,5-D,32,32,8666.67,9553.291,3.3496,1.0
2,7300,dci_gated,13,MixShift2,1,0.602539,1.0,0.393194,0.807882,0.691309,0.694546,1,1.6422,5-D,32,32,12679.729,13672.158,2.3405,1.0
2,7300,dci_gated,14,MixShift2,0,0.963547,1.0,0.836225,1.0,0.814332,0.930282,0,1.6458,5-D,32,32,12100.299,12885.387,2.4834,1.0
2,7300,dci_gated,15,MixShift2,0,0.913002,1.0,0.702786,1.0,0.723536,0.877338,0,1.6438,5-D,32,32,10972.124,11556.765,2.7689,1.0
2,7300,dci_gated,16,MixShift2,0,0.923898,1.0,0.706301,1.0,0.827314,0.896332,0,1.6545,5-D,32,32,12114.718,12988.206,2.4638,1.0
2,7300,dci_gated,17,MixCalm,1,0.845892,0.625,0.728762,0.981481,0.835769,0.803887,1,1.9252,5-D,20,20,5856.017,6605.563,3.0278,1.0
2,7300,dci_gated,18,MixCalm,0,0.810427,1.0,0.682317,0.981481,0.728846,0.844693,0,1.9371,5-D,20,20,10312.397,10832.119,1.8464,1.0
2,7300,dci_gated,19,MixCalm,0,0.854059,1.0,0.58446,1.0,0.732308,0.840253,0,1.952,5-D,20,20,10369.886,11059.691,1.8084,1.0
2,7300,dci_gated,20,MixCalm,0,0.89028,1.0,0.683016,1.0,0.779231,0.876058,0,1.9528,5-D,20,20,7363.45,7990.45,2.503,1.0
2,7300,dci_gated,21,MixShift3,1,0.561272,1.0,0.256409,0.811905,0.775897,0.670365,1,1.8292,5-D,20,20,6062.973,6626.189,3.0183,1.0
2,7300,dci_gated,22,MixShift3,0,0.849829,1.0,0.689487,0.839744,0.744103,0.829919,0,1.8493,5-D,20,20,6065.61,6749.287,2.9633,1.0
2,7300,dci_gated,23,MixShift3,0,0.940591,1.0,0.753316,1.0,0.793462,0.90483,0,1.8445,5-D,20,20,9428.6,9970.289,2.006,1.0
2,7300,dci_gated,24,MixShift3,0,0.731603,1.0,0.499399,0.839744,0.750385,0.763287,0,1.8114,5-D,20,20,8761.66,9417.578,2.1237,1.0
3,7400,dci_gated,1,MixBase,0,0.859176,1.0,0.639001,1.0,0.628718,0.836902,0,,5-D,20,20,4443.774,4941.849,4.0471,1.0
3,7400,dci_gated,2,MixBase,0,0.897713,1.0,0.662409,1.0,0.819487,0.879833,0,,5-D,20,20,4441.509,4936.965,4.0511,1.0
