block,block_seed,strategy,wall_qps,wall_time_s,queries_total,queries_ok,advisor_calls,T_A_total_ms,mean_hsm,hsm_below_theta,n_drift_points,precision,recall,hsm_series,phase_series,p_advisor,theta,k_periodic,workload_fp,note,sf
1,7200,dci_gated,2.5466,226.182,576,576,3,520.51,0.8382,3,5,,,"0.8875,0.8417,0.8345,0.8990,0.6626,0.8965,0.8362,0.8962,0.8311,0.8538,0.8567,0.9022,0.7133,0.8648,0.8715,0.8695,0.8054,0.8912,0.8584,0.8365,0.7147,0.8560,0.8036,0.8331",Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix,0.125,0.75,3,d3baceb07787d20a,window_0=shared_init; metrics from window_1 onward,1.0
2,7300,dci_gated,2.709,212.621,576,576,5,755.69,0.8213,5,5,,,"0.8472,0.9013,0.8104,0.8411,0.6045,0.7367,0.7165,0.8768,0.7961,0.9237,0.8771,0.8637,0.7013,0.9209,0.8745,0.8994,0.8069,0.8461,0.8380,0.8711,0.6686,0.8278,0.9013,0.7610",Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix,0.2083,0.75,3,1b03c34ed1bd6bca,window_0=shared_init; metrics from window_1 onward,1.0
3,7400,dci_gated,2.7045,212.98,576,576,3,460.56,0.8379,3,5,,,"0.8369,0.8758,0.8926,0.8274,0.5799,0.7873,0.8605,0.8895,0.8460,0.9166,0.8808,0.8472,0.6795,0.8683,0.8628,0.8900,0.8314,0.8849,0.8595,0.8666,0.7068,0.9212,0.8264,0.8717",Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix,0.125,0.75,3,89fddce1cec6b09f,window_0=shared_init; metrics from window_1 onward,1.0
4,7500,dci_gated,2.6096,220.722,576,576,3,525.85,0.8419,3,5,,,"0.8473,0.8455,0.9053,0.8979,0.6781,0.8920,0.8562,0.8211,0.7818,0.8899,0.8478,0.9324,0.6854,0.8696,0.8830,0.9092,0.7587,0.8949,0.8500,0.8874,0.7188,0.8779,0.8477,0.8276",Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix,0.125,0.75,3,c84850e76a6310dd,window_0=shared_init; metrics from window_1 onward,1.0
5,7600,dci_gated,2.5038,230.053,576,576,5,753.14,0.8418,4,5,,,"0.8764,0.7968,0.8219,0.8683,0.6533,0.9256,0.8678,0.8912,0.8208,0.9277,0.8988,0.8843,0.7096,0.8912,0.9328,0.9142,0.7754,0.9279,0.7432,0.8153,0.7278,0.8719,0.8349,0.8252",Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix,0.2083,0.75,3,3cd5c071fedd8433,window_0=shared_init; metrics from window_1 onward,1.0
6,7700,dci_gated,2.5151,229.016,576,576,5,772.11,0.8397,3,5,,,"0.8749,0.9040,0.8900,0.7892,0.6127,0.8329,0.8168,0.8738,0.8600,0.9443,0.8581,0.9141,0.7035,0.8875,0.9199,0.8587,0.7591,0.8547,0.8375,0.8555,0.6710,0.8577,0.8568,0.9203",Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix,0.2083,0.75,3,47ed4ae9cf87fd16,window_0=shared_init; metrics from window_1 onward,1.0
7,7800,dci_gated,2.824,203.963,576,576,4,619.59,0.8396,3,5,,,"0.8114,0.8367,0.9170,0.8485,0.6306,0.8593,0.8561,0.8299,0.7879,0.8828,0.8700,0.8904,0.6938,0.8244,0.8750,0.9260,0.8012,0.8856,0.8987,0.8852,0.6693,0.8719,0.8940,0.9038",Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix,0.1667,0.75,3,8eacdb202e7f23ba,window_0=shared_init; metrics from window_1 onward,1.0
8,7900,dci_gated,2.7756,207.519,576,576,3,429.87,0.8329,3,5,,,"0.8086,0.8347,0.9218,0.9070,0.6912,0.8377,0.8740,0.8932,0.8196,0.9022,0.8356,0.8427,0.6416,0.9169,0.8858,0.8486,0.7967,0.8222,0.8814,0.8183,0.6634,0.8419,0.8628,0.8411",Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix,0.125,0.75,3,8d884d131133fa7e,window_0=shared_init; metrics from window_1 onward,1.0
9,8000,dci_gated,2.754,209.152,576,576,3,463.02,0.8557,3,5,,,"0.8921,0.9012,0.8689,0.8969,0.6661,0.9006,0.8155,0.9061,0.8151,0.9061,0.9062,0.8830,0.6539,0.8912,0.8708,0.8814,0.7863,0.9389,0.9045,0.9052,0.7020,0.8833,0.8404,0.9202",Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix,0.125,0.75,3,a61c4ad45f256040,window_0=shared_init; metrics from window_1 onward,1.0
10,8100,dci_gated,2.7771,207.413,576,576,3,405.58,0.839,2,5,,,"0.8062,0.8722,0.8785,0.8581,0.6369,0.8579,0.8641,0.9022,0.7869,0.8644,0.9218,0.9256,0.6701,0.8125,0.9081,0.8950,0.8262,0.8006,0.9110,0.8440,0.7545,0.8731,0.8174,0.8486",Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix,0.125,0.75,3,cf8775349174723e,window_0=shared_init; metrics from window_1 onward,1.0
