block,block_seed,strategy,window,phase,drift_truth,S_R,S_V,S_T,S_A,S_P,HSM,invoked,gate_dci,gate_regime,n_queries,n_ok,exec_ms_window_sum,wall_ms_window,qps_window,sf
1,7200,dci_gated,1,MixBase,0,0.882086,1.0,0.724001,1.0,0.814359,0.887475,0,,5-D,20,20,5024.093,5830.28,3.4304,1.0
1,7200,dci_gated,2,MixBase,0,0.8176,1.0,0.556544,1.0,0.840256,0.841747,0,,5-D,20,20,3208.162,3696.334,5.4108,1.0
1,7200,dci_gated,3,MixBase,0,0.834022,1.0,0.514298,1.0,0.820641,0.834461,0,1.437,1-D,20,20,5622.379,6280.965,3.1842,1.0
1,7200,dci_gated,4,MixBase,0,0.924065,1.0,0.763089,1.0,0.769103,0.898999,0,1.6611,1-D,20,20,4543.218,5099.019,3.9223,1.0
1,7200,dci_gated,5,MixShift1,1,0.650837,1.0,0.524104,0.440092,0.713846,0.662625,1,1.3983,1-D,20,20,6065.25,6714.773,2.9785,1.0
1,7200,dci_gated,6,MixShift1,0,0.926897,1.0,0.729697,1.0,0.792436,0.896529,0,1.4226,1-D,20,20,4682.547,5126.224,3.9015,1.0
1,7200,dci_gated,7,MixShift1,0,0.8176,1.0,0.579496,1.0,0.772436,0.836165,0,1.4851,1-D,20,20,4567.025,5188.649,3.8546,1.0
1,7200,dci_gated,8,MixShift1,0,0.913002,1.0,0.759256,1.0,0.773846,0.896179,0,1.5132,1-D,20,20,4745.901,5198.666,3.8471,1.0
1,7200,dci_gated,9,MixSurge1,1,0.930096,0.625,0.793659,1.0,0.765385,0.831063,1,2.2139,1-D,32,32,7361.251,7967.785,4.0162,1.0
1,7200,dci_gated,10,MixSurge1,0,0.857874,1.0,0.599382,1.0,0.796518,0.853823,0,2.2529,1-D,32,32,8392.595,9132.825,3.5038,1.0
1,7200,dci_gated,11,MixSurge1,0,0.887907,1.0,0.621012,1.0,0.736518,0.856657,0,2.2664,1-D,32,32,7974.288,8886.363,3.601,1.0
1,7200,dci_gated,12,MixSurge1,0,0.89838,1.0,0.801942,1.0,0.781242,0.902169,0,2.3122,1-D,32,32,8464.708,9589.026,3.3371,1.0
1,7200,dci_gated,13,MixShift2,1,0.650594,1.0,0.42076,0.821429,0.681134,0.713256,0,2.232,1-D,32,32,9934.816,10908.244,2.9336,1.0
1,7200,dci_gated,14,MixShift2,0,0.843454,1.0,0.72626,0.981481,0.749285,0.864805,0,2.2504,1-D,32,32,14854.774,15940.034,2.0075,1.0
1,7200,dci_gated,15,MixShift2,0,0.878564,1.0,0.655338,1.0,0.805344,0.87151,0,2.2642,1-D,32,32,9268.633,10040.731,3.187,1.0
1,7200,dci_gated,16,MixShift2,0,0.886119,1.0,0.686988,1.0,0.73722,0.86951,0,2.2599,1-D,32,32,14759.423,15765.482,2.0298,1.0
1,7200,dci_gated,17,MixCalm,1,0.890157,0.625,0.746237,1.0,0.723846,0.805364,1,2.5043,1-D,20,20,9930.623,10598.492,1.8871,1.0
1,7200,dci_gated,18,MixCalm,0,0.910463,1.0,0.68631,1.0,0.842308,0.891224,0,2.5321,1-D,20,20,11902.568,12661.022,1.5797,1.0
1,7200,dci_gated,19,MixCalm,0,0.870761,1.0,0.613725,1.0,0.786667,0.858435,0,2.5511,1-D,20,20,8962.196,9371.528,2.1341,1.0
1,7200,dci_gated,20,MixCalm,0,0.83051,1.0,0.570218,1.0,0.765385,0.836479,0,2.5865,1-D,20,20,12440.868,12890.057,1.5516,1.0
