block,block_seed,strategy,wall_qps,wall_time_s,queries_total,queries_ok,advisor_calls,T_A_total_ms,mean_hsm,hsm_below_theta,n_drift_points,precision,recall,hsm_series,phase_series,p_advisor,theta,k_periodic,workload_fp,note,sf
1,7200,dci_gated,2.54,226.774,576,576,5,823.53,0.8379,3,5,,,"0.8865,0.8410,0.8322,0.8982,0.6616,0.8965,0.8362,0.8962,0.8311,0.8538,0.8567,0.9014,0.7133,0.8648,0.8720,0.8685,0.8054,0.8912,0.8584,0.8365,0.7147,0.8560,0.8036,0.8331",Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix,0.2083,0.75,3,d3baceb07787d20a,window_0=shared_init; metrics from window_1 onward,1.0
2,7300,dci_gated,2.7011,213.247,576,576,7,1071.65,0.8209,5,5,,,"0.8440,0.9026,0.8104,0.8419,0.6024,0.7365,0.7165,0.8778,0.7926,0.9197,0.8751,0.8637,0.7013,0.9242,0.8713,0.8994,0.8072,0.8471,0.8388,0.8703,0.6686,0.8278,0.9013,0.7610",Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix,0.2917,0.75,3,1b03c34ed1bd6bca,window_0=shared_init; metrics from window_1 onward,1.0
3,7400,dci_gated,2.6917,213.993,576,576,6,927.72,0.8381,3,5,,,"0.8369,0.8770,0.8938,0.8281,0.5821,0.7848,0.8615,0.8900,0.8460,0.9166,0.8808,0.8472,0.6815,0.8703,0.8628,0.8900,0.8314,0.8849,0.8613,0.8635,0.7056,0.9199,0.8259,0.8725",Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix,0.25,0.75,3,89fddce1cec6b09f,window_0=shared_init; metrics from window_1 onward,1.0
4,7500,dci_gated,2.5953,221.943,576,576,5,946.75,0.8426,3,5,,,"0.8490,0.8455,0.9078,0.8954,0.6768,0.8933,0.8587,0.8204,0.7818,0.8891,0.8504,0.9360,0.6844,0.8756,0.8835,0.9097,0.7587,0.8949,0.8513,0.8894,0.7180,0.8766,0.8498,0.8268",Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix,0.2083,0.75,3,c84850e76a6310dd,window_0=shared_init; metrics from window_1 onward,1.0
5,7600,dci_gated,2.487,231.605,576,576,5,897.54,0.8421,4,5,,,"0.8809,0.7993,0.8209,0.8683,0.6538,0.9256,0.8653,0.8917,0.8215,0.9293,0.8988,0.8841,0.7109,0.8898,0.9333,0.9162,0.7754,0.9279,0.7419,0.8165,0.7270,0.8712,0.8349,0.8252",Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix,0.2083,0.75,3,3cd5c071fedd8433,window_0=shared_init; metrics from window_1 onward,1.0
6,7700,dci_gated,2.4906,231.266,576,576,7,1114.51,0.839,3,5,,,"0.8701,0.9052,0.8883,0.7810,0.6127,0.8329,0.8168,0.8738,0.8588,0.9481,0.8566,0.9119,0.7019,0.8875,0.9194,0.8587,0.7583,0.8532,0.8375,0.8563,0.6700,0.8587,0.8568,0.9216",Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix,0.2917,0.75,3,47ed4ae9cf87fd16,window_0=shared_init; metrics from window_1 onward,1.0
7,7800,dci_gated,2.8003,205.695,576,576,5,774.93,0.8395,3,5,,,"0.8126,0.8309,0.9170,0.8513,0.6253,0.8571,0.8586,0.8342,0.7876,0.8803,0.8680,0.8899,0.6983,0.8239,0.8750,0.9271,0.8022,0.8856,0.8962,0.8827,0.6693,0.8719,0.8988,0.9053",Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix,0.2083,0.75,3,8eacdb202e7f23ba,window_0=shared_init; metrics from window_1 onward,1.0
8,7900,dci_gated,2.613,220.436,576,576,5,883.09,0.8323,3,5,,,"0.8106,0.8339,0.9205,0.9035,0.6930,0.8347,0.8777,0.8925,0.8136,0.9014,0.8341,0.8324,0.6396,0.9204,0.8899,0.8510,0.8010,0.8237,0.8761,0.8107,0.6641,0.8434,0.8659,0.8416",Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix,0.2083,0.75,3,8d884d131133fa7e,window_0=shared_init; metrics from window_1 onward,1.0
9,8000,dci_gated,2.5786,223.374,576,576,6,1010.01,0.8544,3,5,,,"0.8891,0.9020,0.8629,0.8944,0.6647,0.9011,0.8270,0.9102,0.8129,0.9067,0.9015,0.8803,0.6521,0.8906,0.8688,0.8739,0.7856,0.9316,0.9073,0.8970,0.7010,0.8801,0.8479,0.9177",Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix,0.25,0.75,3,a61c4ad45f256040,window_0=shared_init; metrics from window_1 onward,1.0
10,8100,dci_gated,2.527,227.94,576,576,5,931.49,0.8405,2,5,,,"0.8012,0.8675,0.8778,0.8626,0.6377,0.8526,0.8624,0.8992,0.7880,0.8799,0.9298,0.9274,0.6738,0.8069,0.9025,0.8920,0.8445,0.8096,0.9103,0.8510,0.7562,0.8709,0.8179,0.8496",Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix|Mix,0.2083,0.75,3,cf8775349174723e,window_0=shared_init; metrics from window_1 onward,1.0
