block,block_seed,strategy,window,phase,drift_truth,S_R,S_V,S_T,S_A,S_P,HSM,invoked,gate_dci,gate_regime,n_queries,n_ok,exec_ms_window_sum,wall_ms_window,qps_window,sf
1,7200,dci_gated,1,MixBase,0,0.882086,1.0,0.724001,1.0,0.807692,0.886475,0,,5-D,20,20,4997.658,5826.038,3.4329,1.0
1,7200,dci_gated,2,MixBase,0,0.8176,1.0,0.556544,1.0,0.835128,0.840978,0,,5-D,20,20,3191.867,3704.676,5.3986,1.0
1,7200,dci_gated,3,MixBase,0,0.834022,1.0,0.514298,1.0,0.805769,0.83223,0,1.4334,1-D,20,20,5683.581,6341.951,3.1536,1.0
1,7200,dci_gated,4,MixBase,0,0.924065,1.0,0.763089,1.0,0.763974,0.89823,0,1.62,5-D,20,20,4554.415,5094.682,3.9257,1.0
1,7200,dci_gated,5,MixShift1,1,0.650837,1.0,0.524104,0.440092,0.707179,0.661625,1,1.3731,1-D,20,20,6059.503,6716.62,2.9777,1.0
1,7200,dci_gated,6,MixShift1,0,0.926897,1.0,0.729697,1.0,0.792436,0.896529,0,1.3968,1-D,20,20,4680.174,5131.737,3.8973,1.0
1,7200,dci_gated,7,MixShift1,0,0.8176,1.0,0.579496,1.0,0.772436,0.836165,0,1.459,1-D,20,20,4592.917,5221.704,3.8302,1.0
1,7200,dci_gated,8,MixShift1,0,0.913002,1.0,0.759256,1.0,0.773846,0.896179,0,1.487,1-D,20,20,4749.214,5209.729,3.839,1.0
1,7200,dci_gated,9,MixSurge1,1,0.930096,0.625,0.793659,1.0,0.765385,0.831063,1,2.1851,5-D,32,32,7341.555,7973.503,4.0133,1.0
1,7200,dci_gated,10,MixSurge1,0,0.857874,1.0,0.599382,1.0,0.796518,0.853823,0,2.2242,5-D,32,32,8385.853,9137.11,3.5022,1.0
1,7200,dci_gated,11,MixSurge1,0,0.887907,1.0,0.621012,1.0,0.736518,0.856657,0,2.2379,5-D,32,32,7970.65,8892.69,3.5985,1.0
1,7200,dci_gated,12,MixSurge1,0,0.89838,1.0,0.801942,1.0,0.776113,0.9014,0,2.2817,5-D,32,32,8433.404,9535.192,3.356,1.0
