block,block_seed,strategy,wall_qps,wall_time_s,queries_total,queries_ok,advisor_calls,T_A_total_ms,mean_hsm,hsm_below_theta,n_drift_points,precision,recall,hsm_series,phase_series,p_advisor,theta,k_periodic,workload_fp,note,sf
1,7200,dci_gated,3.2668,146.933,480,480,5,742.01,0.8347,3,3,,,"0.8752,0.8717,0.9116,0.9120,0.9057,0.8810,0.4380,0.8856,0.8634,0.8522,0.8931,0.9248,0.4796,0.8779,0.8105,0.9079,0.8915,0.9458,0.4837,0.8874,0.8809,0.8489,0.9321,0.8720",Rep|Rep|Rep|Rep|Rep|Rep|Joi|Joi|Joi|Joi|Joi|Joi|Agg|Agg|Agg|Agg|Agg|Agg|Mul|Mul|Mul|Mul|Mul|Mul,0.2083,0.75,3,affc6afc8df16068,window_0=shared_init; metrics from window_1 onward,1.0
2,7300,dci_gated,2.9706,161.583,480,480,4,592.15,0.836,3,3,,,"0.9088,0.9559,0.9522,0.8622,0.8549,0.9012,0.4198,0.9083,0.8227,0.8677,0.8920,0.9070,0.4884,0.8703,0.9243,0.8478,0.8991,0.9392,0.4906,0.9130,0.8506,0.9030,0.8695,0.8146",Rep|Rep|Rep|Rep|Rep|Rep|Joi|Joi|Joi|Joi|Joi|Joi|Agg|Agg|Agg|Agg|Agg|Agg|Mul|Mul|Mul|Mul|Mul|Mul,0.1667,0.75,3,b944944cdb1416da,window_0=shared_init; metrics from window_1 onward,1.0
3,7400,dci_gated,2.9629,162.005,480,480,5,833.02,0.835,3,3,,,"0.8802,0.9130,0.9381,0.8711,0.8260,0.8456,0.4384,0.9174,0.9317,0.9139,0.9041,0.9568,0.5001,0.8843,0.9047,0.8712,0.9101,0.8816,0.4904,0.8577,0.8364,0.8663,0.8887,0.8128",Rep|Rep|Rep|Rep|Rep|Rep|Joi|Joi|Joi|Joi|Joi|Joi|Agg|Agg|Agg|Agg|Agg|Agg|Mul|Mul|Mul|Mul|Mul|Mul,0.2083,0.75,3,b011cdf71e14fa27,window_0=shared_init; metrics from window_1 onward,1.0
4,7500,dci_gated,3.2519,147.607,480,480,6,870.64,0.8214,4,3,,,"0.9098,0.8746,0.9255,0.9095,0.8611,0.8926,0.4462,0.8420,0.9077,0.8914,0.8504,0.8198,0.4925,0.7148,0.7659,0.9143,0.8931,0.8845,0.4891,0.8833,0.9025,0.8748,0.8948,0.8736",Rep|Rep|Rep|Rep|Rep|Rep|Joi|Joi|Joi|Joi|Joi|Joi|Agg|Agg|Agg|Agg|Agg|Agg|Mul|Mul|Mul|Mul|Mul|Mul,0.25,0.75,3,840fa3f5cef1fb1f,window_0=shared_init; metrics from window_1 onward,1.0
5,7600,dci_gated,3.1297,153.368,480,480,4,598.91,0.839,3,3,,,"0.9264,0.8878,0.8873,0.9024,0.9423,0.9479,0.4279,0.9259,0.8911,0.8750,0.8621,0.8512,0.4912,0.8333,0.8846,0.8944,0.8789,0.9349,0.4945,0.9685,0.8619,0.8732,0.8644,0.8280",Rep|Rep|Rep|Rep|Rep|Rep|Joi|Joi|Joi|Joi|Joi|Joi|Agg|Agg|Agg|Agg|Agg|Agg|Mul|Mul|Mul|Mul|Mul|Mul,0.1667,0.75,3,5396269c1bcd070c,window_0=shared_init; metrics from window_1 onward,1.0
6,7700,dci_gated,2.9673,161.761,480,480,3,496.34,0.8339,3,3,,,"0.9533,0.8801,0.8999,0.8742,0.8888,0.8536,0.4367,0.8664,0.9466,0.8915,0.8814,0.8657,0.4856,0.8402,0.8481,0.8911,0.9286,0.9218,0.4879,0.8701,0.8676,0.8885,0.8598,0.8853",Rep|Rep|Rep|Rep|Rep|Rep|Joi|Joi|Joi|Joi|Joi|Joi|Agg|Agg|Agg|Agg|Agg|Agg|Mul|Mul|Mul|Mul|Mul|Mul,0.125,0.75,3,bb77d019b31e9e44,window_0=shared_init; metrics from window_1 onward,1.0
7,7800,dci_gated,3.2181,149.156,480,480,3,474.81,0.8295,3,3,,,"0.9032,0.9333,0.8636,0.8511,0.8792,0.8804,0.4397,0.8688,0.8750,0.9239,0.9079,0.9076,0.4859,0.8413,0.8479,0.8393,0.8197,0.9460,0.4883,0.8850,0.9037,0.8256,0.8741,0.9169",Rep|Rep|Rep|Rep|Rep|Rep|Joi|Joi|Joi|Joi|Joi|Joi|Agg|Agg|Agg|Agg|Agg|Agg|Mul|Mul|Mul|Mul|Mul|Mul,0.125,0.75,3,df9346532c74ed78,window_0=shared_init; metrics from window_1 onward,1.0
8,7900,dci_gated,3.0885,155.413,480,480,5,751.59,0.8208,3,3,,,"0.8509,0.8615,0.8791,0.9346,0.9095,0.9345,0.4517,0.8250,0.8321,0.8174,0.8404,0.8339,0.4949,0.8453,0.8484,0.9063,0.9215,0.8118,0.4862,0.8996,0.9085,0.8716,0.8484,0.8860",Rep|Rep|Rep|Rep|Rep|Rep|Joi|Joi|Joi|Joi|Joi|Joi|Agg|Agg|Agg|Agg|Agg|Agg|Mul|Mul|Mul|Mul|Mul|Mul,0.2083,0.75,3,160f12fd7f33c5b0,window_0=shared_init; metrics from window_1 onward,1.0
9,8000,dci_gated,3.1825,150.824,480,480,7,1014.82,0.8387,3,3,,,"0.9158,0.8964,0.8885,0.9545,0.8705,0.9311,0.4280,0.9045,0.8339,0.8878,0.9109,0.8678,0.4740,0.8828,0.8776,0.8171,0.8546,0.9447,0.4818,0.8557,0.8807,0.9061,0.9457,0.9191",Rep|Rep|Rep|Rep|Rep|Rep|Joi|Joi|Joi|Joi|Joi|Joi|Agg|Agg|Agg|Agg|Agg|Agg|Mul|Mul|Mul|Mul|Mul|Mul,0.2917,0.75,3,25cc681ca639a104,window_0=shared_init; metrics from window_1 onward,1.0
10,8100,dci_gated,2.9807,161.034,480,480,5,748.64,0.8335,4,3,,,"0.8472,0.9154,0.9108,0.9007,0.9485,0.8602,0.4352,0.9255,0.8457,0.8781,0.9296,0.8733,0.4739,0.9277,0.9276,0.9525,0.8541,0.7220,0.4573,0.8514,0.9287,0.9413,0.8302,0.8668",Rep|Rep|Rep|Rep|Rep|Rep|Joi|Joi|Joi|Joi|Joi|Joi|Agg|Agg|Agg|Agg|Agg|Agg|Mul|Mul|Mul|Mul|Mul|Mul,0.2083,0.75,3,0dfbab947f32ef88,window_0=shared_init; metrics from window_1 onward,1.0
