block,block_seed,strategy,window,phase,drift_truth,S_R,S_V,S_T,S_A,S_P,HSM,invoked,n_queries,n_ok,exec_ms_window_sum,wall_ms_window,qps_window,sf
1,7200,dci_gated,1,Reporting,0,0.934427,1.0,0.699634,1.0,0.677692,0.875187,0,20,20,2962.952,3587.816,5.5744,1.0
1,7200,dci_gated,2,Reporting,0,0.900776,1.0,0.694876,1.0,0.717179,0.871746,0,20,20,3182.446,3564.488,5.6109,1.0
1,7200,dci_gated,3,Reporting,0,0.975269,1.0,0.868282,1.0,0.627436,0.911589,1,20,20,3294.338,3793.642,5.272,1.0
1,7200,dci_gated,4,Reporting,0,1.0,1.0,0.869461,1.0,0.587308,0.911988,1,20,20,3624.519,4051.667,4.9362,1.0
1,7200,dci_gated,5,Reporting,0,0.957047,1.0,0.803161,1.0,0.705513,0.905721,0,20,20,3870.476,4370.841,4.5758,1.0
1,7200,dci_gated,6,Reporting,0,0.910499,1.0,0.654714,1.0,0.816154,0.880991,0,20,20,2749.792,3095.774,6.4604,1.0
1,7200,dci_gated,7,JoinHeavy,1,0.371033,1.0,0.0,0.145503,0.774103,0.437974,1,20,20,4733.474,5500.722,3.6359,1.0
1,7200,dci_gated,8,JoinHeavy,0,0.918934,1.0,0.707382,1.0,0.762564,0.885595,0,20,20,4880.869,5411.385,3.6959,1.0
1,7200,dci_gated,9,JoinHeavy,0,0.862537,1.0,0.598498,1.0,0.853974,0.86343,0,20,20,5008.854,5500.13,3.6363,1.0
1,7200,dci_gated,10,JoinHeavy,0,0.887295,1.0,0.64296,1.0,0.678462,0.852185,0,20,20,5348.983,5921.768,3.3774,1.0
1,7200,dci_gated,11,JoinHeavy,0,0.922224,1.0,0.701231,1.0,0.815513,0.893129,0,20,20,4846.269,5441.878,3.6752,1.0
1,7200,dci_gated,12,JoinHeavy,0,0.940591,1.0,0.850404,1.0,0.797179,0.924805,0,20,20,4294.738,4922.95,4.0626,1.0
1,7200,dci_gated,13,Aggregation,1,0.34107,1.0,0.0,0.457589,0.685641,0.479632,1,20,20,2227.07,2936.556,6.8107,1.0
1,7200,dci_gated,14,Aggregation,0,0.906986,1.0,0.658893,1.0,0.795513,0.877852,0,20,20,2713.069,3364.902,5.9437,1.0
1,7200,dci_gated,15,Aggregation,0,0.882674,1.0,0.473999,1.0,0.63359,0.810507,0,20,20,1812.357,2378.732,8.4078,1.0
1,7200,dci_gated,16,Aggregation,0,0.949813,1.0,0.781844,1.0,0.760641,0.907918,0,20,20,1915.174,2590.417,7.7208,1.0
1,7200,dci_gated,17,Aggregation,0,0.92887,1.0,0.805405,1.0,0.654872,0.891529,0,20,20,2346.975,2959.074,6.7589,1.0
1,7200,dci_gated,18,Aggregation,0,0.977529,1.0,0.912276,1.0,0.793077,0.945799,0,20,20,2677.719,3342.38,5.9838,1.0
1,7200,dci_gated,19,MultiJoin,1,0.341931,1.0,0.0,0.411765,0.772308,0.483682,1,20,20,9517.471,10399.822,1.9231,1.0
1,7200,dci_gated,20,MultiJoin,0,0.918934,1.0,0.778086,1.0,0.680513,0.887428,0,20,20,10227.562,10984.975,1.8207,1.0
1,7200,dci_gated,21,MultiJoin,0,0.907219,1.0,0.680153,1.0,0.787179,0.880912,0,20,20,11486.859,12516.106,1.5979,1.0
