block,block_seed,strategy,wall_qps,wall_time_s,queries_total,queries_ok,advisor_calls,T_A_total_ms,mean_hsm,hsm_below_theta,n_drift_points,precision,recall,hsm_series,phase_series,p_advisor,theta,k_periodic,workload_fp,note,sf
1,7200,dci_gated,3.0911,155.286,480,480,4,767.48,0.8343,3,3,,,"0.8757,0.8695,0.9148,0.9140,0.9022,0.8757,0.4440,0.8883,0.8579,0.8559,0.8876,0.9171,0.4806,0.8729,0.8107,0.9111,0.8908,0.9428,0.4857,0.8912,0.8812,0.8479,0.9323,0.8729",Rep|Rep|Rep|Rep|Rep|Rep|Joi|Joi|Joi|Joi|Joi|Joi|Agg|Agg|Agg|Agg|Agg|Agg|Mul|Mul|Mul|Mul|Mul|Mul,0.1667,0.75,3,affc6afc8df16068,window_0=shared_init; metrics from window_1 onward,1.0
2,7300,dci_gated,2.7668,173.487,480,480,4,607.32,0.8351,3,3,,,"0.8946,0.9491,0.9619,0.8674,0.8541,0.8955,0.4202,0.9061,0.8238,0.8677,0.8915,0.9070,0.4889,0.8713,0.9271,0.8498,0.8989,0.9335,0.4954,0.9153,0.8566,0.8982,0.8577,0.8104",Rep|Rep|Rep|Rep|Rep|Rep|Joi|Joi|Joi|Joi|Joi|Joi|Agg|Agg|Agg|Agg|Agg|Agg|Mul|Mul|Mul|Mul|Mul|Mul,0.1667,0.75,3,b944944cdb1416da,window_0=shared_init; metrics from window_1 onward,1.0
3,7400,dci_gated,3.0185,159.022,480,480,4,680.49,0.8333,3,3,,,"0.8722,0.9142,0.9414,0.8702,0.8276,0.8435,0.4454,0.9123,0.9302,0.9114,0.8958,0.9553,0.5003,0.8688,0.8833,0.8700,0.9124,0.8804,0.4871,0.8594,0.8430,0.8723,0.8910,0.8129",Rep|Rep|Rep|Rep|Rep|Rep|Joi|Joi|Joi|Joi|Joi|Joi|Agg|Agg|Agg|Agg|Agg|Agg|Mul|Mul|Mul|Mul|Mul|Mul,0.1667,0.75,3,b011cdf71e14fa27,window_0=shared_init; metrics from window_1 onward,1.0
4,7500,dci_gated,3.006,159.678,480,480,6,886.97,0.8194,4,3,,,"0.9184,0.8643,0.9195,0.9138,0.8649,0.8844,0.4517,0.8450,0.9122,0.8929,0.8486,0.8150,0.4932,0.7121,0.7581,0.9173,0.8884,0.8620,0.4696,0.8851,0.8998,0.8685,0.8996,0.8811",Rep|Rep|Rep|Rep|Rep|Rep|Joi|Joi|Joi|Joi|Joi|Joi|Agg|Agg|Agg|Agg|Agg|Agg|Mul|Mul|Mul|Mul|Mul|Mul,0.25,0.75,3,840fa3f5cef1fb1f,window_0=shared_init; metrics from window_1 onward,1.0
5,7600,dci_gated,2.9043,165.274,480,480,3,482.98,0.8409,3,3,,,"0.9274,0.8910,0.8873,0.9061,0.9406,0.9461,0.4274,0.9346,0.8906,0.8725,0.8631,0.8502,0.5037,0.8340,0.8890,0.9002,0.8816,0.9401,0.4965,0.9690,0.8574,0.8707,0.8679,0.8355",Rep|Rep|Rep|Rep|Rep|Rep|Joi|Joi|Joi|Joi|Joi|Joi|Agg|Agg|Agg|Agg|Agg|Agg|Mul|Mul|Mul|Mul|Mul|Mul,0.125,0.75,3,5396269c1bcd070c,window_0=shared_init; metrics from window_1 onward,1.0
6,7700,dci_gated,2.8306,169.577,480,480,3,431.71,0.8356,3,3,,,"0.9505,0.8966,0.9001,0.8805,0.8915,0.8582,0.4392,0.8686,0.9476,0.8957,0.8862,0.8610,0.4984,0.8462,0.8496,0.8893,0.9336,0.9205,0.4851,0.8661,0.8651,0.8848,0.8593,0.8815",Rep|Rep|Rep|Rep|Rep|Rep|Joi|Joi|Joi|Joi|Joi|Joi|Agg|Agg|Agg|Agg|Agg|Agg|Mul|Mul|Mul|Mul|Mul|Mul,0.125,0.75,3,bb77d019b31e9e44,window_0=shared_init; metrics from window_1 onward,1.0
7,7800,dci_gated,2.9951,160.259,480,480,3,501.34,0.8288,3,3,,,"0.9038,0.9358,0.8639,0.8547,0.8762,0.8744,0.4432,0.8706,0.8763,0.9287,0.9006,0.9148,0.4849,0.8459,0.8474,0.8371,0.8109,0.9417,0.4868,0.8883,0.9059,0.8149,0.8723,0.9121",Rep|Rep|Rep|Rep|Rep|Rep|Joi|Joi|Joi|Joi|Joi|Joi|Agg|Agg|Agg|Agg|Agg|Agg|Mul|Mul|Mul|Mul|Mul|Mul,0.125,0.75,3,df9346532c74ed78,window_0=shared_init; metrics from window_1 onward,1.0
8,7900,dci_gated,2.8468,168.61,480,480,5,755.78,0.8211,3,3,,,"0.8542,0.8612,0.8814,0.9366,0.9145,0.9245,0.4447,0.8328,0.8394,0.8194,0.8472,0.8372,0.4969,0.8440,0.8504,0.9041,0.9148,0.8071,0.4856,0.9019,0.9087,0.8709,0.8459,0.8837",Rep|Rep|Rep|Rep|Rep|Rep|Joi|Joi|Joi|Joi|Joi|Joi|Agg|Agg|Agg|Agg|Agg|Agg|Mul|Mul|Mul|Mul|Mul|Mul,0.2083,0.75,3,160f12fd7f33c5b0,window_0=shared_init; metrics from window_1 onward,1.0
9,8000,dci_gated,3.1148,154.103,480,480,5,763.84,0.8392,3,3,,,"0.9181,0.8929,0.8948,0.9482,0.8747,0.9339,0.4247,0.9065,0.8351,0.8963,0.9106,0.8618,0.4648,0.8854,0.8778,0.8251,0.8591,0.9454,0.4788,0.8600,0.8738,0.9099,0.9436,0.9195",Rep|Rep|Rep|Rep|Rep|Rep|Joi|Joi|Joi|Joi|Joi|Joi|Agg|Agg|Agg|Agg|Agg|Agg|Mul|Mul|Mul|Mul|Mul|Mul,0.2083,0.75,3,25cc681ca639a104,window_0=shared_init; metrics from window_1 onward,1.0
10,8100,dci_gated,2.8922,165.965,480,480,4,623.4,0.8322,4,3,,,"0.8400,0.9119,0.9075,0.8960,0.9432,0.8632,0.4362,0.9212,0.8515,0.8728,0.9293,0.8738,0.4639,0.9217,0.9258,0.9517,0.8530,0.7315,0.4623,0.8454,0.9267,0.9378,0.8322,0.8738",Rep|Rep|Rep|Rep|Rep|Rep|Joi|Joi|Joi|Joi|Joi|Joi|Agg|Agg|Agg|Agg|Agg|Agg|Mul|Mul|Mul|Mul|Mul|Mul,0.1667,0.75,3,0dfbab947f32ef88,window_0=shared_init; metrics from window_1 onward,1.0
