block,block_seed,strategy,window,phase,drift_truth,S_R,S_V,S_T,S_A,S_P,HSM,invoked,n_queries,n_ok,exec_ms_window_sum,wall_ms_window,qps_window,sf
1,7200,dci_gated,1,Reporting,0,0.934427,1.0,0.699634,1.0,0.681154,0.875707,0,20,20,3268.866,3907.694,5.1181,1.0
1,7200,dci_gated,2,Reporting,0,0.900776,1.0,0.694876,1.0,0.702051,0.869477,0,20,20,3699.613,4082.843,4.8985,1.0
1,7200,dci_gated,3,Reporting,0,0.975269,1.0,0.868282,1.0,0.648974,0.91482,0,20,20,3929.78,4429.724,4.515,1.0
1,7200,dci_gated,4,Reporting,0,1.0,1.0,0.869461,1.0,0.600513,0.913969,1,20,20,4330.382,4758.914,4.2026,1.0
1,7200,dci_gated,5,Reporting,0,0.957047,1.0,0.803161,1.0,0.682051,0.902202,0,20,20,4927.032,5421.114,3.6893,1.0
1,7200,dci_gated,6,Reporting,0,0.910499,1.0,0.654714,1.0,0.781154,0.875741,0,20,20,3321.741,3675.578,5.4413,1.0
1,7200,dci_gated,7,JoinHeavy,1,0.371033,1.0,0.0,0.145503,0.813974,0.443955,1,20,20,4723.821,5480.989,3.649,1.0
1,7200,dci_gated,8,JoinHeavy,0,0.918934,1.0,0.707382,1.0,0.780769,0.888325,0,20,20,4721.281,5246.24,3.8123,1.0
1,7200,dci_gated,9,JoinHeavy,0,0.862537,1.0,0.598498,1.0,0.817179,0.857911,0,20,20,5032.675,5490.82,3.6424,1.0
1,7200,dci_gated,10,JoinHeavy,0,0.887295,1.0,0.64296,1.0,0.703462,0.855935,0,20,20,5714.699,6246.505,3.2018,1.0
1,7200,dci_gated,11,JoinHeavy,0,0.922224,1.0,0.701231,1.0,0.778974,0.887648,0,20,20,4979.825,5539.8,3.6102,1.0
1,7200,dci_gated,12,JoinHeavy,0,0.940591,1.0,0.850404,1.0,0.745513,0.917055,0,20,20,4353.034,4939.318,4.0491,1.0
1,7200,dci_gated,13,Aggregation,1,0.34107,1.0,0.0,0.457589,0.692308,0.480632,1,20,20,2312.728,2968.779,6.7368,1.0
1,7200,dci_gated,14,Aggregation,0,0.906986,1.0,0.658893,1.0,0.762179,0.872852,0,20,20,3108.875,3704.642,5.3986,1.0
1,7200,dci_gated,15,Aggregation,0,0.882674,1.0,0.473999,1.0,0.634872,0.810699,0,20,20,2190.04,2740.893,7.2969,1.0
1,7200,dci_gated,16,Aggregation,0,0.949813,1.0,0.781844,1.0,0.782051,0.91113,0,20,20,2197.335,2823.207,7.0841,1.0
1,7200,dci_gated,17,Aggregation,0,0.92887,1.0,0.805405,1.0,0.65,0.890799,0,20,20,2983.18,3557.497,5.6219,1.0
1,7200,dci_gated,18,Aggregation,0,0.977529,1.0,0.912276,1.0,0.773077,0.942799,0,20,20,3412.034,4037.576,4.9535,1.0
1,7200,dci_gated,19,MultiJoin,1,0.341931,1.0,0.0,0.411765,0.785641,0.485682,1,20,20,9979.447,10807.027,1.8506,1.0
1,7200,dci_gated,20,MultiJoin,0,0.918934,1.0,0.778086,1.0,0.705769,0.891216,0,20,20,10091.774,10789.304,1.8537,1.0
1,7200,dci_gated,21,MultiJoin,0,0.907219,1.0,0.680153,1.0,0.788846,0.881162,0,20,20,11720.023,12715.176,1.5729,1.0
1,7200,dci_gated,22,MultiJoin,0,0.887295,1.0,0.591105,1.0,0.718974,0.847891,0,20,20,12243.327,13088.999,1.528,1.0
1,7200,dci_gated,23,MultiJoin,0,1.0,1.0,0.833997,1.0,0.770256,0.932338,0,20,20,12627.795,13689.708,1.461,1.0
1,7200,dci_gated,24,MultiJoin,0,0.882674,1.0,0.690536,1.0,0.760513,0.872853,0,20,20,13424.311,14120.003,1.4164,1.0
2,7300,dci_gated,1,Reporting,0,0.950539,1.0,0.74826,1.0,0.715128,0.894556,0,20,20,4454.785,4900.504,4.0812,1.0
2,7300,dci_gated,2,Reporting,0,1.0,1.0,0.924407,1.0,0.76141,0.949093,0,20,20,5072.641,5342.075,3.7439,1.0
2,7300,dci_gated,3,Reporting,0,1.0,1.0,0.92545,1.0,0.845385,0.961898,1,20,20,5052.378,5461.407,3.6621,1.0
2,7300,dci_gated,4,Reporting,0,0.900776,1.0,0.553291,1.0,0.877308,0.867448,0,20,20,3188.793,3654.785,5.4723,1.0
2,7300,dci_gated,5,Reporting,0,0.914157,1.0,0.608095,1.0,0.693205,0.854139,0,20,20,4113.103,4564.908,4.3812,1.0
2,7300,dci_gated,6,Reporting,0,0.934427,1.0,0.731306,1.0,0.770769,0.895483,0,20,20,5578.644,6019.099,3.3228,1.0
2,7300,dci_gated,7,JoinHeavy,1,0.370959,1.0,0.0,0.145503,0.655513,0.420167,1,20,20,4683.058,5375.813,3.7204,1.0
2,7300,dci_gated,8,JoinHeavy,0,0.940591,1.0,0.850404,1.0,0.672179,0.906055,0,20,20,4662.75,5325.313,3.7556,1.0
2,7300,dci_gated,9,JoinHeavy,0,0.874336,1.0,0.561003,1.0,0.620256,0.823823,0,20,20,6027.352,6781.638,2.9491,1.0
2,7300,dci_gated,10,JoinHeavy,0,0.922224,1.0,0.648085,1.0,0.717051,0.867731,0,20,20,4925.117,5751.711,3.4772,1.0
2,7300,dci_gated,11,JoinHeavy,0,0.922224,1.0,0.745338,1.0,0.745641,0.89147,0,20,20,4976.294,5763.291,3.4702,1.0
2,7300,dci_gated,12,JoinHeavy,0,0.955171,1.0,0.800275,1.0,0.720769,0.906963,0,20,20,5358.207,6047.808,3.307,1.0
2,7300,dci_gated,13,Aggregation,1,0.341931,1.0,0.0,0.457589,0.745769,0.488866,1,20,20,1716.002,2354.598,8.494,1.0
2,7300,dci_gated,14,Aggregation,0,0.92203,1.0,0.608486,1.0,0.793974,0.871301,0,20,20,3521.641,4086.093,4.8947,1.0
2,7300,dci_gated,15,Aggregation,0,0.949813,1.0,0.855313,1.0,0.790385,0.927073,0,20,20,4321.414,4819.225,4.15,1.0
2,7300,dci_gated,16,Aggregation,0,0.887295,1.0,0.637981,1.0,0.669103,0.849785,0,20,20,2495.515,3183.252,6.2829,1.0
2,7300,dci_gated,17,Aggregation,0,0.907099,1.0,0.745196,1.0,0.820641,0.89891,0,20,20,3453.126,3971.161,5.0363,1.0
2,7300,dci_gated,18,Aggregation,0,0.92203,1.0,0.875541,1.0,0.852436,0.933481,0,20,20,3121.122,3569.947,5.6023,1.0
2,7300,dci_gated,19,MultiJoin,1,0.341931,1.0,0.0,0.411765,0.850513,0.495413,1,20,20,11448.795,11817.361,1.6924,1.0
2,7300,dci_gated,20,MultiJoin,0,0.977585,1.0,0.900396,1.0,0.605513,0.915302,0,20,20,12189.839,12951.169,1.5443,1.0
2,7300,dci_gated,21,MultiJoin,0,0.932131,1.0,0.596553,1.0,0.695256,0.856632,0,20,20,12608.484,13471.027,1.4847,1.0
2,7300,dci_gated,22,MultiJoin,0,0.932131,1.0,0.847072,1.0,0.63859,0.898236,0,20,20,14965.913,16169.222,1.2369,1.0
2,7300,dci_gated,23,MultiJoin,0,0.896792,1.0,0.67689,1.0,0.654231,0.857711,0,20,20,17624.112,18490.133,1.0817,1.0
2,7300,dci_gated,24,MultiJoin,0,0.862537,1.0,0.409892,1.0,0.751795,0.810382,0,20,20,11573.009,12749.091,1.5687,1.0
3,7400,dci_gated,1,Reporting,0,0.950539,1.0,0.731068,1.0,0.589231,0.872233,0,20,20,3527.23,3928.586,5.0909,1.0
3,7400,dci_gated,2,Reporting,0,0.934427,1.0,0.797553,1.0,0.807436,0.914233,0,20,20,4639.196,5040.001,3.9683,1.0
3,7400,dci_gated,3,Reporting,0,0.975269,1.0,0.870366,1.0,0.823333,0.941391,0,20,20,4881.029,5326.079,3.7551,1.0
3,7400,dci_gated,4,Reporting,0,0.914157,1.0,0.59516,1.0,0.817564,0.870206,0,20,20,4953.657,5269.695,3.7953,1.0
3,7400,dci_gated,5,Reporting,0,0.900776,1.0,0.51901,1.0,0.657436,0.827611,0,20,20,3981.705,4425.964,4.5188,1.0
3,7400,dci_gated,6,Reporting,0,0.910499,1.0,0.541383,1.0,0.717051,0.843459,0,20,20,5372.199,5801.02,3.4477,1.0
3,7400,dci_gated,7,JoinHeavy,1,0.370959,1.0,0.0,0.145503,0.823846,0.445417,1,20,20,4700.582,5310.897,3.7658,1.0
3,7400,dci_gated,8,JoinHeavy,0,0.955171,1.0,0.811932,1.0,0.740897,0.912314,0,20,20,4977.546,5634.691,3.5494,1.0
3,7400,dci_gated,9,JoinHeavy,0,0.955171,1.0,0.856877,1.0,0.800256,0.930206,0,20,20,5142.083,5925.777,3.3751,1.0
3,7400,dci_gated,10,JoinHeavy,0,0.940591,1.0,0.812038,1.0,0.758718,0.911363,0,20,20,4882.253,5681.231,3.5204,1.0
3,7400,dci_gated,11,JoinHeavy,0,0.932518,1.0,0.749749,1.0,0.751538,0.89581,0,20,20,4685.982,5209.064,3.8395,1.0
3,7400,dci_gated,12,JoinHeavy,0,1.0,1.0,1.0,1.0,0.701795,0.955269,0,20,20,4707.677,5455.985,3.6657,1.0
3,7400,dci_gated,13,Aggregation,1,0.341931,1.0,0.0,0.457589,0.822051,0.500308,1,20,20,2173.899,2769.026,7.2228,1.0
3,7400,dci_gated,14,Aggregation,0,0.940591,1.0,0.665419,1.0,0.670513,0.868808,0,20,20,2687.226,3200.574,6.2489,1.0
3,7400,dci_gated,15,Aggregation,0,0.918934,1.0,0.746817,1.0,0.694359,0.883251,0,20,20,4010.63,4636.887,4.3132,1.0
3,7400,dci_gated,16,Aggregation,0,0.862537,1.0,0.646367,1.0,0.833718,0.869965,0,20,20,3102.698,3679.972,5.4348,1.0
3,7400,dci_gated,17,Aggregation,0,0.918934,1.0,0.826164,1.0,0.782949,0.912409,0,20,20,4065.616,4432.025,4.5126,1.0
3,7400,dci_gated,18,Aggregation,0,0.918934,1.0,0.662933,1.0,0.787051,0.880378,0,20,20,3853.961,4541.028,4.4043,1.0
3,7400,dci_gated,19,MultiJoin,1,0.341931,1.0,0.0,0.411765,0.795256,0.487124,1,20,20,11725.048,12598.662,1.5875,1.0
3,7400,dci_gated,20,MultiJoin,0,0.921898,1.0,0.640294,1.0,0.672436,0.859399,0,20,20,8734.176,9590.213,2.0855,1.0
3,7400,dci_gated,21,MultiJoin,0,0.880234,1.0,0.520302,1.0,0.792436,0.842984,0,20,20,16877.859,18087.022,1.1058,1.0
3,7400,dci_gated,22,MultiJoin,0,0.891943,1.0,0.581138,1.0,0.887051,0.872271,0,20,20,10274.978,10873.265,1.8394,1.0
3,7400,dci_gated,23,MultiJoin,0,0.901745,1.0,0.717403,1.0,0.813974,0.891013,0,20,20,11608.486,12448.272,1.6066,1.0
3,7400,dci_gated,24,MultiJoin,0,0.759603,1.0,0.57516,0.956522,0.777564,0.812872,1,20,20,7222.399,8198.931,2.4393,1.0
4,7500,dci_gated,1,Reporting,0,0.950539,1.0,0.78674,1.0,0.822564,0.918367,0,20,20,3391.344,3663.721,5.4589,1.0
4,7500,dci_gated,2,Reporting,0,0.914157,1.0,0.611244,1.0,0.757051,0.864346,0,20,20,4609.809,5114.65,3.9103,1.0
4,7500,dci_gated,3,Reporting,0,0.950539,1.0,0.846347,1.0,0.750769,0.91952,0,20,20,4469.164,4935.456,4.0523,1.0
4,7500,dci_gated,4,Reporting,0,0.975269,1.0,0.851914,1.0,0.663846,0.913777,0,20,20,5386.178,5835.482,3.4273,1.0
4,7500,dci_gated,5,Reporting,0,0.910499,1.0,0.559288,1.0,0.835897,0.864867,1,20,20,3474.24,3936.451,5.0807,1.0
4,7500,dci_gated,6,Reporting,0,0.914157,1.0,0.684954,1.0,0.792179,0.884357,0,20,20,4904.814,5308.262,3.7677,1.0
4,7500,dci_gated,7,JoinHeavy,1,0.371371,1.0,0.0,0.145503,0.865256,0.451732,1,20,20,5628.187,6206.785,3.2223,1.0
4,7500,dci_gated,8,JoinHeavy,0,0.889731,1.0,0.487086,1.0,0.834103,0.844965,0,20,20,3711.009,4258.572,4.6964,1.0
4,7500,dci_gated,9,JoinHeavy,0,0.940591,1.0,0.803474,1.0,0.775897,0.912227,0,20,20,4276.563,5022.057,3.9824,1.0
4,7500,dci_gated,10,JoinHeavy,0,0.918934,1.0,0.673563,1.0,0.856154,0.892869,0,20,20,5630.3,6431.671,3.1096,1.0
4,7500,dci_gated,11,JoinHeavy,0,0.921898,1.0,0.5966,1.0,0.658974,0.848641,0,20,20,4123.369,4829.366,4.1413,1.0
4,7500,dci_gated,12,JoinHeavy,0,0.898966,1.0,0.501057,1.0,0.600513,0.81503,0,20,20,5061.633,5766.857,3.4681,1.0
4,7500,dci_gated,13,Aggregation,1,0.342359,1.0,0.0,0.457589,0.774231,0.493242,1,20,20,1933.907,2497.595,8.0077,1.0
4,7500,dci_gated,14,Aggregation,0,0.799571,1.0,0.480877,0.518182,0.749103,0.71207,1,20,20,4514.782,5087.677,3.9311,1.0
4,7500,dci_gated,15,Aggregation,0,0.853253,1.0,0.669451,0.518182,0.715385,0.758148,1,20,20,3023.923,3700.772,5.4043,1.0
4,7500,dci_gated,16,Aggregation,0,1.0,1.0,0.797364,1.0,0.718718,0.91728,0,20,20,2574.514,3339.766,5.9884,1.0
4,7500,dci_gated,17,Aggregation,0,0.936549,1.0,0.709378,1.0,0.749103,0.888378,0,20,20,1980.979,2321.135,8.6165,1.0
4,7500,dci_gated,18,Aggregation,0,0.922224,1.0,0.658752,1.0,0.664487,0.861979,0,20,20,2290.046,2909.605,6.8738,1.0
4,7500,dci_gated,19,MultiJoin,1,0.342359,1.0,0.0,0.411765,0.677564,0.469577,1,20,20,10835.929,11625.305,1.7204,1.0
4,7500,dci_gated,20,MultiJoin,0,0.940591,1.0,0.745415,1.0,0.672436,0.885096,0,20,20,9053.574,9912.001,2.0178,1.0
4,7500,dci_gated,21,MultiJoin,0,0.977585,1.0,0.815233,1.0,0.615513,0.89977,0,20,20,12014.541,13114.74,1.525,1.0
4,7500,dci_gated,22,MultiJoin,0,0.918934,1.0,0.732507,1.0,0.615256,0.868523,0,20,20,14858.61,15617.971,1.2806,1.0
4,7500,dci_gated,23,MultiJoin,0,0.932518,1.0,0.709105,1.0,0.831026,0.899604,0,20,20,14212.831,15221.842,1.3139,1.0
4,7500,dci_gated,24,MultiJoin,0,0.882674,1.0,0.690536,1.0,0.815513,0.881103,0,20,20,11276.698,11858.18,1.6866,1.0
5,7600,dci_gated,1,Reporting,0,0.975269,1.0,0.849869,1.0,0.757308,0.927387,0,20,20,4607.932,4983.506,4.0132,1.0
5,7600,dci_gated,2,Reporting,0,0.914157,1.0,0.736974,1.0,0.767308,0.89103,0,20,20,4484.771,4931.391,4.0557,1.0
5,7600,dci_gated,3,Reporting,0,0.900776,1.0,0.695363,1.0,0.820385,0.887324,0,20,20,3961.461,4417.602,4.5273,1.0
5,7600,dci_gated,4,Reporting,0,0.914157,1.0,0.726018,1.0,0.882436,0.906108,0,20,20,4704.548,5121.005,3.9055,1.0
5,7600,dci_gated,5,Reporting,0,0.975269,1.0,0.923318,1.0,0.747308,0.940577,0,20,20,4415.903,4760.053,4.2016,1.0
5,7600,dci_gated,6,Reporting,0,0.975269,1.0,0.849869,1.0,0.882051,0.946099,0,20,20,4479.895,4915.965,4.0684,1.0
5,7600,dci_gated,7,JoinHeavy,1,0.371033,1.0,0.0,0.145503,0.703846,0.427436,1,20,20,4565.848,5232.597,3.8222,1.0
5,7600,dci_gated,8,JoinHeavy,0,0.977585,1.0,0.860558,1.0,0.787051,0.934566,0,20,20,4925.914,5519.984,3.6232,1.0
5,7600,dci_gated,9,JoinHeavy,0,0.910117,1.0,0.774006,1.0,0.721538,0.890561,0,20,20,5513.182,6236.585,3.2069,1.0
5,7600,dci_gated,10,JoinHeavy,0,0.907219,1.0,0.700754,1.0,0.70359,0.872494,0,20,20,5413.188,5980.281,3.3443,1.0
5,7600,dci_gated,11,JoinHeavy,0,0.870125,1.0,0.630024,1.0,0.797179,0.863113,0,20,20,4442.065,5457.557,3.6646,1.0
5,7600,dci_gated,12,JoinHeavy,0,0.862537,1.0,0.646367,1.0,0.701923,0.850196,0,20,20,5686.937,6308.053,3.1706,1.0
5,7600,dci_gated,13,Aggregation,1,0.342359,1.0,0.0,0.457589,0.843974,0.503704,1,20,20,3854.517,4437.914,4.5066,1.0
5,7600,dci_gated,14,Aggregation,0,0.880795,1.0,0.46495,1.0,0.805641,0.834035,0,20,20,2578.257,3157.829,6.3335,1.0
5,7600,dci_gated,15,Aggregation,0,0.918934,1.0,0.704891,1.0,0.788718,0.889019,0,20,20,2454.652,3083.489,6.4862,1.0
5,7600,dci_gated,16,Aggregation,0,0.918934,1.0,0.772789,1.0,0.772436,0.900157,0,20,20,2856.072,3326.578,6.0122,1.0
5,7600,dci_gated,17,Aggregation,0,0.907219,1.0,0.713739,1.0,0.747179,0.881629,0,20,20,2729.116,3404.562,5.8745,1.0
5,7600,dci_gated,18,Aggregation,0,0.932518,1.0,0.912485,1.0,0.83,0.940126,0,20,20,2981.056,3417.107,5.8529,1.0
5,7600,dci_gated,19,MultiJoin,1,0.341931,1.0,0.0,0.411765,0.857692,0.49649,1,20,20,15010.803,15587.011,1.2831,1.0
5,7600,dci_gated,20,MultiJoin,0,1.0,1.0,1.0,1.0,0.793333,0.969,0,20,20,14537.457,15202.227,1.3156,1.0
5,7600,dci_gated,21,MultiJoin,0,0.887295,1.0,0.617728,1.0,0.746667,0.857369,0,20,20,8881.785,9503.377,2.1045,1.0
5,7600,dci_gated,22,MultiJoin,0,0.932518,1.0,0.745196,1.0,0.590128,0.870688,0,20,20,11219.176,12103.633,1.6524,1.0
