analysis_timestamp_utc,run_id,window,S_R,S_V,S_T,S_A,S_P,HSM
2026-07-05T13:56:59Z,20260705T135649Z,1,0.7877679844,1.0000000000,0.2926090459,0.6666666667,0.6229487179,0.6822394463
2026-07-05T13:56:59Z,20260705T135649Z,2,0.7233498105,1.0000000000,0.9500849642,0.3333333333,0.6385897436,0.7333095737
2026-07-05T13:56:59Z,20260705T135649Z,3,0.6968385816,1.0000000000,0.2577621168,0.5000000000,0.8238461538,0.6493389918
2026-07-05T13:56:59Z,20260705T135649Z,4,0.8178906433,1.0000000000,0.4301275269,0.6666666667,0.5605128205,0.7079084226
2026-07-05T13:56:59Z,20260705T135649Z,5,0.7778850527,1.0000000000,0.8233155708,0.6666666667,0.7005128205,0.7975446338
2026-07-05T13:56:59Z,20260705T135649Z,6,0.6864129653,1.0000000000,0.1305442147,0.5000000000,0.8623076923,0.6270582381
2026-07-05T13:56:59Z,20260705T135649Z,7,1.0000000000,1.0000000000,0.6974855906,1.0000000000,0.8724358974,0.9203625027
2026-07-05T13:56:59Z,20260705T135649Z,8,0.8349916978,1.0000000000,0.6457060008,0.7500000000,0.6017948718,0.7781583554
2026-07-05T13:56:59Z,20260705T135649Z,9,0.8308156933,1.0000000000,0.8846841354,0.6666666667,0.6829487179,0.8204163914
2026-07-05T13:56:59Z,20260705T135649Z,10,0.9291181088,1.0000000000,0.3160325403,1.0000000000,0.7028205128,0.8009091122
2026-07-05T13:56:59Z,20260705T135649Z,11,0.8308156933,1.0000000000,0.7991944448,0.6666666667,0.7010256410,0.8060299918
2026-07-05T13:56:59Z,20260705T135649Z,12,0.8308156933,1.0000000000,0.9023267692,0.6666666667,0.7493589744,0.8339064566
2026-07-05T13:56:59Z,20260705T135649Z,13,0.9291181088,1.0000000000,0.5192856065,1.0000000000,0.7021794872,0.8414635716
2026-07-05T13:56:59Z,20260705T135649Z,14,0.9291181088,1.0000000000,0.5791668483,1.0000000000,0.5800000000,0.8351128969
2026-07-05T13:56:59Z,20260705T135649Z,15,0.9291181088,1.0000000000,0.8108830488,1.0000000000,0.5625641026,0.8788407523
2026-07-05T13:56:59Z,20260705T135649Z,16,1.0000000000,1.0000000000,0.5969264516,1.0000000000,0.8625641026,0.8987699057
2026-07-05T13:56:59Z,20260705T135649Z,17,0.7677204728,1.0000000000,0.9665245833,0.5000000000,0.6470512821,0.7822927272
2026-07-05T13:56:59Z,20260705T135649Z,18,0.6968385816,1.0000000000,0.1559582608,0.5000000000,0.7451282051,0.6171705283
2026-07-05T13:56:59Z,20260705T135649Z,19,0.9291181088,1.0000000000,0.1894336775,1.0000000000,0.6829487179,0.7726085704
2026-07-05T13:56:59Z,20260705T135649Z,20,0.7677204728,1.0000000000,0.9665245833,0.5000000000,0.6582051282,0.7839658041
2026-07-05T13:56:59Z,20260705T135649Z,21,0.6968385816,1.0000000000,0.4365489651,0.5000000000,0.6751282051,0.6627886692
2026-07-05T13:56:59Z,20260705T135649Z,22,0.8178906433,1.0000000000,0.7086634066,0.6666666667,0.5723076923,0.7653848293
2026-07-05T13:56:59Z,20260705T135649Z,23,0.8308156933,1.0000000000,0.7543498162,0.6666666667,0.6165384615,0.7843879891
2026-07-05T13:56:59Z,20260705T135649Z,24,1.0000000000,1.0000000000,0.8775171560,1.0000000000,0.8885897436,0.9587918927
2026-07-05T13:56:59Z,20260705T135649Z,25,0.8308156933,1.0000000000,0.6861489844,0.6666666667,0.6044871795,0.7689401304
2026-07-05T13:56:59Z,20260705T135649Z,26,0.9389292606,1.0000000000,0.5713160609,1.0000000000,0.8344871795,0.8741686043
2026-07-05T13:56:59Z,20260705T135649Z,27,0.8938939633,1.0000000000,0.4770728097,1.0000000000,0.6835897436,0.8214265143
2026-07-05T13:56:59Z,20260705T135649Z,28,1.0000000000,1.0000000000,0.9405180032,1.0000000000,0.7823076923,0.9554497545
2026-07-05T13:56:59Z,20260705T135649Z,29,0.9389292606,1.0000000000,0.6764239361,1.0000000000,0.6357692308,0.8653824870
2026-07-05T13:56:59Z,20260705T135649Z,30,0.7309729266,1.0000000000,0.7847480535,0.5000000000,0.6702564103,0.7402313039
2026-07-05T13:56:59Z,20260705T135649Z,31,0.7877679844,1.0000000000,0.3341009347,0.6666666667,0.6853846154,0.6999032087
2026-07-05T13:56:59Z,20260705T135649Z,32,0.8308156933,1.0000000000,0.9092703219,0.6666666667,0.7957692308,0.8422567056
2026-07-05T13:56:59Z,20260705T135649Z,33,0.8308156933,1.0000000000,0.7305833490,0.6666666667,0.8921794872,0.8209808495
2026-07-05T13:56:59Z,20260705T135649Z,34,0.9291181088,1.0000000000,0.1408931499,1.0000000000,0.7015384615,0.7656889264
2026-07-05T13:56:59Z,20260705T135649Z,35,0.9291181088,1.0000000000,0.4447806586,1.0000000000,0.5914102564,0.8099471974
