workload,config,representation,dci,auc_1d,auc_multiD,delta
job,mixed,generic-sim3,2.033,0.783,0.993,0.210
job,mixed,raw-freq,3.837,0.799,1.000,0.201
job,mixed,table-bag,2.304,0.905,0.975,0.070
job,template_only,generic-sim3,1.152,0.985,0.989,0.004
job,template_only,raw-freq,4.958,0.764,1.000,0.236
job,template_only,table-bag,2.778,0.853,0.965,0.112
job,volume_only,generic-sim3,1.060,1.000,1.000,0.000
job,volume_only,raw-freq,2.579,0.939,1.000,0.061
job,volume_only,table-bag,1.048,1.000,1.000,0.000
pgbench,mixed,generic-sim3,1.604,0.762,0.904,0.142
pgbench,mixed,raw-freq,2.886,0.793,0.902,0.109
pgbench,mixed,table-bag,1.000,0.765,0.765,0.000
pgbench,template_only,generic-sim3,1.057,0.817,0.800,-0.017
pgbench,template_only,raw-freq,2.993,0.790,0.843,0.053
pgbench,template_only,table-bag,1.000,0.653,0.653,0.000
pgbench,volume_only,generic-sim3,1.049,1.000,1.000,0.000
pgbench,volume_only,raw-freq,1.946,0.966,1.000,0.034
pgbench,volume_only,table-bag,1.000,0.910,0.910,0.000
tpch,mixed,generic-sim3,2.038,0.824,1.000,0.176
tpch,mixed,raw-freq,2.811,0.854,1.000,0.146
tpch,mixed,table-bag,2.121,0.945,0.986,0.042
tpch,template_only,generic-sim3,1.118,0.993,0.993,0.000
tpch,template_only,raw-freq,4.119,0.773,0.993,0.220
tpch,template_only,table-bag,2.766,0.887,0.977,0.090
tpch,volume_only,generic-sim3,1.001,1.000,1.000,0.000
tpch,volume_only,raw-freq,1.071,0.999,1.000,0.001
tpch,volume_only,table-bag,1.027,1.000,1.000,0.000
