workload,config,representation,dci_mean,dci_sd,auc_1d,auc_multiD,delta_auc,n
job,mixed,HSM-5D,1.932,0.170,0.792,0.995,0.203,50
job,mixed,generic-sim3,2.033,0.217,0.783,0.993,0.210,50
job,mixed,raw-freq,3.837,0.624,0.799,1.000,0.201,50
job,mixed,table-bag,2.304,0.429,0.905,0.975,0.070,50
job,template_only,HSM-5D,1.107,0.065,0.996,0.994,-0.002,50
job,template_only,generic-sim3,1.152,0.096,0.985,0.989,0.004,50
job,template_only,raw-freq,4.958,0.320,0.764,1.000,0.236,50
job,template_only,table-bag,2.778,0.455,0.853,0.965,0.112,50
job,volume_only,HSM-5D,1.108,0.065,1.000,1.000,0.000,50
job,volume_only,generic-sim3,1.060,0.065,1.000,1.000,0.000,50
job,volume_only,raw-freq,2.579,0.725,0.939,1.000,0.061,50
job,volume_only,table-bag,1.048,0.026,1.000,1.000,0.000,50
pgbench,mixed,HSM-5D,1.769,0.265,0.750,0.902,0.152,50
pgbench,mixed,generic-sim3,1.604,0.332,0.762,0.904,0.142,50
pgbench,mixed,raw-freq,2.886,0.482,0.793,0.902,0.109,50
pgbench,mixed,table-bag,1.000,0.000,0.765,0.765,0.000,50
pgbench,template_only,HSM-5D,1.032,0.022,0.813,0.813,0.000,50
pgbench,template_only,generic-sim3,1.057,0.058,0.817,0.800,-0.017,50
pgbench,template_only,raw-freq,2.993,0.467,0.790,0.843,0.053,50
pgbench,template_only,table-bag,1.000,0.000,0.653,0.653,0.000,50
pgbench,volume_only,HSM-5D,1.008,0.003,1.000,1.000,0.000,50
pgbench,volume_only,generic-sim3,1.049,0.037,1.000,1.000,0.000,50
pgbench,volume_only,raw-freq,1.946,0.370,0.966,1.000,0.034,50
pgbench,volume_only,table-bag,1.000,0.000,0.910,0.910,0.000,50
tpch,mixed,HSM-5D,2.027,0.228,0.824,1.000,0.176,50
tpch,mixed,generic-sim3,2.038,0.170,0.824,1.000,0.176,50
tpch,mixed,raw-freq,2.811,0.303,0.854,1.000,0.146,50
tpch,mixed,table-bag,2.121,0.374,0.945,0.986,0.042,50
tpch,template_only,HSM-5D,1.025,0.017,0.993,0.993,0.000,50
tpch,template_only,generic-sim3,1.118,0.061,0.993,0.993,0.000,50
tpch,template_only,raw-freq,4.119,0.454,0.773,0.993,0.220,50
tpch,template_only,table-bag,2.766,0.460,0.887,0.977,0.090,50
tpch,volume_only,HSM-5D,1.396,0.194,1.000,1.000,0.000,50
tpch,volume_only,generic-sim3,1.001,0.000,1.000,1.000,0.000,50
tpch,volume_only,raw-freq,1.071,0.023,0.999,1.000,0.001,50
tpch,volume_only,table-bag,1.027,0.016,1.000,1.000,0.000,50
