engine,block,window,dci_roll,regime,fired,truth
PG,0,1,,5-D,0,0
PG,0,2,,5-D,0,0
PG,0,3,1.3519,1-D,0,0
PG,0,4,1.4525,1-D,0,0
PG,0,5,1.3654,1-D,1,1
PG,0,6,1.3866,1-D,0,0
PG,0,7,1.4931,1-D,0,0
PG,0,8,1.5217,5-D,0,0
PG,0,9,2.2223,5-D,1,1
PG,1,10,2.2641,5-D,0,0
PG,2,11,2.3122,5-D,0,0
PG,3,12,2.4077,5-D,0,0
PG,4,13,2.357,5-D,1,1
PG,5,14,2.4114,5-D,0,0
PG,6,15,2.4165,5-D,0,0
PG,7,16,2.4537,5-D,0,0
PG,8,17,2.6803,5-D,1,1
PG,9,18,2.6836,5-D,0,0
PG,10,19,2.7137,5-D,0,0
PG,11,20,2.7706,5-D,0,0
PG,12,21,2.6448,5-D,1,1
PG,13,22,2.6477,5-D,0,0
PG,14,23,2.7191,5-D,0,0
PG,15,24,2.7453,5-D,0,0
PG,16,1,,5-D,0,0
PG,16,2,,5-D,0,0
PG,16,3,1.2922,1-D,1,0
PG,16,4,1.3661,1-D,1,0
PG,16,5,1.2915,1-D,1,1
PG,16,6,1.2589,1-D,1,0
PG,16,7,1.2353,1-D,1,0
PG,16,8,1.2661,1-D,0,0
PG,16,9,1.6609,5-D,1,1
PG,17,10,1.6743,5-D,0,0
PG,18,11,1.6784,5-D,0,0
PG,19,12,1.6787,5-D,0,0
PG,20,13,1.6491,5-D,1,1
PG,21,14,1.6535,5-D,0,0
PG,22,15,1.6622,5-D,0,0
PG,23,16,1.673,5-D,0,0
PG,24,17,1.9451,5-D,1,1
PG,25,18,1.9593,5-D,0,0
PG,26,19,1.9754,5-D,0,0
PG,27,20,2.034,5-D,0,0
PG,28,21,1.9036,5-D,1,1
PG,29,22,1.9468,5-D,0,0
PG,30,23,1.9406,5-D,0,0
PG,31,24,1.9209,5-D,0,0
PG,32,1,,5-D,0,0
PG,32,2,,5-D,0,0
PG,32,3,1.5828,5-D,0,0
PG,32,4,2.1987,5-D,0,0
PG,32,5,1.1313,1-D,1,1
PG,32,6,1.179,1-D,0,0
PG,32,7,1.1929,1-D,0,0
PG,32,8,1.1943,1-D,0,0
PG,32,9,1.6494,5-D,1,1
PG,33,10,1.6602,5-D,0,0
PG,34,11,1.6644,5-D,0,0
PG,35,12,1.7284,5-D,0,0
PG,36,13,1.6259,5-D,1,1
PG,37,14,1.6294,5-D,0,0
PG,38,15,1.6365,5-D,0,0
PG,39,16,1.6735,5-D,0,0
PG,40,17,1.9034,5-D,1,1
PG,41,18,1.9198,5-D,0,0
PG,42,19,1.9569,5-D,0,0
PG,43,20,1.9515,5-D,0,0
PG,44,21,1.8475,5-D,1,1
PG,45,22,1.8278,5-D,0,0
PG,46,23,1.8392,5-D,0,0
PG,47,24,1.939,5-D,0,0
PG,48,1,,5-D,0,0
PG,48,2,,5-D,0,0
PG,48,3,1.7763,5-D,0,0
PG,48,4,2.2314,5-D,0,0
PG,48,5,1.3387,1-D,1,1
PG,48,6,1.3918,1-D,0,0
PG,48,7,1.4198,1-D,0,0
PG,48,8,1.6981,5-D,0,0
PG,48,9,2.475,5-D,1,1
PG,49,10,2.6364,5-D,0,0
PG,50,11,2.77,5-D,0,0
PG,51,12,2.8168,5-D,0,0
PG,52,13,2.4622,5-D,1,1
PG,53,14,2.5227,5-D,0,0
PG,54,15,2.5286,5-D,0,0
PG,55,16,2.4956,5-D,0,0
PG,56,17,2.8192,5-D,1,1
PG,57,18,2.819,5-D,0,0
PG,58,19,2.8352,5-D,0,0
PG,59,20,2.8539,5-D,0,0
PG,60,21,2.6547,5-D,1,1
PG,61,22,2.6526,5-D,0,0
PG,62,23,2.6602,5-D,0,0
PG,63,24,2.6695,5-D,0,0
PG,64,1,,5-D,0,0
PG,64,2,,5-D,0,0
PG,64,3,1.3297,1-D,1,0
PG,64,4,1.4183,1-D,1,0
PG,64,5,1.4612,1-D,1,1
PG,64,6,1.5398,5-D,0,0
PG,64,7,1.565,5-D,0,0
PG,64,8,1.5946,5-D,0,0
PG,64,9,2.2422,5-D,1,1
PG,65,10,2.334,5-D,0,0
PG,66,11,2.3369,5-D,0,0
PG,67,12,2.3288,5-D,0,0
PG,68,13,2.2073,5-D,1,1
PG,69,14,2.2006,5-D,0,0
PG,70,15,2.1896,5-D,0,0
PG,71,16,2.1688,5-D,0,0
PG,72,17,2.5232,5-D,1,1
PG,73,18,2.5161,5-D,0,0
PG,74,19,2.4214,5-D,0,0
PG,75,20,2.4214,5-D,0,0
PG,76,21,2.3309,5-D,1,1
PG,77,22,2.3417,5-D,0,0
PG,78,23,2.3919,5-D,0,0
PG,79,24,2.4105,5-D,0,0
PG,80,1,,5-D,0,0
PG,80,2,,5-D,0,0
PG,80,3,1.6861,5-D,0,0
PG,80,4,1.7371,5-D,0,0
PG,80,5,1.2352,1-D,1,1
PG,80,6,1.294,1-D,0,0
PG,80,7,1.3244,1-D,0,0
PG,80,8,1.3273,1-D,0,0
PG,80,9,1.7666,5-D,1,1
PG,81,10,1.7735,5-D,0,0
PG,82,11,1.7824,5-D,0,0
PG,83,12,1.7742,5-D,0,0
PG,84,13,1.662,5-D,1,1
