cand_id,stratum,policy,hit,fa
0,cross/offaxis/l0.05,always_multiD,1,1
0,cross/offaxis/l0.05,union4_bonf,1,0
0,cross/offaxis/l0.05,dci_v3,1,0
0,cross/offaxis/l0.05,dci_v3_a8,1,0
0,cross/offaxis/l0.05,best_axis_oracle,1,0
0,cross/offaxis/l0.05,every_k2,1,0
0,cross/offaxis/l0.05,adwin,0,0
0,cross/offaxis/l0.05,mcusum,0,0
0,cross/offaxis/l0.05,sketch1,0,1
1,cross/offaxis/l0.1,always_multiD,1,1
1,cross/offaxis/l0.1,union4_bonf,1,0
1,cross/offaxis/l0.1,dci_v3,1,0
1,cross/offaxis/l0.1,dci_v3_a8,1,0
1,cross/offaxis/l0.1,best_axis_oracle,1,0
1,cross/offaxis/l0.1,every_k2,1,0
1,cross/offaxis/l0.1,adwin,0,0
1,cross/offaxis/l0.1,mcusum,0,0
1,cross/offaxis/l0.1,sketch1,0,1
2,cross/offaxis/l0.2,always_multiD,1,0
2,cross/offaxis/l0.2,union4_bonf,1,4
2,cross/offaxis/l0.2,dci_v3,1,4
2,cross/offaxis/l0.2,dci_v3_a8,1,3
2,cross/offaxis/l0.2,best_axis_oracle,1,3
2,cross/offaxis/l0.2,every_k2,1,0
2,cross/offaxis/l0.2,adwin,0,0
2,cross/offaxis/l0.2,mcusum,1,0
2,cross/offaxis/l0.2,sketch1,1,0
3,cross/offaxis/l0.4,always_multiD,1,11
3,cross/offaxis/l0.4,union4_bonf,1,11
3,cross/offaxis/l0.4,dci_v3,1,11
3,cross/offaxis/l0.4,dci_v3_a8,1,11
3,cross/offaxis/l0.4,best_axis_oracle,1,11
3,cross/offaxis/l0.4,every_k2,1,5
3,cross/offaxis/l0.4,adwin,0,0
3,cross/offaxis/l0.4,mcusum,1,1
3,cross/offaxis/l0.4,sketch1,1,0
4,cross/offaxis/l1,always_multiD,1,11
4,cross/offaxis/l1,union4_bonf,1,11
4,cross/offaxis/l1,dci_v3,1,11
4,cross/offaxis/l1,dci_v3_a8,1,11
4,cross/offaxis/l1,best_axis_oracle,1,11
4,cross/offaxis/l1,every_k2,0,6
4,cross/offaxis/l1,adwin,0,0
4,cross/offaxis/l1,mcusum,1,11
4,cross/offaxis/l1,sketch1,1,11
5,cross/offaxis/l0.05,always_multiD,1,17
5,cross/offaxis/l0.05,union4_bonf,1,14
5,cross/offaxis/l0.05,dci_v3,1,15
5,cross/offaxis/l0.05,dci_v3_a8,1,15
5,cross/offaxis/l0.05,best_axis_oracle,1,11
5,cross/offaxis/l0.05,every_k2,1,8
5,cross/offaxis/l0.05,adwin,0,0
5,cross/offaxis/l0.05,mcusum,1,2
5,cross/offaxis/l0.05,sketch1,1,13
6,cross/offaxis/l0.1,always_multiD,1,18
6,cross/offaxis/l0.1,union4_bonf,1,14
6,cross/offaxis/l0.1,dci_v3,1,16
6,cross/offaxis/l0.1,dci_v3_a8,1,16
6,cross/offaxis/l0.1,best_axis_oracle,1,11
6,cross/offaxis/l0.1,every_k2,1,8
6,cross/offaxis/l0.1,adwin,0,0
6,cross/offaxis/l0.1,mcusum,1,2
