id,arm,cluster_a,start_a,cluster_b,start_b,lam,stratum,R_at_onset,DCI_at_onset,minR_onset_p2,esc_windows
0,cross,100,16065,96,17065,0.05,cross/offaxis/l0.05,1.0,2.2792,1.0,0
1,cross,100,16065,96,17065,0.1,cross/offaxis/l0.1,0.524,1.8664,0.514,0
2,cross,100,16065,96,17065,0.2,cross/offaxis/l0.2,0.5371,1.2674,0.5371,0
3,cross,100,16065,96,17065,0.4,cross/offaxis/l0.4,0.5122,1.1339,0.5122,0
4,cross,100,16065,96,17065,1.0,cross/offaxis/l1,0.1863,1.0502,0.1863,1
5,cross,100,65,31,2065,0.05,cross/offaxis/l0.05,0.0729,2.778,0.0729,18
6,cross,100,65,31,2065,0.1,cross/offaxis/l0.1,0.0899,2.7175,0.0899,15
7,cross,100,65,31,2065,0.2,cross/offaxis/l0.2,0.1041,2.7034,0.1041,14
8,cross,100,65,31,2065,0.4,cross/offaxis/l0.4,0.1173,2.5398,0.1173,12
9,cross,100,65,31,2065,1.0,cross/offaxis/l1,0.0852,1.4555,0.0852,18
10,cross,100,65,33,1065,0.05,cross/offaxis/l0.05,0.0909,2.6823,0.0909,11
11,cross,100,65,33,1065,0.1,cross/offaxis/l0.1,0.0984,2.6642,0.0984,11
12,cross,100,65,33,1065,0.2,cross/offaxis/l0.2,0.107,2.6466,0.107,11
13,cross,100,65,33,1065,0.4,cross/offaxis/l0.4,0.118,2.6449,0.118,11
14,cross,100,65,33,1065,1.0,cross/offaxis/l1,0.0921,1.4572,0.087,18
15,cross,100,65,33,65,0.05,cross/offaxis/l0.05,0.0679,2.2477,0.0619,18
16,cross,100,65,33,65,0.1,cross/offaxis/l0.1,0.0656,2.2472,0.0595,18
17,cross,100,65,33,65,0.2,cross/offaxis/l0.2,0.0683,2.1543,0.0595,18
18,cross,100,65,33,65,0.4,cross/offaxis/l0.4,0.0974,1.8929,0.0879,18
19,cross,100,65,33,65,1.0,cross/offaxis/l1,0.0983,1.4572,0.0983,18
20,cross,100,65,16,65,0.05,cross/offaxis/l0.05,0.0679,2.7867,0.0679,12
21,cross,100,65,16,65,0.1,cross/offaxis/l0.1,0.0973,2.7014,0.0973,11
22,cross,100,65,16,65,0.2,cross/offaxis/l0.2,0.1169,2.5542,0.1169,10
23,cross,100,65,16,65,0.4,cross/offaxis/l0.4,0.1125,2.0069,0.1125,10
24,cross,100,65,16,65,1.0,cross/offaxis/l1,0.0807,1.4531,0.0807,18
25,cross,77,65,100,3065,0.05,cross/offaxis/l0.05,1.0,1.8302,1.0,0
26,cross,77,65,100,3065,0.1,cross/offaxis/l0.1,1.0,1.8398,1.0,0
27,cross,77,65,100,3065,0.2,cross/offaxis/l0.2,1.0,1.8267,1.0,0
28,cross,77,65,100,3065,0.4,cross/offaxis/l0.4,1.0,1.9275,1.0,0
29,cross,77,65,100,3065,1.0,cross/offaxis/l1,0.3081,1.9374,0.2091,7
30,cross,77,65,178,65,0.05,cross/offaxis/l0.05,1.0,1.8471,1.0,0
31,cross,77,65,178,65,0.1,cross/offaxis/l0.1,1.0,1.8778,1.0,0
32,cross,77,65,178,65,0.2,cross/offaxis/l0.2,1.0,1.9679,1.0,0
33,cross,77,65,178,65,0.4,cross/offaxis/l0.4,1.0,2.1911,1.0,0
34,cross,77,65,178,65,1.0,cross/offaxis/l1,0.305,1.9383,0.2967,7
35,cross,77,65,33,1065,0.05,cross/offaxis/l0.05,1.0,1.8233,1.0,0
