[pool] eligible 168 clusters; qualified (span>=56d, top50>=40.0%, nofp<=10.0%): 12 shown top 12

 cluster n_sample  span_d top50_pct nofp_pct
      96  586,916      89      42.7     0.04
     100  206,846      90      77.2     0.03
      31   88,308      90      53.7     1.06
      77   77,060      90      40.2     4.04
     178   57,775      90      69.0     7.73
      33   43,041      90      67.2     0.46
       3   36,437      89     100.0     0.00
      11   34,128      90      53.8     0.00
      56   28,525      89      98.3     0.00
      16   27,896      90      83.5     1.52
      53   24,490      89      56.5     9.15
      14   19,537      89      68.9     0.08

# download:
for id in 96 100 31 77 178 33 3 11 56 16 53 14; do curl -L -o data/cluster_$id.parquet https://s3.amazonaws.com/redshift-downloads/redset/provisioned/parts/$id.parquet; done
