cand_id,stratum,policy,hit,fa
0,cross/aligned,always_multiD,1,11
0,cross/aligned,union4_bonf,1,11
0,cross/aligned,dci_v3,1,11
0,cross/aligned,dci_v3_a8,1,11
0,cross/aligned,best_axis_oracle,1,0
0,cross/aligned,every_k2,1,5
0,cross/aligned,adwin,0,0
0,cross/aligned,mcusum,1,11
0,cross/aligned,sketch1,1,11
1,cross/aligned,always_multiD,1,2
1,cross/aligned,union4_bonf,1,0
1,cross/aligned,dci_v3,1,0
1,cross/aligned,dci_v3_a8,1,0
1,cross/aligned,best_axis_oracle,1,0
1,cross/aligned,every_k2,1,1
1,cross/aligned,adwin,0,0
1,cross/aligned,mcusum,0,0
1,cross/aligned,sketch1,0,0
2,cross/aligned,always_multiD,1,11
2,cross/aligned,union4_bonf,1,11
2,cross/aligned,dci_v3,1,11
2,cross/aligned,dci_v3_a8,1,11
2,cross/aligned,best_axis_oracle,1,11
2,cross/aligned,every_k2,1,5
2,cross/aligned,adwin,0,0
2,cross/aligned,mcusum,1,11
2,cross/aligned,sketch1,1,11
3,cross/aligned,always_multiD,1,13
3,cross/aligned,union4_bonf,1,13
3,cross/aligned,dci_v3,1,13
3,cross/aligned,dci_v3_a8,1,13
3,cross/aligned,best_axis_oracle,1,0
3,cross/aligned,every_k2,1,6
3,cross/aligned,adwin,0,0
3,cross/aligned,mcusum,1,11
3,cross/aligned,sketch1,1,13
4,cross/aligned,always_multiD,1,11
4,cross/aligned,union4_bonf,1,11
4,cross/aligned,dci_v3,1,11
4,cross/aligned,dci_v3_a8,1,11
4,cross/aligned,best_axis_oracle,1,0
4,cross/aligned,every_k2,0,6
4,cross/aligned,adwin,0,0
4,cross/aligned,mcusum,1,11
4,cross/aligned,sketch1,1,11
5,cross/aligned,always_multiD,1,11
5,cross/aligned,union4_bonf,1,0
5,cross/aligned,dci_v3,1,5
5,cross/aligned,dci_v3_a8,1,5
5,cross/aligned,best_axis_oracle,1,0
5,cross/aligned,every_k2,1,5
5,cross/aligned,adwin,0,0
5,cross/aligned,mcusum,0,0
5,cross/aligned,sketch1,0,0
6,cross/aligned,always_multiD,1,15
6,cross/aligned,union4_bonf,1,15
6,cross/aligned,dci_v3,1,15
6,cross/aligned,dci_v3_a8,1,15
6,cross/aligned,best_axis_oracle,1,4
6,cross/aligned,every_k2,1,7
6,cross/aligned,adwin,0,0
6,cross/aligned,mcusum,1,15
6,cross/aligned,sketch1,1,4
7,cross/aligned,always_multiD,1,11
7,cross/aligned,union4_bonf,1,11
7,cross/aligned,dci_v3,1,11
7,cross/aligned,dci_v3_a8,1,11
7,cross/aligned,best_axis_oracle,1,5
7,cross/aligned,every_k2,0,6
7,cross/aligned,adwin,0,0
7,cross/aligned,mcusum,1,11
7,cross/aligned,sketch1,1,0
8,cross/aligned,always_multiD,1,12
8,cross/aligned,union4_bonf,1,11
8,cross/aligned,dci_v3,1,11
8,cross/aligned,dci_v3_a8,1,11
8,cross/aligned,best_axis_oracle,1,11
8,cross/aligned,every_k2,0,6
8,cross/aligned,adwin,0,0
8,cross/aligned,mcusum,1,11
8,cross/aligned,sketch1,1,11
9,cross/aligned,always_multiD,1,15
9,cross/aligned,union4_bonf,1,15
9,cross/aligned,dci_v3,1,15
9,cross/aligned,dci_v3_a8,1,15
9,cross/aligned,best_axis_oracle,1,15
9,cross/aligned,every_k2,0,8
9,cross/aligned,adwin,0,0
9,cross/aligned,mcusum,1,15
9,cross/aligned,sketch1,1,15
10,cross/aligned,always_multiD,1,15
10,cross/aligned,union4_bonf,1,17
10,cross/aligned,dci_v3,1,17
10,cross/aligned,dci_v3_a8,1,17
10,cross/aligned,best_axis_oracle,1,10
10,cross/aligned,every_k2,1,7
10,cross/aligned,adwin,0,0
10,cross/aligned,mcusum,1,15
10,cross/aligned,sketch1,1,12
11,cross/aligned,always_multiD,1,7
11,cross/aligned,union4_bonf,1,1
11,cross/aligned,dci_v3,1,1
11,cross/aligned,dci_v3_a8,1,2
11,cross/aligned,best_axis_oracle,1,2
11,cross/aligned,every_k2,0,3
11,cross/aligned,adwin,0,0
11,cross/aligned,mcusum,0,0
11,cross/aligned,sketch1,0,0
12,cross/aligned,always_multiD,1,17
12,cross/aligned,union4_bonf,1,17
12,cross/aligned,dci_v3,1,17
12,cross/aligned,dci_v3_a8,1,17
12,cross/aligned,best_axis_oracle,1,11
12,cross/aligned,every_k2,1,7
12,cross/aligned,adwin,0,0
12,cross/aligned,mcusum,1,12
12,cross/aligned,sketch1,1,16
13,cross/aligned,always_multiD,1,6
13,cross/aligned,union4_bonf,1,0
13,cross/aligned,dci_v3,1,0
13,cross/aligned,dci_v3_a8,1,0
13,cross/aligned,best_axis_oracle,1,0
13,cross/aligned,every_k2,0,3
13,cross/aligned,adwin,0,0
13,cross/aligned,mcusum,0,0
13,cross/aligned,sketch1,0,0
14,cross/aligned,always_multiD,1,11
14,cross/aligned,union4_bonf,1,11
14,cross/aligned,dci_v3,1,11
14,cross/aligned,dci_v3_a8,1,11
14,cross/aligned,best_axis_oracle,1,11
14,cross/aligned,every_k2,1,5
14,cross/aligned,adwin,0,0
14,cross/aligned,mcusum,1,11
14,cross/aligned,sketch1,1,11
15,cross/aligned,always_multiD,1,13
15,cross/aligned,union4_bonf,1,11
15,cross/aligned,dci_v3,1,11
15,cross/aligned,dci_v3_a8,1,12
15,cross/aligned,best_axis_oracle,1,11
15,cross/aligned,every_k2,1,6
15,cross/aligned,adwin,0,0
15,cross/aligned,mcusum,1,11
15,cross/aligned,sketch1,1,11
16,cross/aligned,always_multiD,1,8
16,cross/aligned,union4_bonf,1,0
16,cross/aligned,dci_v3,1,0
16,cross/aligned,dci_v3_a8,1,1
16,cross/aligned,best_axis_oracle,1,1
16,cross/aligned,every_k2,0,5
16,cross/aligned,adwin,0,0
16,cross/aligned,mcusum,0,2
16,cross/aligned,sketch1,0,0
17,cross/aligned,always_multiD,1,11
17,cross/aligned,union4_bonf,1,11
17,cross/aligned,dci_v3,1,11
17,cross/aligned,dci_v3_a8,1,11
17,cross/aligned,best_axis_oracle,1,11
17,cross/aligned,every_k2,1,5
17,cross/aligned,adwin,0,0
17,cross/aligned,mcusum,1,11
17,cross/aligned,sketch1,1,11
18,cross/aligned,always_multiD,1,11
18,cross/aligned,union4_bonf,1,11
18,cross/aligned,dci_v3,1,11
18,cross/aligned,dci_v3_a8,1,11
18,cross/aligned,best_axis_oracle,1,11
18,cross/aligned,every_k2,0,6
18,cross/aligned,adwin,0,0
18,cross/aligned,mcusum,1,11
18,cross/aligned,sketch1,0,9
19,cross/aligned,always_multiD,1,11
19,cross/aligned,union4_bonf,1,11
19,cross/aligned,dci_v3,1,11
19,cross/aligned,dci_v3_a8,1,11
19,cross/aligned,best_axis_oracle,1,11
19,cross/aligned,every_k2,0,6
19,cross/aligned,adwin,0,0
19,cross/aligned,mcusum,1,11
19,cross/aligned,sketch1,1,11
20,cross/aligned,always_multiD,1,15
20,cross/aligned,union4_bonf,1,15
20,cross/aligned,dci_v3,1,15
20,cross/aligned,dci_v3_a8,1,15
20,cross/aligned,best_axis_oracle,1,11
20,cross/aligned,every_k2,1,7
20,cross/aligned,adwin,0,0
20,cross/aligned,mcusum,1,15
20,cross/aligned,sketch1,1,15
21,cross/aligned,always_multiD,1,17
21,cross/aligned,union4_bonf,1,17
21,cross/aligned,dci_v3,1,17
21,cross/aligned,dci_v3_a8,1,17
21,cross/aligned,best_axis_oracle,1,11
21,cross/aligned,every_k2,1,7
21,cross/aligned,adwin,0,0
21,cross/aligned,mcusum,1,12
21,cross/aligned,sketch1,1,16
22,cross/aligned,always_multiD,1,13
22,cross/aligned,union4_bonf,1,11
22,cross/aligned,dci_v3,1,11
22,cross/aligned,dci_v3_a8,1,11
22,cross/aligned,best_axis_oracle,1,11
22,cross/aligned,every_k2,1,6
22,cross/aligned,adwin,0,0
22,cross/aligned,mcusum,1,11
22,cross/aligned,sketch1,1,11
23,cross/aligned,always_multiD,1,15
23,cross/aligned,union4_bonf,1,15
23,cross/aligned,dci_v3,1,15
23,cross/aligned,dci_v3_a8,1,15
23,cross/aligned,best_axis_oracle,1,15
23,cross/aligned,every_k2,0,8
23,cross/aligned,adwin,0,0
23,cross/aligned,mcusum,1,15
23,cross/aligned,sketch1,1,15
24,cross/aligned,always_multiD,1,11
24,cross/aligned,union4_bonf,1,11
24,cross/aligned,dci_v3,1,11
24,cross/aligned,dci_v3_a8,1,11
24,cross/aligned,best_axis_oracle,1,11
24,cross/aligned,every_k2,1,5
24,cross/aligned,adwin,0,0
24,cross/aligned,mcusum,1,11
24,cross/aligned,sketch1,1,11
25,cross/aligned,always_multiD,1,11
25,cross/aligned,union4_bonf,1,11
25,cross/aligned,dci_v3,1,11
25,cross/aligned,dci_v3_a8,1,11
25,cross/aligned,best_axis_oracle,1,2
25,cross/aligned,every_k2,1,5
25,cross/aligned,adwin,0,0
25,cross/aligned,mcusum,1,11
25,cross/aligned,sketch1,1,11
26,cross/aligned,always_multiD,1,11
26,cross/aligned,union4_bonf,1,11
26,cross/aligned,dci_v3,1,11
26,cross/aligned,dci_v3_a8,1,11
26,cross/aligned,best_axis_oracle,1,11
26,cross/aligned,every_k2,0,6
26,cross/aligned,adwin,0,0
26,cross/aligned,mcusum,1,11
26,cross/aligned,sketch1,1,11
27,cross/aligned,always_multiD,1,11
27,cross/aligned,union4_bonf,1,11
27,cross/aligned,dci_v3,1,11
27,cross/aligned,dci_v3_a8,1,11
27,cross/aligned,best_axis_oracle,1,11
27,cross/aligned,every_k2,0,6
27,cross/aligned,adwin,0,0
27,cross/aligned,mcusum,1,11
27,cross/aligned,sketch1,1,11
28,cross/aligned,always_multiD,1,12
28,cross/aligned,union4_bonf,1,11
28,cross/aligned,dci_v3,1,11
28,cross/aligned,dci_v3_a8,1,11
28,cross/aligned,best_axis_oracle,1,11
28,cross/aligned,every_k2,0,6
28,cross/aligned,adwin,0,0
