id,arm,cluster_a,start_a,cluster_b,start_b,R_at_onset,DCI_at_onset,minR_onset_p2,esc_windows,b_SR,b_SV,b_ST,b_SA,b_SP
0,cross,96,30065,100,5065,0.7179,1.0,0.5216,6,0.4288,1.0,0.0,0.0,0.8879
1,cross,96,45065,100,6065,1.0,2.2408,1.0,0,0.3983,1.0,0.0,0.0,0.8879
2,cross,96,55065,100,16065,0.9295,1.0,0.9287,0,0.4559,1.0,0.0,0.0,0.8165
3,cross,96,17065,100,7065,0.9656,1.0001,0.9637,0,0.4289,1.0,0.0,0.0,0.8879
4,cross,96,33065,100,10065,0.965,1.0,0.9638,0,0.4305,1.0,0.0,0.0,0.8879
5,cross,96,39065,100,12065,1.2624,1.8366,0.7496,5,0.4188,1.0,0.0,0.0,0.8879
6,cross,96,24065,100,15065,0.7482,1.0,0.7482,0,0.3852,1.0,0.0,0.0,0.8879
7,cross,96,26065,100,13065,0.522,1.0001,0.522,0,0.3503,1.0,0.0,0.0,0.9101
8,cross,96,37065,100,65,0.8427,1.0,0.8426,0,0.4642,1.0,0.0,0.0,0.5804
9,cross,96,24065,100,20065,0.7482,1.0,0.7482,0,0.4411,1.0,0.0,0.0,0.8479
10,cross,96,8065,100,18065,0.9048,1.0,0.9048,0,0.4385,1.0,0.0,0.0,0.8879
11,cross,96,4065,31,6065,1.0,1.0894,1.0,0,0.4409,1.0,0.0,0.0,0.6519
12,cross,96,1065,31,1065,0.5976,1.5786,0.5604,0,0.345,1.0,0.0,0.0,0.8071
13,cross,96,45065,31,2065,1.0,2.2627,1.0,1,0.4494,1.0,0.0,0.0,0.629
14,cross,96,26065,31,1065,0.5222,1.0001,0.5222,0,0.3146,1.0,0.0,0.0,0.8071
15,cross,96,48065,31,8065,0.4378,1.0001,0.4378,0,0.4104,1.0,0.0,0.0,0.7655
16,cross,96,35065,31,1065,1.0,1.0716,1.0,0,0.3877,1.0,0.0,0.0,0.8071
17,cross,96,26065,31,2065,0.5216,1.0001,0.5216,0,0.4134,1.0,0.0,0.0,0.629
18,cross,96,20065,31,2065,0.7009,1.0,0.5605,0,0.4494,1.0,0.0,0.0,0.629
19,cross,96,11065,31,65,0.6091,1.0001,0.6091,0,0.4111,1.0,0.0,0.0,0.7777
20,cross,96,56065,31,65,0.9528,1.0005,0.9484,9,0.4111,1.0,0.0,0.0,0.7777
21,cross,96,1065,31,6065,0.6134,1.6025,0.5835,0,0.4171,1.0,0.0,0.0,0.6519
22,cross,96,48065,77,7065,0.4375,1.0001,0.4375,0,0.4597,1.0,0.0,0.0,0.7976
23,cross,96,24065,77,65,0.7482,1.0,0.7482,0,0.4089,1.0,0.0,0.0,0.8526
24,cross,96,57065,77,4065,0.695,1.0003,0.695,0,0.4638,1.0,0.0,0.0,0.5983
25,cross,96,18065,77,7065,0.3962,1.0001,0.3962,0,0.4597,1.0,0.0,0.0,0.7976
26,cross,96,23065,77,4065,0.7891,1.0,0.7891,0,0.4638,1.0,0.0,0.0,0.5983
27,cross,96,57065,77,7065,0.6951,1.0003,0.6951,0,0.4597,1.0,0.0,0.0,0.7976
