workload,config,seed,dci_raw,dci_w,auc_multiD,auc_w1D,auc_raw1D_best,gap_md_w1,vargap_md_w1,dci_w_r1e-08,dci_w_r1e-06,dci_w_r0.0001,dci_w_r0.01
tpch,template_only,0,1.006417,1.006417,0.916667,0.916667,0.916667,0.0,0.0,1.006417,1.006417,1.006417,1.006417
tpch,template_only,1,1.015791,1.015791,1.0,1.0,1.0,0.0,0.0,1.015791,1.015791,1.015791,1.015791
tpch,template_only,2,1.074935,1.074935,1.0,1.0,1.0,0.0,0.0,1.074935,1.074935,1.074935,1.074935
tpch,template_only,3,1.009869,1.009869,1.0,1.0,1.0,0.0,0.0,1.009869,1.009869,1.009869,1.009869
tpch,template_only,4,1.011753,1.011753,1.0,1.0,1.0,0.0,0.0,1.011753,1.011753,1.011753,1.011753
tpch,template_only,5,1.03955,1.03955,1.0,1.0,1.0,0.0,0.0,1.03955,1.03955,1.03955,1.03955
tpch,template_only,6,1.013903,1.013903,1.0,1.0,1.0,0.0,0.0,1.013903,1.013903,1.013903,1.013903
tpch,template_only,7,1.006748,1.006748,1.0,1.0,1.0,0.0,0.0,1.006748,1.006748,1.006748,1.006748
tpch,template_only,8,1.022563,1.022563,1.0,1.0,1.0,0.0,0.0,1.022563,1.022563,1.022563,1.022563
tpch,template_only,9,1.047924,1.047924,1.0,1.0,1.0,0.0,0.0,1.047924,1.047924,1.047924,1.047924
tpch,template_only,10,1.037409,1.037409,1.0,1.0,1.0,0.0,0.0,1.037409,1.037409,1.037409,1.037409
tpch,template_only,11,1.025227,1.025227,1.0,1.0,1.0,0.0,0.0,1.025227,1.025227,1.025227,1.025227
tpch,template_only,12,1.040259,1.040259,1.0,1.0,1.0,0.0,0.0,1.040259,1.040259,1.040259,1.040259
tpch,template_only,13,1.02314,1.02314,1.0,1.0,1.0,0.0,0.0,1.02314,1.02314,1.02314,1.02314
tpch,template_only,14,1.008845,1.008845,1.0,1.0,1.0,0.0,0.0,1.008845,1.008845,1.008845,1.008845
tpch,template_only,15,1.014874,1.014874,1.0,1.0,1.0,0.0,0.0,1.014874,1.014874,1.014874,1.014874
tpch,template_only,16,1.042526,1.042526,1.0,1.0,1.0,0.0,0.0,1.042526,1.042526,1.042526,1.042526
tpch,template_only,17,1.010032,1.010032,1.0,1.0,1.0,0.0,0.0,1.010032,1.010032,1.010032,1.010032
tpch,template_only,18,1.01692,1.01692,1.0,1.0,1.0,0.0,0.0,1.01692,1.01692,1.01692,1.01692
tpch,template_only,19,1.019098,1.019098,1.0,1.0,1.0,0.0,0.0,1.019098,1.019098,1.019098,1.019098
tpch,template_only,20,1.03273,1.03273,1.0,1.0,1.0,0.0,0.0,1.03273,1.03273,1.03273,1.03273
tpch,template_only,21,1.024676,1.024676,1.0,1.0,1.0,0.0,0.0,1.024676,1.024676,1.024676,1.024676
tpch,template_only,22,1.00147,1.00147,1.0,1.0,1.0,0.0,0.0,1.00147,1.00147,1.00147,1.00147
tpch,template_only,23,1.031313,1.031313,1.0,1.0,1.0,0.0,0.0,1.031313,1.031313,1.031313,1.031313
tpch,template_only,24,1.019634,1.019634,1.0,1.0,1.0,0.0,0.0,1.019634,1.019634,1.019634,1.019634
tpch,template_only,25,1.016342,1.016342,1.0,1.0,1.0,0.0,0.0,1.016342,1.016342,1.016342,1.016342
tpch,template_only,26,1.032292,1.032292,1.0,1.0,1.0,0.0,0.0,1.032292,1.032292,1.032292,1.032292
tpch,template_only,27,1.036545,1.036545,1.0,1.0,1.0,0.0,0.0,1.036545,1.036545,1.036545,1.036545
tpch,template_only,28,1.083567,1.083567,1.0,1.0,1.0,0.0,0.0,1.083567,1.083567,1.083567,1.083567
tpch,template_only,29,1.022338,1.022338,1.0,1.0,1.0,0.0,0.0,1.022338,1.022338,1.022338,1.022338
tpch,template_only,30,1.017296,1.017296,1.0,1.0,1.0,0.0,0.0,1.017296,1.017296,1.017296,1.017296
tpch,template_only,31,1.03705,1.03705,1.0,1.0,1.0,0.0,0.0,1.03705,1.03705,1.03705,1.03705
tpch,template_only,32,1.026701,1.026701,1.0,1.0,1.0,0.0,0.0,1.026701,1.026701,1.026701,1.026701
tpch,template_only,33,1.033129,1.033129,1.0,1.0,1.0,0.0,0.0,1.033129,1.033129,1.033129,1.033129
tpch,template_only,34,1.013445,1.013445,1.0,1.0,1.0,0.0,0.0,1.013445,1.013445,1.013445,1.013445
tpch,template_only,35,1.024882,1.024882,1.0,1.0,1.0,0.0,0.0,1.024882,1.024882,1.024882,1.024882
tpch,template_only,36,1.026584,1.026584,1.0,1.0,1.0,0.0,0.0,1.026584,1.026584,1.026584,1.026584
tpch,template_only,37,1.017789,1.017789,1.0,1.0,1.0,0.0,0.0,1.017789,1.017789,1.017789,1.017789
tpch,template_only,38,1.005426,1.005426,1.0,1.0,1.0,0.0,0.0,1.005426,1.005426,1.005426,1.005426
tpch,template_only,39,1.011909,1.011909,1.0,1.0,1.0,0.0,0.0,1.011909,1.011909,1.011909,1.011909
tpch,template_only,40,1.011847,1.011847,0.916667,0.916667,0.916667,0.0,0.0,1.011847,1.011847,1.011847,1.011847
tpch,template_only,41,1.010189,1.010189,0.916667,0.916667,0.916667,0.0,0.0,1.010189,1.010189,1.010189,1.010189
tpch,template_only,42,1.04315,1.04315,1.0,1.0,1.0,0.0,0.0,1.04315,1.04315,1.04315,1.04315
tpch,template_only,43,1.037732,1.037732,1.0,1.0,1.0,0.0,0.0,1.037732,1.037732,1.037732,1.037732
tpch,template_only,44,1.010414,1.010414,1.0,1.0,1.0,0.0,0.0,1.010414,1.010414,1.010414,1.010414
tpch,template_only,45,1.037464,1.037464,1.0,1.0,1.0,0.0,0.0,1.037464,1.037464,1.037464,1.037464
tpch,template_only,46,1.053085,1.053085,1.0,1.0,1.0,0.0,0.0,1.053085,1.053085,1.053085,1.053085
tpch,template_only,47,1.010623,1.010623,1.0,1.0,1.0,0.0,0.0,1.010623,1.010623,1.010623,1.010623
tpch,template_only,48,1.007793,1.007793,1.0,1.0,1.0,0.0,0.0,1.007793,1.007793,1.007793,1.007793
tpch,template_only,49,1.018022,1.018022,1.0,1.0,1.0,0.0,0.0,1.018022,1.018022,1.018022,1.018022
tpch,volume_only,0,1.668392,1.010154,1.0,1.0,1.0,0.0,0.0,1.010137,1.010154,1.011865,1.099382
tpch,volume_only,1,1.414334,1.006862,1.0,1.0,1.0,0.0,0.0,1.006845,1.006862,1.008526,1.08178
tpch,volume_only,2,1.391346,1.008556,1.0,1.0,1.0,0.0,0.0,1.008547,1.008556,1.009463,1.063606
tpch,volume_only,3,1.534528,1.00515,1.0,1.0,1.0,0.0,0.0,1.005117,1.00515,1.008303,1.096424
tpch,volume_only,4,1.286703,1.006604,1.0,1.0,1.0,0.0,0.0,1.006578,1.006604,1.009023,1.064691
tpch,volume_only,5,1.552059,1.006864,1.0,1.0,1.0,0.0,0.0,1.006845,1.006864,1.008724,1.093185
tpch,volume_only,6,1.612176,1.009086,1.0,1.0,1.0,0.0,0.0,1.009068,1.009086,1.01088,1.100578
