workload,config,seed,policy,n,onsets,recall,recall_lag3,mean_delay,T_hits,T_n,V_hits,V_n,fa,fa_lag3,auc,feat_ms_per_win,feat_pct,arith_s,note
tpch,template_only,0,dci_v2_P1,41,6,0.8333,0.8333,0.0,5,6,0,0,0,0,0.9095,2.32325,100.0,0.00137,
tpch,template_only,0,dci_v2_P2,41,6,0.8333,0.8333,0.0,5,6,0,0,0,0,0.9214,1.25067,53.83,0.00114,
tpch,template_only,0,dci_v2_P4,41,6,0.8333,0.8333,0.0,5,6,0,0,0,0,0.9214,0.74261,31.96,0.00105,
tpch,template_only,0,dci_v2_P8,41,6,0.8333,0.8333,0.0,5,6,0,0,0,0,0.9214,0.46035,19.82,0.00104,
tpch,template_only,0,dci_v1,41,6,0.8333,0.8333,0.0,5,6,0,0,0,0,0.9619,2.32325,100.0,0.0039,
tpch,template_only,0,always_multiD,41,6,0.8333,0.8333,0.0,5,6,0,0,0,0,0.9167,2.32325,100.0,0.00075,
tpch,template_only,0,best_axis_oracle,41,6,0.8333,0.8333,0.0,5,6,0,0,0,0,0.9167,0.09575,4.12,0.00231,S_R
tpch,template_only,0,union4_raw,41,6,0.8333,0.8333,0.0,5,6,0,0,0,0,0.9167,0.11528,4.96,0.00195,
tpch,template_only,0,union4_bonf,41,6,0.8333,0.8333,0.0,5,6,0,0,0,0,0.9167,0.11528,4.96,0.00196,
tpch,template_only,0,every_k2,41,6,0.8333,0.8333,0.0,5,6,0,0,0,0,,1.13329,48.78,6e-05,offset=1
tpch,template_only,0,every_k3,41,6,0.0,0.0,,0,6,0,0,0,0,,0.79331,34.15,3e-05,offset=1
tpch,template_only,0,every_k4,41,6,0.5,0.5,0.0,3,6,0,0,0,0,,0.56665,24.39,2e-05,offset=1
tpch,template_only,0,adwin,41,6,0.0,0.0,,0,6,0,0,0,0,,2.32325,100.0,0.07232,
tpch,template_only,0,adwin_s,41,6,0.0,0.0,,0,6,0,0,0,0,,2.32325,100.0,2e-05,
tpch,template_only,0,mcusum,41,6,0.8333,0.8333,0.0,5,6,0,0,0,0,0.9167,2.32325,100.0,6e-05,
tpch,template_only,0,sketch1,41,6,0.8333,0.8333,0.0,5,6,0,0,0,0,0.9167,2.32325,100.0,0.00079,
tpch,template_only,1,dci_v2_P1,41,6,1.0,1.0,0.0,6,6,0,0,0,0,1.0,2.32325,100.0,0.00109,
tpch,template_only,1,dci_v2_P2,41,6,1.0,1.0,0.0,6,6,0,0,0,0,1.0,1.25067,53.83,0.00111,
tpch,template_only,1,dci_v2_P4,41,6,1.0,1.0,0.0,6,6,0,0,0,0,1.0,0.74261,31.96,0.00105,
tpch,template_only,1,dci_v2_P8,41,6,1.0,1.0,0.0,6,6,0,0,0,0,1.0,0.46035,19.82,0.00102,
tpch,template_only,1,dci_v1,41,6,1.0,1.0,0.0,6,6,0,0,0,0,1.0,2.32325,100.0,0.00164,
tpch,template_only,1,always_multiD,41,6,1.0,1.0,0.0,6,6,0,0,0,0,1.0,2.32325,100.0,0.00074,
tpch,template_only,1,best_axis_oracle,41,6,1.0,1.0,0.0,6,6,0,0,0,0,1.0,0.09575,4.12,0.00231,S_R
tpch,template_only,1,union4_raw,41,6,1.0,1.0,0.0,6,6,0,0,0,0,1.0,0.11528,4.96,0.00194,
tpch,template_only,1,union4_bonf,41,6,1.0,1.0,0.0,6,6,0,0,0,0,1.0,0.11528,4.96,0.00195,
tpch,template_only,1,every_k2,41,6,1.0,1.0,0.0,6,6,0,0,0,0,,1.13329,48.78,7e-05,offset=1
tpch,template_only,1,every_k3,41,6,0.0,0.0,,0,6,0,0,0,0,,0.79331,34.15,3e-05,offset=1
tpch,template_only,1,every_k4,41,6,0.0,0.0,,0,6,0,0,0,0,,0.56665,24.39,2e-05,offset=2
tpch,template_only,1,adwin,41,6,0.0,0.0,,0,6,0,0,0,0,,2.32325,100.0,2e-05,
tpch,template_only,1,adwin_s,41,6,0.0,0.0,,0,6,0,0,0,0,,2.32325,100.0,2e-05,
tpch,template_only,1,mcusum,41,6,1.0,1.0,0.0,6,6,0,0,0,0,1.0,2.32325,100.0,6e-05,
tpch,template_only,1,sketch1,41,6,1.0,1.0,0.0,6,6,0,0,0,0,1.0,2.32325,100.0,0.00075,
tpch,template_only,2,dci_v2_P1,41,6,1.0,1.0,0.0,6,6,0,0,0,0,1.0,2.32325,100.0,0.00105,
