geom,delta,seed,policy,recall,fa,auc,esc_pct,feat_pct,note
axis_sv,2.5,0,always_multiD,0.3333,1,0.8476,100.0,100.0,
axis_sv,2.5,0,union4_bonf,0.6667,3,0.8905,0.0,4.96,
axis_sv,2.5,0,best_axis_oracle,0.8333,0,0.9048,0.0,0.01,S_V
axis_sv,2.5,0,sketch1,0.3333,1,0.8095,0.0,100.0,
axis_sv,2.5,0,dci_v3,0.6667,3,0.8905,0.0,4.96,
axis_sv,2.5,0,dci_v3_a8,0.5,3,0.8381,12.2,16.55,
axis_sv,2.5,1,always_multiD,0.1667,1,0.8238,100.0,100.0,
axis_sv,2.5,1,union4_bonf,0.6667,2,0.8905,0.0,4.96,
axis_sv,2.5,1,best_axis_oracle,0.8333,1,0.981,0.0,0.01,S_V
axis_sv,2.5,1,sketch1,0.3333,1,0.8429,0.0,100.0,
axis_sv,2.5,1,dci_v3,0.6667,2,0.8905,0.0,4.96,
axis_sv,2.5,1,dci_v3_a8,0.5,1,0.8762,12.2,16.55,
axis_sv,2.5,2,always_multiD,0.8333,1,0.9571,100.0,100.0,
axis_sv,2.5,2,union4_bonf,0.6667,2,0.9571,0.0,4.96,
axis_sv,2.5,2,best_axis_oracle,0.8333,2,0.9714,0.0,0.01,S_V
axis_sv,2.5,2,sketch1,0.6667,3,0.8,0.0,100.0,
axis_sv,2.5,2,dci_v3,0.6667,2,0.9571,0.0,4.96,
axis_sv,2.5,2,dci_v3_a8,1.0,2,0.9571,12.2,16.55,
axis_sv,2.5,3,always_multiD,0.1667,1,0.7048,100.0,100.0,
axis_sv,2.5,3,union4_bonf,0.5,2,0.7286,0.0,4.96,
axis_sv,2.5,3,best_axis_oracle,0.6667,3,0.8667,0.0,0.01,S_V
axis_sv,2.5,3,sketch1,0.0,2,0.519,0.0,100.0,
axis_sv,2.5,3,dci_v3,0.5,2,0.7286,0.0,4.96,
axis_sv,2.5,3,dci_v3_a8,0.3333,2,0.6857,12.2,16.55,
axis_sv,2.5,4,always_multiD,0.0,1,0.7476,100.0,100.0,
axis_sv,2.5,4,union4_bonf,0.3333,1,0.7476,0.0,4.96,
axis_sv,2.5,4,best_axis_oracle,0.5,5,0.8,0.0,0.01,S_V
axis_sv,2.5,4,sketch1,0.0,3,0.5905,0.0,100.0,
axis_sv,2.5,4,dci_v3,0.3333,1,0.7476,0.0,4.96,
axis_sv,2.5,4,dci_v3_a8,0.3333,1,0.7667,14.6,18.87,
axis_sv,2.5,5,always_multiD,0.5,0,0.8905,100.0,100.0,
axis_sv,2.5,5,union4_bonf,0.5,1,0.9095,0.0,4.96,
axis_sv,2.5,5,best_axis_oracle,0.8333,3,0.9524,0.0,0.01,S_V
axis_sv,2.5,5,sketch1,0.3333,1,0.7,0.0,100.0,
axis_sv,2.5,5,dci_v3,0.5,1,0.9095,0.0,4.96,
axis_sv,2.5,5,dci_v3_a8,0.5,1,0.9476,12.2,16.55,
axis_sv,2.5,6,always_multiD,0.1667,1,0.7238,100.0,100.0,
axis_sv,2.5,6,union4_bonf,0.1667,1,0.7143,0.0,4.96,
axis_sv,2.5,6,best_axis_oracle,0.5,1,0.7762,0.0,0.01,S_V
axis_sv,2.5,6,sketch1,0.1667,1,0.581,0.0,100.0,
axis_sv,2.5,6,dci_v3,0.1667,1,0.7143,0.0,4.96,
axis_sv,2.5,6,dci_v3_a8,0.1667,1,0.7429,14.6,18.87,
axis_sv,2.5,7,always_multiD,0.6667,1,0.9238,100.0,100.0,
axis_sv,2.5,7,union4_bonf,0.8333,2,0.9429,0.0,4.96,
axis_sv,2.5,7,best_axis_oracle,0.8333,2,0.8857,0.0,0.01,S_V
axis_sv,2.5,7,sketch1,0.5,4,0.8381,0.0,100.0,
axis_sv,2.5,7,dci_v3,0.8333,2,0.9429,0.0,4.96,
axis_sv,2.5,7,dci_v3_a8,0.8333,2,0.9524,12.2,16.55,
axis_sv,2.5,8,always_multiD,0.8333,1,0.9762,100.0,100.0,
axis_sv,2.5,8,union4_bonf,0.8333,2,0.9857,0.0,4.96,
axis_sv,2.5,8,best_axis_oracle,1.0,3,0.9952,0.0,0.01,S_V
axis_sv,2.5,8,sketch1,0.1667,0,0.9381,0.0,100.0,
axis_sv,2.5,8,dci_v3,0.8333,2,0.9857,0.0,4.96,
axis_sv,2.5,8,dci_v3_a8,0.8333,3,0.9857,14.6,18.87,
axis_sv,2.5,9,always_multiD,0.1667,1,0.719,100.0,100.0,
axis_sv,2.5,9,union4_bonf,0.5,0,0.8905,0.0,4.96,
axis_sv,2.5,9,best_axis_oracle,0.8333,2,0.9667,0.0,0.01,S_V
axis_sv,2.5,9,sketch1,0.3333,0,0.6667,0.0,100.0,
axis_sv,2.5,9,dci_v3,0.5,0,0.8905,0.0,4.96,
axis_sv,2.5,9,dci_v3_a8,0.3333,0,0.8,12.2,16.55,
axis_sv,2.5,10,always_multiD,0.3333,4,0.7476,100.0,100.0,
axis_sv,2.5,10,union4_bonf,0.5,4,0.8143,0.0,4.96,
axis_sv,2.5,10,best_axis_oracle,0.6667,3,0.9333,0.0,0.01,S_V
axis_sv,2.5,10,sketch1,0.5,3,0.6429,0.0,100.0,
axis_sv,2.5,10,dci_v3,0.5,4,0.8143,0.0,4.96,
axis_sv,2.5,10,dci_v3_a8,0.5,4,0.8286,12.2,16.55,
axis_sv,2.5,11,always_multiD,0.0,1,0.7524,100.0,100.0,
axis_sv,2.5,11,union4_bonf,0.1667,0,0.7429,0.0,4.96,
axis_sv,2.5,11,best_axis_oracle,0.6667,2,0.8571,0.0,0.01,S_V
axis_sv,2.5,11,sketch1,0.3333,1,0.7095,0.0,100.0,
axis_sv,2.5,11,dci_v3,0.1667,0,0.7429,0.0,4.96,
axis_sv,2.5,11,dci_v3_a8,0.1667,0,0.7048,12.2,16.55,
axis_sv,2.5,12,always_multiD,0.5,0,0.9333,100.0,100.0,
axis_sv,2.5,12,union4_bonf,0.3333,1,0.9143,0.0,4.96,
axis_sv,2.5,12,best_axis_oracle,0.6667,1,0.9714,0.0,0.01,S_V
axis_sv,2.5,12,sketch1,0.6667,3,0.8286,0.0,100.0,
axis_sv,2.5,12,dci_v3,0.3333,1,0.9143,0.0,4.96,
axis_sv,2.5,12,dci_v3_a8,0.3333,0,0.9476,12.2,16.55,
axis_sv,2.5,13,always_multiD,0.3333,4,0.8095,100.0,100.0,
axis_sv,2.5,13,union4_bonf,0.5,6,0.8381,0.0,4.96,
axis_sv,2.5,13,best_axis_oracle,1.0,3,0.9762,0.0,0.01,S_V
axis_sv,2.5,13,sketch1,0.6667,2,0.7524,0.0,100.0,
axis_sv,2.5,13,dci_v3,0.5,6,0.8381,0.0,4.96,
axis_sv,2.5,13,dci_v3_a8,0.5,4,0.8905,12.2,16.55,
axis_sv,2.5,14,always_multiD,0.3333,1,0.8,100.0,100.0,
axis_sv,2.5,14,union4_bonf,0.3333,1,0.7381,0.0,4.96,
axis_sv,2.5,14,best_axis_oracle,0.3333,6,0.7476,0.0,0.01,S_V
axis_sv,2.5,14,sketch1,0.3333,2,0.4952,0.0,100.0,
axis_sv,2.5,14,dci_v3,0.3333,1,0.7381,0.0,4.96,
axis_sv,2.5,14,dci_v3_a8,0.3333,1,0.7,12.2,16.55,
axis_sv,2.5,15,always_multiD,0.3333,1,0.819,100.0,100.0,
axis_sv,2.5,15,union4_bonf,0.5,1,0.9048,0.0,4.96,
axis_sv,2.5,15,best_axis_oracle,0.6667,0,0.9381,0.0,0.01,S_V
axis_sv,2.5,15,sketch1,0.1667,2,0.7571,0.0,100.0,
axis_sv,2.5,15,dci_v3,0.5,1,0.9048,0.0,4.96,
axis_sv,2.5,15,dci_v3_a8,0.5,1,0.8095,12.2,16.55,
axis_sv,2.5,16,always_multiD,0.5,0,0.9571,100.0,100.0,
axis_sv,2.5,16,union4_bonf,0.6667,0,0.9667,0.0,4.96,
axis_sv,2.5,16,best_axis_oracle,0.8333,3,0.9762,0.0,0.01,S_V
axis_sv,2.5,16,sketch1,0.5,0,0.9476,0.0,100.0,
axis_sv,2.5,16,dci_v3,0.6667,0,0.9667,0.0,4.96,
axis_sv,2.5,16,dci_v3_a8,0.6667,0,0.981,14.6,18.87,
axis_sv,2.5,17,always_multiD,0.3333,0,0.7524,100.0,100.0,
axis_sv,2.5,17,union4_bonf,0.5,0,0.8143,0.0,4.96,
axis_sv,2.5,17,best_axis_oracle,0.6667,3,0.8762,0.0,0.01,S_V
axis_sv,2.5,17,sketch1,0.3333,2,0.619,0.0,100.0,
axis_sv,2.5,17,dci_v3,0.5,0,0.8143,0.0,4.96,
axis_sv,2.5,17,dci_v3_a8,0.5,0,0.6571,12.2,16.55,
axis_sv,2.5,18,always_multiD,0.3333,2,0.8476,100.0,100.0,
axis_sv,2.5,18,union4_bonf,0.5,2,0.8762,0.0,4.96,
axis_sv,2.5,18,best_axis_oracle,0.5,2,0.9571,0.0,0.01,S_V
axis_sv,2.5,18,sketch1,0.3333,1,0.7667,0.0,100.0,
axis_sv,2.5,18,dci_v3,0.5,2,0.8762,0.0,4.96,
axis_sv,2.5,18,dci_v3_a8,0.5,2,0.9,12.2,16.55,
axis_sv,2.5,19,always_multiD,0.0,0,0.6762,100.0,100.0,
axis_sv,2.5,19,union4_bonf,0.0,1,0.6952,0.0,4.96,
axis_sv,2.5,19,best_axis_oracle,0.5,1,0.9286,0.0,0.01,S_V
axis_sv,2.5,19,sketch1,0.3333,1,0.7762,0.0,100.0,
axis_sv,2.5,19,dci_v3,0.0,1,0.6952,0.0,4.96,
axis_sv,2.5,19,dci_v3_a8,0.0,1,0.6429,12.2,16.55,
axis_sv,2.5,20,always_multiD,0.8333,2,0.9619,100.0,100.0,
axis_sv,2.5,20,union4_bonf,1.0,1,1.0,0.0,4.96,
axis_sv,2.5,20,best_axis_oracle,1.0,4,1.0,0.0,0.01,S_V
axis_sv,2.5,20,sketch1,0.3333,3,0.781,0.0,100.0,
axis_sv,2.5,20,dci_v3,1.0,1,1.0,0.0,4.96,
axis_sv,2.5,20,dci_v3_a8,1.0,1,1.0,12.2,16.55,
axis_sv,2.5,21,always_multiD,0.1667,2,0.7333,100.0,100.0,
axis_sv,2.5,21,union4_bonf,0.3333,4,0.7714,0.0,4.96,
axis_sv,2.5,21,best_axis_oracle,0.8333,1,0.9667,0.0,0.01,S_V
axis_sv,2.5,21,sketch1,0.3333,3,0.8476,0.0,100.0,
axis_sv,2.5,21,dci_v3,0.3333,4,0.7714,0.0,4.96,
axis_sv,2.5,21,dci_v3_a8,0.3333,4,0.7095,12.2,16.55,
